algorithm,seed,topology,num_vnrs,avg_time
pl_rank,4,fat_tree,300,4824.473333333333
pl_rank,1,tree,274,6527.07299270073
pl_rank,3,tree,289,7462.660899653979
pl_rank,2,waxman,92,2531.913043478261
pl_rank,2,fat_tree,300,4863.303333333333
pl_rank,1,fat_tree,300,7049.763333333333
pl_rank,2,tree,260,6506.1038461538465
pl_rank,0,tree,254,6952.8385826771655
pl_rank,3,waxman,121,2446.8264462809916
pl_rank,4,tree,275,6698.607272727273
pl_rank,0,fat_tree,300,4665.866666666667
pl_rank,3,fat_tree,300,4596.81
pl_rank,0,waxman,105,2313.352380952381
pl_rank,1,waxman,118,2447.0677966101694
pl_rank,4,waxman,98,2457.591836734694
rw_rank_bfs,1,fat_tree,298,7316.077181208054
rw_rank_bfs,4,tree,283,7363.915194346289
rw_rank_bfs,2,tree,280,6725.603571428572
rw_rank_bfs,4,fat_tree,300,7465.74
rw_rank_bfs,1,tree,284,7575.9647887323945
rw_rank_bfs,2,waxman,94,2624.446808510638
rw_rank_bfs,3,fat_tree,300,7306.86
rw_rank_bfs,3,tree,286,7583.381118881119
rw_rank_bfs,2,fat_tree,300,7435.27
rw_rank_bfs,0,fat_tree,300,5968.043333333333
rw_rank_bfs,1,waxman,114,2376.8859649122805
rw_rank_bfs,3,waxman,93,2297.989247311828
rw_rank_bfs,0,waxman,101,2344.960396039604
rw_rank_bfs,4,waxman,73,2256.8356164383563
ga_meta,1,tree,215,7233.8744186046515
ga_meta,3,fat_tree,300,4915.65
ga_meta,2,tree,221,7091.126696832579
ga_meta,1,waxman,117,2423.2051282051284
ga_meta,2,fat_tree,300,4793.383333333333
ga_meta,3,waxman,98,2409.265306122449
ga_meta,3,tree,244,7672.3401639344265
ga_meta,4,fat_tree,300,6989.85
ga_meta,0,fat_tree,300,7522.53
ga_meta,1,fat_tree,300,7579.863333333334
ga_meta,4,waxman,90,2509.9
ga_meta,4,tree,211,7407.8388625592415
ga_meta,0,tree,251,6873.625498007968
ga_meta,0,waxman,114,2327.4912280701756
ga_meta,2,waxman,81,2840.5308641975307
mcts,3,tree,205,7288.292682926829
mcts,3,fat_tree,300,7473.82
mcts,0,fat_tree,300,5078.43
mcts,1,fat_tree,300,4956.263333333333
mcts,2,fat_tree,300,7435.27
mcts,4,fat_tree,300,7465.74
mcts,4,tree,173,7344.028901734104
mcts,2,tree,184,7374.005434782609
mcts,1,tree,170,7688.405882352941
mcts,0,waxman,106,2341.9716981132074
mcts,1,waxman,110,2505.081818181818
mcts,3,waxman,102,2474.1470588235293
mcts,4,waxman,85,2363.423529411765
mcts,2,waxman,74,2678.0945945945946
mip,1,fat_tree,261,4344.199233716475
mip,4,tree,144,3635.2708333333335
mip,4,fat_tree,269,3175.650557620818
mip,1,tree,170,4334.523529411765
mip,0,tree,153,3925.392156862745
mip,3,tree,174,3901.051724137931
mip,2,fat_tree,231,2517.6493506493507
mip,0,fat_tree,259,2968.6640926640925
mip,4,waxman,116,2472.456896551724
mip,2,tree,146,3626.650684931507
mip,2,waxman,118,2540.728813559322
mip,1,waxman,148,2409.5
mip,3,fat_tree,271,4896.424354243542
mip,0,waxman,137,2358.3138686131388
mip,3,waxman,133,2472.812030075188
sa_meta,2,fat_tree,300,5539.696666666667
sa_meta,0,fat_tree,300,7522.53
sa_meta,4,fat_tree,300,4467.256666666667
sa_meta,1,tree,191,7290.376963350785
sa_meta,2,waxman,71,2790.774647887324
sa_meta,1,fat_tree,300,4686.26
sa_meta,3,tree,218,6621.729357798165
sa_meta,2,tree,209,7021.631578947368
sa_meta,0,tree,201,6940.472636815921
sa_meta,3,fat_tree,300,4610.156666666667
sa_meta,4,tree,192,6814.630208333333
sa_meta,4,waxman,81,2475.604938271605
sa_meta,0,waxman,106,2319.235849056604
sa_meta,3,waxman,93,2557.2580645161293
sa_meta,1,waxman,110,2478.3
d_round,3,fat_tree,300,5964.696666666667
d_round,1,tree,129,7883.279069767442
d_round,2,tree,124,7346.798387096775
d_round,2,fat_tree,300,7435.27
d_round,0,waxman,74,2229.972972972973
d_round,0,fat_tree,300,7376.433333333333
d_round,0,tree,121,7304.371900826446
d_round,1,waxman,76,2495.6184210526317
d_round,1,fat_tree,300,7184.716666666666
d_round,4,tree,110,7034.136363636364
d_round,4,fat_tree,300,7337.456666666667
d_round,3,tree,141,7242.695035460993
d_round,2,waxman,42,2352.2380952380954
d_round,3,waxman,72,2387.9444444444443
d_round,4,waxman,68,2355.955882352941
pso_meta,0,fat_tree,300,7035.036666666667
pso_meta,0,tree,126,7753.285714285715
pso_meta,4,tree,135,7858.207407407407
pso_meta,3,tree,191,7518.753926701571
pso_meta,2,tree,136,7413.595588235294
pso_meta,1,fat_tree,300,7579.863333333334
pso_meta,3,fat_tree,300,5932.11
pso_meta,4,fat_tree,300,5457.543333333333
pso_meta,2,fat_tree,300,5711.6866666666665
pso_meta,1,tree,130,8101.007692307692
