v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,v_net_time_cost,v_net_time_revenue,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_rac,best_for_lrc,best_for_lar,best_for_ast,best_for_balanced,num_algos_accepted,network_stress_index,problem_complexity,resource_bottleneck_ratio,vnr_size_category,cpu_intensive_flag,bandwidth_intensive_flag,utilization_pressure,resource_efficiency
6,7,107.47546033692886,1374.0,687.0,2078.0,9625.0,4944,4681.0,0.0,0.0,0,0,0.0,0.0,31,0.1935483870967742,114.5,296.8571428147347,0.46666666663555556,2765.0,0.3306063522616311,0.0795639284689682,0.0,0.0,0.0,0,mcts,pso_meta,mcts,rw_rank_bfs,pso_meta,2,0.0,1290.3333332473112,0.38570740972788653,1,0,1,0.0,3.4810126569688924
5,7,191.1641947226957,1368.0,114.0,331.0,6550.0,1051,5499.0,0.6283592644978784,0.6251022634305972,18,36,197090.28475909928,85068.06665159958,20,0.25,22.8,47.28571427895918,0.69999999993,445.0,0.34441087613189003,0.3736253227503108,0.6283592644978784,0.6251022634305972,0.6428571428341837,1,ga_meta,sa_meta,ga_meta,rw_rank_bfs,ga_meta,2,0.6267307639642378,311.49999996885,0.482175216457926,1,0,1,0.39278879848520903,14.719101090518874
5,6,251.3880197766324,686.0,49.0,75.0,9163.0,4799,4364.0,0.015387771850636,0.0574514038876889,2,23,75165.01791321309,31172.114452302416,31,0.16129032258064516,9.8,12.499999997916667,0.59999999994,124.0,0.6533333333246222,0.12374485990245765,0.015387771850636,0.0574514038876889,0.07142857142602041,0,ga_meta,pl_rank,ga_meta,pl_rank,pl_rank,2,0.036419587869162454,74.39999999256,0.7839999374106718,1,0,1,0.0008840490955224989,73.89516069439387
5,5,389.9622512575213,808.0,101.0,274.0,6845.0,832,6013.0,0.6809815950920246,0.5602925045703839,18,36,455085.9472175273,146235.84422157047,20,0.25,20.2,54.799999989039996,0.49999999995,375.0,0.3686131386847861,0.34541455484364536,0.6809815950920246,0.5602925045703839,0.6428571428341837,1,ga_meta,mcts,ga_meta,pl_rank,ga_meta,4,0.6206370498312043,187.49999998125,0.368613132033337,1,0,1,0.3815488834804455,18.253333284657778
4,3,782.3617907767425,816.0,408.0,763.0,9659.0,4735,4924.0,0.0,0.0,0,0,0.0,0.0,31,0.12903225806451613,102.0,254.33333324855556,0.49999999991666666,1171.0,0.5347313237214486,0.07631251793057281,0.0,0.0,0.0,0,d_round,mip,d_round,pl_rank,d_round,2,0.0,585.4999999024167,0.4010484913484332,0,0,1,0.0,8.248505543767287
6,8,300.7505950085731,1248.0,624.0,1486.0,9659.0,4735,4924.0,0.0,0.0,0,0,0.0,0.0,31,0.1935483870967742,104.0,185.74999997678125,0.5333333332977778,2110.0,0.41991924629850613,0.07631251793057281,0.0,0.0,0.0,0,d_round,mip,d_round,pl_rank,d_round,2,0.0,1125.333333258311,0.5598923254541462,1,0,1,0.0,4.577725116313875
7,12,197.25502605793244,778.0,389.0,1216.0,8909.0,4490,4419.0,0.0,0.0,0,0,0.0,0.0,16,0.4375,55.57142857142857,101.33333332488888,0.5714285714013605,1605.0,0.3199013157892106,0.14803480921870515,0.0,0.0,0.0,2,mcts,mip,mip,pl_rank,mip,2,0.0,917.1428570991836,0.5484022502729337,1,0,1,0.0,5.550778812740948
4,3,13.99710957669094,348.0,87.0,195.0,8279.0,1105,7174.0,0.5763036809815951,0.4753930530164534,14,36,5920.777350940268,3947.184900626846,20,0.2,21.75,64.99999997833334,0.49999999991666666,282.0,0.44615384615155823,0.20828153390073634,0.5763036809815951,0.4753930530164534,0.49999999998214284,1,ga_meta,mcts,ga_meta,pl_rank,ga_meta,4,0.5258483669990243,140.9999999765,0.3346153795789942,0,0,1,0.2739707663664607,29.358155924261858
7,12,486.9393038266122,1316.0,658.0,3069.0,9202.0,4586,4616.0,0.0,0.0,0,0,0.0,0.0,31,0.22580645161290322,94.0,255.7499999786875,0.5714285714013605,3727.0,0.21440208536975744,0.12001530075547484,0.0,0.0,0.0,0,pl_rank,pl_rank,pl_rank,rw_rank_bfs,pl_rank,1,0.0,2129.7142856128708,0.3675464306560583,1,0,1,0.0,2.469009926893209
6,9,260.3894316349999,1128.0,564.0,2053.0,16971.0,2596,14375.0,0.0,0.0,0,0,0.0,0.0,16,0.375,94.0,228.11111108576543,0.59999999996,2617.0,0.2747199220651365,-0.6229320072678588,0.0,0.0,0.0,2,mcts,pl_rank,mcts,rw_rank_bfs,pl_rank,2,0.0,1570.19999989532,0.41207988133720463,1,0,1,0.0,6.484906378874702
