topology,seed,v_net_id,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_arrival_time,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,solving_time,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_acceptance,best_for_time,best_overall,num_algos_accepted,num_algos_rejected
fat_tree,0,108,7,10,427.2092795057113,1098.0,1760.0,880.0,2471.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.4627789821624756,20,0.35,125.71428571428572,247.09999997529,0.4761904761678004,3351.0,0.3561311210034981,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pso_meta,55,145
fat_tree,0,272,4,4,478.8629233183817,2707.0,884.0,442.0,903.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.3477413632848241,20,0.2,110.5,225.7499999435625,0.6666666665555555,1345.0,0.4894795127347846,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,d_round,59,129
tree,0,299,5,5,85.82736700688403,15006.0,100.0,50.0,128.0,8139.0,4282,3857.0,0.0463251670378619,0.1271780945915365,9,63,0.0022804880620643,31,0.1612903225806451,10.0,25.59999999488,0.49999999995,178.0,0.3906249999969483,0.2216696949411877,0.0463251670378619,0.1271780945915365,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,9,163
tree,0,179,4,4,530.8567696476852,9133.0,66.0,33.0,80.0,8121.0,4348,3773.0,0.0316258351893096,0.1461869201176736,8,63,0.0022804880620643,31,0.1290322580645161,8.25,19.999999995,0.6666666665555555,113.0,0.4124999999948437,0.2233910299321029,0.0316258351893096,0.1461869201176736,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,32,140
tree,0,136,2,1,375.0859565829576,6938.0,50.0,10.0,19.0,8058.0,4261,3797.0,0.0510022271714921,0.1407558271102059,11,62,0.0094396060075217,31,0.064516129032258,5.0,18.999999981,0.999999999,29.0,0.5263157894459833,0.229415702400306,0.0510022271714921,0.1407558271102059,0.4782608695444234,0,rw_rank_bfs,rw_rank_bfs,pl_rank,34,143
tree,0,83,3,2,168.2393145347256,4218.0,20.0,10.0,38.0,7807.0,4239,3568.0,0.055902004454343,0.1925775062231274,11,58,0.0022804880620643,31,0.0967741935483871,3.3333333333333335,18.9999999905,0.6666666664444444,48.0,0.2631578947299169,0.2534187625514009,0.055902004454343,0.1925775062231274,0.4782608695444234,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,29,162
tree,0,80,5,5,307.9822170166987,4078.0,66.0,33.0,52.0,7856.0,4270,3586.0,0.0489977728285078,0.1885041864675265,10,58,0.0022804880620643,31,0.1612903225806451,6.6,10.39999999792,0.49999999995,85.0,0.6346153846031806,0.2487329061872429,0.0489977728285078,0.1885041864675265,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,26,165
tree,0,162,3,2,148.6092289760868,8285.0,60.0,20.0,20.0,8525.0,4353,4172.0,0.030512249443207,0.0558949988685223,7,63,0.0094396060075217,31,0.0967741935483871,6.666666666666667,9.999999995,0.6666666664444444,40.0,0.99999999995,0.1847566223582289,0.030512249443207,0.0558949988685223,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,pl_rank,25,149
tree,0,94,5,5,775.4176286499844,4787.0,108.0,54.0,85.0,7984.0,4308,3676.0,0.0405345211581291,0.1681375876895224,8,59,0.0022804880620643,31,0.1612903225806451,10.8,16.9999999966,0.49999999995,139.0,0.6352941176395848,0.2364923018074017,0.0405345211581291,0.1681375876895224,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,19,165
fat_tree,0,265,5,6,55.88105997560869,2646.0,1308.0,654.0,1496.0,17304.0,2649,14655.0,0.0,0.0,0,0,2.3678341823465683,20,0.25,130.8,249.33333329177776,0.59999999994,2150.0,0.4371657754007773,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,ga_meta,66,123
