v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,v_net_time_cost,v_net_time_revenue,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_rac,best_for_lrc,best_for_lar,best_for_ast,best_for_balanced,num_algos_accepted,network_stress_index,problem_complexity,resource_bottleneck_ratio,vnr_size_category,cpu_intensive_flag,bandwidth_intensive_flag,utilization_pressure,resource_efficiency,p_net_node_link_resource_ratio,p_net_util_imbalance,p_net_resource_heterogeneity,p_net_fragmentation_estimate,p_net_uneven_utilization,p_net_health_score,vnr_demand_intensity,vnr_density_adjusted,vnr_node_link_demand_ratio,vnr_structural_complexity
6,7,107.47546033692886,1374.0,687.0,2078.0,9625.0,4944,4681.0,0.0,0.0,0,0,0.0,0.0,31,0.1935483870967742,114.5,296.8571428147347,0.4666666666355555,2765.0,0.3306063522616311,0.0795639284689682,0.0,0.0,0.0,0,mcts,pso_meta,mcts,rw_rank_bfs,pso_meta,2,0.0,1290.3333332473112,0.3857074097278865,1,0,1,0.0,3.4810126569688924,0.0,0.0,1.0561845757196786,0.0,0.0,96.25,64.30232558139535,1.2098980968944033,0.33060635210269185,0.7230508115539513
5,7,191.1641947226957,1368.0,114.0,331.0,6550.0,1051,5499.0,0.6283592644978784,0.6251022634305972,18,36,197090.28475909928,85068.06665159958,20,0.25,22.8,47.28571427895918,0.69999999993,445.0,0.34441087613189,0.3736253227503108,0.6283592644978784,0.6251022634305972,0.6428571428341837,1,ga_meta,sa_meta,ga_meta,rw_rank_bfs,ga_meta,2,0.6267307639642378,311.49999996885,0.482175216457926,1,0,1,0.392788798485209,14.719101090518874,1.005208741111688,0.0032570010672812177,0.19112565917600915,0.002040102992320166,0.0012168980749610518,65.28666643009308,12.36111111111111,1.451754321938908,0.3444108750924143,1.2677230964126758
5,6,251.3880197766324,686.0,49.0,75.0,9163.0,4799,4364.0,0.015387771850636,0.0574514038876889,2,23,75165.01791321309,31172.114452302416,31,0.1612903225806451,9.8,12.499999997916667,0.59999999994,124.0,0.6533333333246222,0.1237448599024576,0.015387771850636,0.0574514038876889,0.0714285714260204,0,ga_meta,pl_rank,ga_meta,pl_rank,pl_rank,2,0.0364195878691624,74.39999999256,0.7839999374106718,1,0,1,0.0008840490955224,73.89516069439387,0.26783512628500034,0.0420636320370529,1.099679193148561,0.03685847378363926,0.005205158253413638,87.77570939644484,4.0,0.7653060441524444,0.6533333246222224,2.1681393241650753
5,5,389.9622512575213,808.0,101.0,274.0,6845.0,832,6013.0,0.6809815950920246,0.5602925045703839,18,36,455085.9472175273,146235.84422157047,20,0.25,20.2,54.79999998904,0.49999999995,375.0,0.3686131386847861,0.3454145548436453,0.6809815950920246,0.5602925045703839,0.6428571428341837,1,ga_meta,mcts,ga_meta,pl_rank,ga_meta,4,0.6206370498312043,187.49999998125,0.368613132033337,1,0,1,0.3815488834804455,18.253333284657774,1.215401552110051,0.12068909052164067,0.13836687175480344,0.07900132204462375,0.041687768477016926,60.1888317537937,14.423076923076923,1.3564355760071498,0.36861313734082796,1.1000542191083407
4,3,782.3617907767425,816.0,408.0,763.0,9659.0,4735,4924.0,0.0,0.0,0,0,0.0,0.0,31,0.1290322580645161,102.0,254.33333324855556,0.4999999999166666,1171.0,0.5347313237214486,0.0763125179305728,0.0,0.0,0.0,0,d_round,mip,d_round,pl_rank,d_round,2,0.0,585.4999999024167,0.4010484913484332,0,0,1,0.0,8.248505543767287,0.0,0.0,0.9616165716974783,0.0,0.0,96.59,90.07692307692308,1.246732013297562,0.534731323021322,1.7816163927257915
6,8,300.7505950085731,1248.0,624.0,1486.0,9659.0,4735,4924.0,0.0,0.0,0,0,0.0,0.0,31,0.1935483870967742,104.0,185.74999997678125,0.5333333332977778,2110.0,0.4199192462985061,0.0763125179305728,0.0,0.0,0.0,0,d_round,mip,d_round,pl_rank,d_round,2,0.0,1125.333333258311,0.5598923254541462,1,0,1,0.0,4.577725116313875,0.0,0.0,0.9616165716974783,0.0,0.0,96.59,43.06122448979592,0.9525640932222577,0.41991924601620506,1.2787046814984948
7,12,197.25502605793244,778.0,389.0,1216.0,8909.0,4490,4419.0,0.0,0.0,0,0,0.0,0.0,16,0.4375,55.57142857142857,101.33333332488888,0.5714285714013605,1605.0,0.3199013157892106,0.1480348092187051,0.0,0.0,0.0,2,mcts,mip,mip,pl_rank,mip,2,0.0,917.1428570991836,0.5484022502729337,1,0,1,0.0,5.550778812740948,0.0,0.0,1.0160669832504938,0.0,0.0,89.09,18.88235294117647,1.0419879845407147,0.3199013155263969,0.9669344870726475
4,3,13.99710957669094,348.0,87.0,195.0,8279.0,1105,7174.0,0.5763036809815951,0.4753930530164534,14,36,5920.777350940268,3947.184900626846,20,0.2,21.75,64.99999997833334,0.4999999999166666,282.0,0.4461538461515582,0.2082815339007363,0.5763036809815951,0.4753930530164534,0.4999999999821428,1,ga_meta,mcts,ga_meta,pl_rank,ga_meta,4,0.5258483669990243,140.9999999765,0.3346153795789942,0,0,1,0.2739707663664607,29.358155924261855,1.212265229917904,0.10091062796514172,0.15402843599748697,0.07989280758567546,0.021017820379466253,74.43560911076592,21.692307692307693,1.4942528041148133,0.44615384386587775,0.6040605163713019
7,12,486.9393038266122,1316.0,658.0,3069.0,9202.0,4586,4616.0,0.0,0.0,0,0,0.0,0.0,31,0.2258064516129032,94.0,255.7499999786875,0.5714285714013605,3727.0,0.2144020853697574,0.1200153007554748,0.0,0.0,0.0,0,pl_rank,pl_rank,pl_rank,rw_rank_bfs,pl_rank,1,0.0,2129.7142856128708,0.3675464306560583,1,0,1,0.0,2.469009926893209,0.0,0.0,0.9935008663358966,0.0,0.0,92.02,43.84705882352941,1.5547112294575334,0.21440208529996674,0.758394207779913
6,9,260.3894316349999,1128.0,564.0,2053.0,16971.0,2596,14375.0,0.0,0.0,0,0,0.0,0.0,16,0.375,94.0,228.11111108576543,0.59999999996,2617.0,0.2747199220651365,-0.6229320072678588,0.0,0.0,0.0,2,mcts,pl_rank,mcts,rw_rank_bfs,pl_rank,2,0.0,1570.19999989532,0.4120798813372046,1,0,1,0.0,6.484906378874702,0.0,0.0,0.18059130433526321,0.0,-0.0,169.71,47.58181818181818,1.4560283530458136,0.27471992193145645,0.9174565258916569
5,6,686.5332994827498,302.0,151.0,565.0,12057.0,2110,9947.0,0.2034730086825217,0.3212555441828727,2,22,0.0,0.0,16,0.3125,30.2,94.16666665097222,0.59999999994,716.0,0.2672566371676685,-0.1530075547480156,0.2034730086825217,0.3212555441828727,0.0714285714260204,2,mip,mip,mip,pl_rank,mip,1,0.2623642764326972,429.59999995704,0.320707961249473,1,0,1,0.0653668321308298,16.83938545134164,0.6333661130547937,0.11778253550035103,0.21212425854909778,0.13580415324928108,-0.018021617748930054,106.36895969472268,23.096774193548388,1.8708608647043863,0.267256636695121,1.047610247533208
5,5,64.3003937837447,938.0,469.0,1077.0,9659.0,4735,4924.0,0.0,0.0,0,0,0.0,0.0,31,0.1612903225806451,93.8,215.39999995692,0.49999999995,1546.0,0.4354688950785186,0.0763125179305728,0.0,0.0,0.0,0,mip,mip,mip,pl_rank,mip,1,0.0,772.9999999227,0.4354688931443412,1,0,1,0.0,6.24773608910237,0.0,0.0,0.9616165716974783,0.0,0.0,96.59,59.46153846153846,1.1481876206769976,0.43546889467458777,0.909911835217186
