Objective,Topology,Accuracy,Top-2,Top-3,Gain (Top-3)
RAC,TREE,75.69%,91.71%,93.37%,17.7pp
RAC,FAT_TREE,55.51%,74.89%,79.30%,23.8pp
RAC,WAXMAN_16,67.46%,82.78%,85.65%,18.2pp
LRC,TREE,73.48%,86.74%,90.06%,16.6pp
LRC,FAT_TREE,39.21%,61.67%,77.97%,38.8pp
LRC,WAXMAN_16,57.89%,76.08%,81.34%,23.4pp
LAR,TREE,58.56%,77.35%,81.77%,23.2pp
LAR,FAT_TREE,25.99%,52.86%,69.60%,43.6pp
LAR,WAXMAN_16,50.72%,67.94%,78.47%,27.8pp
AST,TREE,100.00%,100.00%,100.00%,0.0pp
AST,FAT_TREE,95.15%,95.15%,95.15%,0.0pp
AST,WAXMAN_16,99.52%,99.52%,99.52%,0.0pp
BALANCED,TREE,75.14%,88.95%,90.06%,14.9pp
BALANCED,FAT_TREE,27.75%,47.58%,61.67%,33.9pp
BALANCED,WAXMAN_16,46.89%,66.99%,74.16%,27.3pp
