algorithm,topology_name,seed,acceptance_rate,r2c_ratio,success_count,total_simulation_time,run_id,node_count,link_count
pl_rank,waxman_16,1,0.59,0.4322613562012221,118,4860.0,Luisas-MacBook-Air.local-20251221T163907-3399,16,500
pl_rank,waxman_16,4,0.49,0.3676666316151931,98,4403.0,Luisas-MacBook-Air.local-20251221T163917-1678,16,500
pl_rank,waxman_16,3,0.605,0.4747668757545126,121,4675.0,Luisas-MacBook-Air.local-20251221T163914-1350,16,500
pl_rank,waxman_16,2,0.46,0.3682335471478579,92,4847.0,Luisas-MacBook-Air.local-20251221T163910-7317,16,500
pl_rank,waxman_16,0,0.525,0.3929950838787363,105,4635.0,Luisas-MacBook-Air.local-20251221T163904-9796,16,500
sa_meta,waxman_16,3,0.465,0.3893603910224384,93,4675.0,Luisas-MacBook-Air.local-20251221T164021-3629,16,500
sa_meta,waxman_16,4,0.405,0.3258414546479424,81,4403.0,Luisas-MacBook-Air.local-20251221T164038-1725,16,500
sa_meta,waxman_16,0,0.53,0.4132675866792893,106,4635.0,Luisas-MacBook-Air.local-20251221T163920-9219,16,500
sa_meta,waxman_16,1,0.55,0.4330536124943977,110,4860.0,Luisas-MacBook-Air.local-20251221T163939-3010,16,500
sa_meta,waxman_16,2,0.355,0.2918243246720479,71,4847.0,Luisas-MacBook-Air.local-20251221T164001-7146,16,500
ga_meta,waxman_16,4,0.45,0.334347410692336,90,4403.0,Luisas-MacBook-Air.local-20251221T164350-9551,16,500
ga_meta,waxman_16,2,0.405,0.3144628378297958,81,4847.0,Luisas-MacBook-Air.local-20251221T164227-8755,16,500
ga_meta,waxman_16,3,0.49,0.4058329199528602,98,4675.0,Luisas-MacBook-Air.local-20251221T164307-1523,16,500
ga_meta,waxman_16,1,0.585,0.4470207079993535,117,4860.0,Luisas-MacBook-Air.local-20251221T164140-7315,16,500
ga_meta,waxman_16,0,0.57,0.4378241958898878,114,4635.0,Luisas-MacBook-Air.local-20251221T164059-2848,16,500
mcts,waxman_16,3,0.51,0.3557164763108952,102,4675.0,Luisas-MacBook-Air.local-20251221T164942-4369,16,500
mcts,waxman_16,1,0.55,0.3488546888378745,110,4860.0,Luisas-MacBook-Air.local-20251221T164603-1880,16,500
mcts,waxman_16,2,0.37,0.2435380580553317,74,4847.0,Luisas-MacBook-Air.local-20251221T164754-8120,16,500
mcts,waxman_16,0,0.53,0.3334559147156931,106,4635.0,Luisas-MacBook-Air.local-20251221T164426-1679,16,500
mcts,waxman_16,4,0.425,0.2788267995653752,85,4403.0,Luisas-MacBook-Air.local-20251221T165131-4084,16,500
rw_rank_bfs,waxman_16,4,0.365,0.272593658338861,73,4403.0,Luisas-MacBook-Air.local-20251221T165319-2383,16,500
rw_rank_bfs,waxman_16,2,0.47,0.3827659899076536,94,4847.0,Luisas-MacBook-Air.local-20251221T165314-9357,16,500
rw_rank_bfs,waxman_16,1,0.57,0.4576240706309165,114,4860.0,Luisas-MacBook-Air.local-20251221T165311-0770,16,500
rw_rank_bfs,waxman_16,0,0.505,0.3999815201593655,101,4635.0,Luisas-MacBook-Air.local-20251221T165309-8007,16,500
rw_rank_bfs,waxman_16,3,0.465,0.3946130877608781,93,4675.0,Luisas-MacBook-Air.local-20251221T165316-4517,16,500
mip,waxman_16,4,0.58,0.4941601560084372,116,4403.0,Luisas-MacBook-Air.local-20251221T202446-2609,16,500
mip,waxman_16,3,0.665,0.5866207832126432,133,4675.0,Luisas-MacBook-Air.local-20251221T182109-7635,16,500
mip,waxman_16,2,0.59,0.5136147561287021,118,4847.0,Luisas-MacBook-Air.local-20251221T173559-8464,16,500
mip,waxman_16,0,0.685,0.5799349580015293,137,4635.0,Luisas-MacBook-Air.local-20251221T165322-6930,16,500
mip,waxman_16,1,0.74,0.6209444232682091,148,4860.0,Luisas-MacBook-Air.local-20251221T171441-1918,16,500
d_round,waxman_16,0,0.37,0.1785008312632628,74,4635.0,Luisas-MacBook-Air.local-20251221T214727-2943,16,500
d_round,waxman_16,3,0.36,0.1680431535992534,72,4675.0,Luisas-MacBook-Air.local-20251221T214816-3394,16,500
d_round,waxman_16,4,0.34,0.1721411025097028,68,4403.0,Luisas-MacBook-Air.local-20251221T214832-1395,16,500
d_round,waxman_16,2,0.21,0.1054360114755988,42,4847.0,Luisas-MacBook-Air.local-20251221T214801-7650,16,500
d_round,waxman_16,1,0.38,0.1966355502106447,76,4860.0,Luisas-MacBook-Air.local-20251221T214743-0419,16,500
