algorithm,topology,seed,acceptance_rate,revenue,r2c_ratio,num_accepted,num_requests,total_time,avg_time_per_vnr,algo_display
ga_meta,unknown,0,0.235,3235.0,0.5901130974097045,47.0,200,69.65899419784546,0.3482949709892273,GA
ga_meta,unknown,0,0.775,37384.0,0.4655251852313056,155.0,200,148.8675742149353,0.7443378710746765,GA
ga_meta,unknown,0,0.795,37380.0,0.4801849829789967,159.0,200,126.8738932609558,0.634369466304779,GA
ga_meta,unknown,0,0.22,3107.0,0.6013160441261854,44.0,200,69.58661985397339,0.34793309926986693,GA
ga_meta,unknown,0,0.765,37185.0,0.4484821439340031,153.0,200,147.21342611312866,0.7360671305656433,GA
ga_meta,unknown,0,0.205,2844.0,0.5684589246452129,41.0,200,63.68837571144104,0.3184418785572052,GA
mip,unknown,0,0.803030303030303,14627.0,0.6279299390400962,53.0,200,0.0,0.0,MIP
mip,unknown,0,0.4307692307692308,3134.0,0.8749302065884981,28.0,200,0.0,0.0,MIP
mip,unknown,0,0.9,16393.0,0.6475863158726396,63.0,200,0.0,0.0,MIP
mip,unknown,0,0.4461538461538462,3096.0,0.8482191780821918,29.0,200,0.0,0.0,MIP
mip,unknown,0,0.4328358208955223,3372.0,0.8455366098294884,29.0,200,0.0,0.0,MIP
mip,unknown,0,0.3389830508474576,2296.0,0.8996865203761756,20.0,200,0.0,0.0,MIP
mip,unknown,0,0.35,2409.0,0.9073446327683616,21.0,200,0.0,0.0,MIP
mip,unknown,0,0.4428571428571428,3296.0,0.8468653648509764,31.0,200,0.0,0.0,MIP
mip,unknown,0,0.9041095890410958,17055.0,0.6763831052944675,66.0,200,0.0,0.0,MIP
mip,unknown,0,0.4545454545454545,3509.0,0.8705035971223022,30.0,200,0.0,0.0,MIP
mip,unknown,0,0.8333333333333334,14871.0,0.5960559541464587,55.0,200,0.0,0.0,MIP
mip,unknown,0,0.8333333333333334,15300.0,0.6050539803060861,60.0,200,0.0,0.0,MIP
mip,unknown,0,0.821917808219178,15523.0,0.5975210747141922,60.0,200,0.0,0.0,MIP
mcts,unknown,0,0.765,32217.0,0.428428947578393,153.0,200,173.28250789642334,0.8664125394821167,MCTS
mcts,unknown,0,0.175,2109.0,0.3435972629521016,35.0,200,175.2985589504242,0.8764927947521209,MCTS
mcts,unknown,0,0.18,2353.0,0.3832871803225281,36.0,200,179.56387782096863,0.8978193891048432,MCTS
mcts,unknown,0,0.72,30790.0,0.4176161024305556,144.0,200,179.1549780368805,0.8957748901844025,MCTS
mcts,unknown,0,0.155,1940.0,0.3981937602627258,31.0,200,170.42825388908386,0.8521412694454193,MCTS
mcts,unknown,0,0.735,31723.0,0.4259149861711555,147.0,200,176.21568274497986,0.8810784137248993,MCTS
