v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,18.0,9659,4735,4924,0.0,0.0,0,264.08780479495465,18.0,5,6,False,{},{},{},{},0.0,0.0,290.0,145.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,3
2,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,1,1,35.0,9306,4679,4627,0.011826821541710664,0.06031681559707558,1,1374.218773921043,35.0,3,2,True,"{np.int64(0): np.int64(32), np.int64(1): np.int64(18), np.int64(2): np.int64(50)}","{(0, 1): [(np.int64(32), 16), (16, 7), (7, 3), (3, 8), (8, np.int64(18))], (1, 2): [(np.int64(18), 50)]}","{(np.int64(0), np.int64(32)): {'cpu': 22}, (np.int64(1), np.int64(18)): {'cpu': 15}, (np.int64(2), np.int64(50)): {'cpu': 19}}","{((0, 1), (np.int64(32), 16)): {'bw': 50}, ((0, 1), (16, 7)): {'bw': 50}, ((0, 1), (7, 3)): {'bw': 50}, ((0, 1), (3, 8)): {'bw': 50}, ((0, 1), (8, np.int64(18))): {'bw': 50}, ((1, 2), (np.int64(18), 50)): {'bw': 47}}",353.0,153.0,616.0,56.0,97.0,56.0,97.0,56.0,297.0,200.0,0.43342776203966005,485099.2271941282,210255.4724099196,595.6245677334832,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -70}, np.int64(1): {'cpu': -49}, np.int64(2): {'cpu': -68}}, 'link_level': {(0, 1): {'bw': -11}, (1, 2): {'bw': -50}}, 'path_level': {(0, 1): {}, (1, 2): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0,3
3,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,2,1,58.0,9306,4679,4627,0.011826821541710664,0.06031681559707558,2,161.1729662852628,58.0,4,3,False,{},{},{},{},0.0,0.0,252.0,126.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,3
4,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,3,1,80.0,9306,4679,4627,0.011826821541710664,0.06031681559707558,3,78.49650036304767,80.0,6,6,False,{},{},{},{},0.0,0.0,296.0,148.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,3
5,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,4,1,98.0,9306,4679,4627,0.011826821541710664,0.06031681559707558,4,605.3646714251648,98.0,3,2,False,{},{},{},{},0.0,0.0,90.0,45.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,3
6,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,5,1,114.0,9306,4679,4627,0.011826821541710664,0.06031681559707558,5,418.58562948066964,114.0,3,2,False,{},{},{},{},0.0,0.0,182.0,91.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,3
7,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,6,1,136.0,9306,4679,4627,0.011826821541710664,0.06031681559707558,6,472.8518356433432,136.0,3,3,False,{},{},{},{},0.0,0.0,158.0,79.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,3
8,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,7,1,149.0,9306,4679,4627,0.011826821541710664,0.06031681559707558,7,21.469852536087064,149.0,6,6,False,{},{},{},{},0.0,0.0,368.0,184.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,3
8,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,8,0,158.4965003630477,9306,4679,4627,0.011826821541710664,0.06031681559707558,3,78.49650036304767,80.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,3
8,1,1,153.0,353.0,210255.4724099196,485099.2271941282,0.43342776203966005,0.4334277620396601,3,9,0,170.46985253608707,9306,4679,4627,0.011826821541710664,0.06031681559707558,7,21.469852536087064,149.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,3
