v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,31.0,17304,2649,14655,0.0,0.0,0,264.08780479495465,31.0,8,13,False,"{0: np.int64(33), 1: np.int64(31), 2: np.int64(0), 3: np.int64(35), 4: np.int64(18), 5: np.int64(29), 6: np.int64(25), 7: np.int64(28)}","{(0, 1): [(np.int64(33), 30), (30, 28), (28, 31)], (0, 3): [(np.int64(33), 30), (30, 28), (28, 31), (31, 35)], (0, 6): []}","{(0, np.int64(33)): {'cpu': 48}, (1, np.int64(31)): {'cpu': 45}, (2, np.int64(0)): {'cpu': 74}, (3, np.int64(35)): {'cpu': 58}, (4, np.int64(18)): {'cpu': 59}, (5, np.int64(29)): {'cpu': 73}, (6, np.int64(25)): {'cpu': 30}, (7, np.int64(28)): {'cpu': 79}}","{((0, 1), (np.int64(33), 30)): {'bw': 98}, ((0, 1), (30, 28)): {'bw': 98}, ((0, 1), (28, 31)): {'bw': 98}, ((0, 3), (np.int64(33), 30)): {'bw': 75}, ((0, 3), (30, 28)): {'bw': 75}, ((0, 3), (28, 31)): {'bw': 75}, ((0, 3), (31, 35)): {'bw': 75}}",0.0,0.0,932.0,466.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -26}, 1: {'cpu': -34}, 2: {'cpu': -18}, 3: {'cpu': -35}, 4: {'cpu': -5}, 5: {'cpu': -23}, 6: {'cpu': -21}, 7: {'cpu': -11}}, 'link_level': {(0, 1): {'bw': -135}, (0, 3): {'bw': -60}, (0, 6): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,8.0,3.0,3
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,60.0,17304,2649,14655,0.0,0.0,1,1374.218773921043,60.0,6,6,False,"{0: np.int64(1), 1: np.int64(34), 2: np.int64(33), 3: np.int64(13), 4: np.int64(0), 5: np.int64(21)}","{(0, 5): [(np.int64(1), 20), (20, 22), (22, 21)], (1, 3): [(np.int64(34), 31), (31, 29), (29, 2), (2, 13)], (2, 3): [(np.int64(33), 30), (30, 29), (29, 2), (2, 13)], (2, 4): [(np.int64(33), 30), (30, 28), (28, 0)], (2, 5): []}","{(0, np.int64(1)): {'cpu': 53}, (1, np.int64(34)): {'cpu': 50}, (2, np.int64(33)): {'cpu': 57}, (3, np.int64(13)): {'cpu': 68}, (4, np.int64(0)): {'cpu': 42}, (5, np.int64(21)): {'cpu': 73}}","{((0, 5), (np.int64(1), 20)): {'bw': 98}, ((0, 5), (20, 22)): {'bw': 98}, ((0, 5), (22, 21)): {'bw': 98}, ((1, 3), (np.int64(34), 31)): {'bw': 82}, ((1, 3), (31, 29)): {'bw': 82}, ((1, 3), (29, 2)): {'bw': 82}, ((1, 3), (2, 13)): {'bw': 82}, ((2, 3), (np.int64(33), 30)): {'bw': 85}, ((2, 3), (30, 29)): {'bw': 85}, ((2, 3), (29, 2)): {'bw': 85}, ((2, 3), (2, 13)): {'bw': 85}, ((2, 4), (np.int64(33), 30)): {'bw': 125}, ((2, 4), (30, 28)): {'bw': 125}, ((2, 4), (28, 0)): {'bw': 125}}",0.0,0.0,686.0,343.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -21}, 1: {'cpu': -7}, 2: {'cpu': -17}, 3: {'cpu': -14}, 4: {'cpu': -50}, 5: {'cpu': -3}}, 'link_level': {(0, 5): {'bw': -196}, (1, 3): {'bw': -166}, (2, 3): {'bw': -148}, (2, 4): {'bw': -23}, (2, 5): {'bw': 100.0}}, 'path_level': {(0, 5): {}, (1, 3): {}, (2, 3): {}, (2, 4): {}, (2, 5): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 5): {'bw': 0}, (1, 3): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 100.0}}, 'path_level': {(0, 5): {}, (1, 3): {}, (2, 3): {}, (2, 4): {}, (2, 5): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,6.0,5.0,3
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,97.0,17304,2649,14655,0.0,0.0,2,161.1729662852628,97.0,7,10,False,"{0: np.int64(2), 1: np.int64(26), 2: np.int64(12), 3: np.int64(4), 4: np.int64(25), 5: np.int64(14), 6: np.int64(1)}","{(0, 1): [(np.int64(2), 21), (21, 23), (23, 26)], (0, 2): [(np.int64(2), 13), (13, 14), (14, 12)], (0, 5): [(np.int64(2), 13), (13, 15), (15, 12), (12, 14)], (1, 2): [(np.int64(26), 23), (23, 20), (20, 0), (0, 12)], (1, 3): []}","{(0, np.int64(2)): {'cpu': 40}, (1, np.int64(26)): {'cpu': 55}, (2, np.int64(12)): {'cpu': 80}, (3, np.int64(4)): {'cpu': 31}, (4, np.int64(25)): {'cpu': 48}, (5, np.int64(14)): {'cpu': 53}, (6, np.int64(1)): {'cpu': 37}}","{((0, 1), (np.int64(2), 21)): {'bw': 150}, ((0, 1), (21, 23)): {'bw': 150}, ((0, 1), (23, 26)): {'bw': 150}, ((0, 2), (np.int64(2), 13)): {'bw': 60}, ((0, 2), (13, 14)): {'bw': 60}, ((0, 2), (14, 12)): {'bw': 60}, ((0, 5), (np.int64(2), 13)): {'bw': 150}, ((0, 5), (13, 15)): {'bw': 150}, ((0, 5), (15, 12)): {'bw': 150}, ((0, 5), (12, 14)): {'bw': 150}, ((1, 2), (np.int64(26), 23)): {'bw': 130}, ((1, 2), (23, 20)): {'bw': 130}, ((1, 2), (20, 0)): {'bw': 130}, ((1, 2), (0, 12)): {'bw': 130}}",0.0,0.0,688.0,344.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -13}, 1: {'cpu': -21}, 2: {'cpu': -8}, 3: {'cpu': -19}, 4: {'cpu': -3}, 5: {'cpu': -17}, 6: {'cpu': -37}}, 'link_level': {(0, 1): {'bw': -78}, (0, 2): {'bw': -141}, (0, 5): {'bw': -23}, (1, 2): {'bw': -103}, (1, 3): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 5): {}, (1, 2): {}, (1, 3): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 5): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 5): {}, (1, 2): {}, (1, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,7.0,5.0,3
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,133.0,17304,2649,14655,0.0,0.0,3,78.49650036304767,133.0,9,22,False,"{0: np.int64(17), 1: np.int64(12), 2: np.int64(28), 3: np.int64(32), 4: np.int64(4), 5: np.int64(16), 6: np.int64(26), 7: np.int64(15), 8: np.int64(0)}","{(0, 1): [(np.int64(17), 14), (14, 12)], (0, 3): [(np.int64(17), 14), (14, 12), (12, 0), (0, 28), (28, 30), (30, 32)], (0, 6): [(np.int64(17), 14), (14, 12), (12, 0), (0, 20), (20, 23), (23, 26)], (0, 7): []}","{(0, np.int64(17)): {'cpu': 41}, (1, np.int64(12)): {'cpu': 74}, (2, np.int64(28)): {'cpu': 46}, (3, np.int64(32)): {'cpu': 75}, (4, np.int64(4)): {'cpu': 44}, (5, np.int64(16)): {'cpu': 37}, (6, np.int64(26)): {'cpu': 74}, (7, np.int64(15)): {'cpu': 65}, (8, np.int64(0)): {'cpu': 32}}","{((0, 1), (np.int64(17), 14)): {'bw': 76}, ((0, 1), (14, 12)): {'bw': 76}, ((0, 3), (np.int64(17), 14)): {'bw': 77}, ((0, 3), (14, 12)): {'bw': 77}, ((0, 3), (12, 0)): {'bw': 77}, ((0, 3), (0, 28)): {'bw': 77}, ((0, 3), (28, 30)): {'bw': 77}, ((0, 3), (30, 32)): {'bw': 77}, ((0, 6), (np.int64(17), 14)): {'bw': 76}, ((0, 6), (14, 12)): {'bw': 76}, ((0, 6), (12, 0)): {'bw': 76}, ((0, 6), (0, 20)): {'bw': 76}, ((0, 6), (20, 23)): {'bw': 76}, ((0, 6), (23, 26)): {'bw': 76}}",0.0,0.0,976.0,488.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -48}, 1: {'cpu': -14}, 2: {'cpu': -44}, 3: {'cpu': -17}, 4: {'cpu': -6}, 5: {'cpu': -42}, 6: {'cpu': -2}, 7: {'cpu': -29}, 8: {'cpu': -60}}, 'link_level': {(0, 1): {'bw': -157}, (0, 3): {'bw': -80}, (0, 6): {'bw': -4}, (0, 7): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,9.0,4.0,3
5,1,1,955.0,1590.0,578123.2612110324,962529.827566012,0.60062893081761,0.60062893081761,6,4,1,164.0,15714,2312,13402,0.12721781804454513,0.08549982940975775,4,605.3646714251648,164.0,6,8,True,"{0: np.int64(3), 1: np.int64(1), 2: np.int64(15), 3: np.int64(30), 4: np.int64(32), 5: np.int64(13)}","{(0, 1): [(np.int64(3), 5), (5, 6), (6, 4), (4, 1)], (0, 2): [(np.int64(3), 13), (13, 15)], (0, 5): [(np.int64(3), 13)], (1, 2): [(np.int64(1), 12), (12, 15)], (1, 3): [(np.int64(1), 28), (28, 30)], (1, 5): [(np.int64(1), 12), (12, 14), (14, 13)], (2, 5): [(np.int64(15), 13)], (3, 4): [(np.int64(30), 32)]}","{(0, np.int64(3)): {'cpu': 31}, (1, np.int64(1)): {'cpu': 33}, (2, np.int64(15)): {'cpu': 73}, (3, np.int64(30)): {'cpu': 80}, (4, np.int64(32)): {'cpu': 62}, (5, np.int64(13)): {'cpu': 58}}","{((0, 1), (np.int64(3), 5)): {'bw': 76}, ((0, 1), (5, 6)): {'bw': 76}, ((0, 1), (6, 4)): {'bw': 76}, ((0, 1), (4, 1)): {'bw': 76}, ((0, 2), (np.int64(3), 13)): {'bw': 100}, ((0, 2), (13, 15)): {'bw': 100}, ((0, 5), (np.int64(3), 13)): {'bw': 68}, ((1, 2), (np.int64(1), 12)): {'bw': 74}, ((1, 2), (12, 15)): {'bw': 74}, ((1, 3), (np.int64(1), 28)): {'bw': 87}, ((1, 3), (28, 30)): {'bw': 87}, ((1, 5), (np.int64(1), 12)): {'bw': 73}, ((1, 5), (12, 14)): {'bw': 73}, ((1, 5), (14, 13)): {'bw': 73}, ((2, 5), (np.int64(15), 13)): {'bw': 68}, ((3, 4), (np.int64(30), 32)): {'bw': 72}}",1590.0,955.0,674.0,337.0,618.0,337.0,618.0,337.0,1253.0,635.0,0.60062893081761,962529.827566012,578123.2612110324,363.5995353528506,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -27}, 1: {'cpu': -41}, 2: {'cpu': -21}, 3: {'cpu': -3}, 4: {'cpu': -30}, 5: {'cpu': -24}}, 'link_level': {(0, 1): {'bw': -161}, (0, 2): {'bw': -100}, (0, 5): {'bw': -32}, (1, 2): {'bw': -146}, (1, 3): {'bw': -162}, (1, 5): {'bw': -73}, (2, 5): {'bw': -117}, (3, 4): {'bw': -317}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 5): {}, (1, 2): {}, (1, 3): {}, (1, 5): {}, (2, 5): {}, (3, 4): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 5): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (1, 5): {'bw': 0}, (2, 5): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 5): {}, (1, 2): {}, (1, 3): {}, (1, 5): {}, (2, 5): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,6.0,8.0,3
6,1,1,955.0,1590.0,578123.2612110324,962529.827566012,0.60062893081761,0.60062893081761,6,5,1,193.0,15714,2312,13402,0.12721781804454513,0.08549982940975775,5,418.58562948066964,193.0,6,10,False,"{0: np.int64(12), 1: np.int64(28), 2: np.int64(22), 3: np.int64(23), 4: np.int64(21), 5: np.int64(16)}","{(0, 2): [(np.int64(12), 0), (0, 20), (20, 22)], (0, 3): [(np.int64(12), 0), (0, 20), (20, 23)], (0, 4): [(np.int64(12), 14), (14, 13), (13, 2), (2, 21)], (1, 2): [(np.int64(28), 1), (1, 20), (20, 22)], (1, 3): [(np.int64(28), 0), (0, 4), (4, 1), (1, 20), (20, 23)], (1, 4): [(np.int64(28), 30), (30, 29), (29, 2), (2, 21)], (1, 5): []}","{(0, np.int64(12)): {'cpu': 78}, (1, np.int64(28)): {'cpu': 75}, (2, np.int64(22)): {'cpu': 62}, (3, np.int64(23)): {'cpu': 43}, (4, np.int64(21)): {'cpu': 60}, (5, np.int64(16)): {'cpu': 74}}","{((0, 2), (np.int64(12), 0)): {'bw': 97}, ((0, 2), (0, 20)): {'bw': 97}, ((0, 2), (20, 22)): {'bw': 97}, ((0, 3), (np.int64(12), 0)): {'bw': 129}, ((0, 3), (0, 20)): {'bw': 129}, ((0, 3), (20, 23)): {'bw': 129}, ((0, 4), (np.int64(12), 14)): {'bw': 85}, ((0, 4), (14, 13)): {'bw': 85}, ((0, 4), (13, 2)): {'bw': 85}, ((0, 4), (2, 21)): {'bw': 85}, ((1, 2), (np.int64(28), 1)): {'bw': 138}, ((1, 2), (1, 20)): {'bw': 138}, ((1, 2), (20, 22)): {'bw': 138}, ((1, 3), (np.int64(28), 0)): {'bw': 72}, ((1, 3), (0, 4)): {'bw': 72}, ((1, 3), (4, 1)): {'bw': 72}, ((1, 3), (1, 20)): {'bw': 72}, ((1, 3), (20, 23)): {'bw': 72}, ((1, 4), (np.int64(28), 30)): {'bw': 81}, ((1, 4), (30, 29)): {'bw': 81}, ((1, 4), (29, 2)): {'bw': 81}, ((1, 4), (2, 21)): {'bw': 81}}",0.0,0.0,784.0,392.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -10}, 1: {'cpu': -15}, 2: {'cpu': -10}, 3: {'cpu': -9}, 4: {'cpu': -16}, 5: {'cpu': -5}}, 'link_level': {(0, 2): {'bw': -182}, (0, 3): {'bw': -53}, (0, 4): {'bw': -43}, (1, 2): {'bw': -24}, (1, 3): {'bw': -79}, (1, 4): {'bw': -62}, (1, 5): {'bw': 100.0}}, 'path_level': {(0, 2): {}, (0, 3): {}, (0, 4): {}, (1, 2): {}, (1, 3): {}, (1, 4): {}, (1, 5): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 100.0}}, 'path_level': {(0, 2): {}, (0, 3): {}, (0, 4): {}, (1, 2): {}, (1, 3): {}, (1, 4): {}, (1, 5): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,6.0,7.0,3
6,1,1,955.0,1590.0,578123.2612110324,962529.827566012,0.60062893081761,0.60062893081761,6,6,0,211.4965003630477,15714,2312,13402,0.12721781804454513,0.08549982940975775,3,78.49650036304767,133.0,9,22,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,3
7,1,1,955.0,1590.0,578123.2612110324,962529.827566012,0.60062893081761,0.60062893081761,6,7,1,229.0,15714,2312,13402,0.12721781804454513,0.08549982940975775,6,472.8518356433432,229.0,6,6,False,"{0: np.int64(21), 1: np.int64(17), 2: np.int64(11), 3: np.int64(12), 4: np.int64(35), 5: np.int64(23)}","{(0, 3): [(np.int64(21), 2), (2, 13), (13, 14), (14, 12)], (0, 4): [(np.int64(21), 3), (3, 29), (29, 31), (31, 35)], (1, 2): []}","{(0, np.int64(21)): {'cpu': 49}, (1, np.int64(17)): {'cpu': 70}, (2, np.int64(11)): {'cpu': 66}, (3, np.int64(12)): {'cpu': 61}, (4, np.int64(35)): {'cpu': 68}, (5, np.int64(23)): {'cpu': 48}}","{((0, 3), (np.int64(21), 2)): {'bw': 110}, ((0, 3), (2, 13)): {'bw': 110}, ((0, 3), (13, 14)): {'bw': 110}, ((0, 3), (14, 12)): {'bw': 110}, ((0, 4), (np.int64(21), 3)): {'bw': 140}, ((0, 4), (3, 29)): {'bw': 140}, ((0, 4), (29, 31)): {'bw': 140}, ((0, 4), (31, 35)): {'bw': 140}}",0.0,0.0,724.0,362.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -27}, 1: {'cpu': -19}, 2: {'cpu': -5}, 3: {'cpu': -27}, 4: {'cpu': -25}, 5: {'cpu': -4}}, 'link_level': {(0, 3): {'bw': -18}, (0, 4): {'bw': -62}, (1, 2): {'bw': 100.0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (1, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 100.0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (1, 2): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,6.0,3.0,3
8,1,1,955.0,1590.0,578123.2612110324,962529.827566012,0.60062893081761,0.60062893081761,6,8,1,253.0,15714,2312,13402,0.12721781804454513,0.08549982940975775,7,21.469852536087064,253.0,9,23,False,"{0: np.int64(9), 1: np.int64(31), 2: np.int64(6), 3: np.int64(20), 4: np.int64(17), 5: np.int64(0), 6: np.int64(21), 7: np.int64(27), 8: np.int64(26)}","{(0, 2): [(np.int64(9), 6)], (0, 5): [(np.int64(9), 6), (6, 4), (4, 0)], (0, 6): [(np.int64(9), 6), (6, 5), (5, 2), (2, 21)], (0, 7): []}","{(0, np.int64(9)): {'cpu': 43}, (1, np.int64(31)): {'cpu': 57}, (2, np.int64(6)): {'cpu': 66}, (3, np.int64(20)): {'cpu': 66}, (4, np.int64(17)): {'cpu': 74}, (5, np.int64(0)): {'cpu': 75}, (6, np.int64(21)): {'cpu': 58}, (7, np.int64(27)): {'cpu': 54}, (8, np.int64(26)): {'cpu': 75}}","{((0, 2), (np.int64(9), 6)): {'bw': 129}, ((0, 5), (np.int64(9), 6)): {'bw': 123}, ((0, 5), (6, 4)): {'bw': 123}, ((0, 5), (4, 0)): {'bw': 123}, ((0, 6), (np.int64(9), 6)): {'bw': 104}, ((0, 6), (6, 5)): {'bw': 104}, ((0, 6), (5, 2)): {'bw': 104}, ((0, 6), (2, 21)): {'bw': 104}}",0.0,0.0,1136.0,568.0,2701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -48}, 1: {'cpu': -22}, 2: {'cpu': -3}, 3: {'cpu': -1}, 4: {'cpu': -15}, 5: {'cpu': -17}, 6: {'cpu': -18}, 7: {'cpu': -1}, 8: {'cpu': -1}}, 'link_level': {(0, 2): {'bw': -270}, (0, 5): {'bw': -110}, (0, 6): {'bw': -43}, (0, 7): {'bw': 100.0}}, 'path_level': {(0, 2): {}, (0, 5): {}, (0, 6): {}, (0, 7): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 100.0}}, 'path_level': {(0, 2): {}, (0, 5): {}, (0, 6): {}, (0, 7): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,9.0,4.0,3
8,1,1,955.0,1590.0,578123.2612110324,962529.827566012,0.60062893081761,0.60062893081761,6,9,0,258.17296628526276,15714,2312,13402,0.12721781804454513,0.08549982940975775,2,161.1729662852628,97.0,7,10,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,3
