solver_name,run_id,reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,seed,p_net_dataset_dir,v_nets_dataset_dir,start_run_time,clock_running_time
mcts,Luisas-MacBook-Air.local-20251130T204528-1683,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.5633333333333334,0.3092773760323923,0.40304541363572016,318.30967651978733,169,0,0,131,19810.0,8237.0,4689974.773842546,11636343.238683846,0.4158001009591116,14734.0,0.5590471019410886,1.3445092982217999,7282,4251,2997,10,13100.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_1,20251130T204528,54.16915774345398
mcts,Luisas-MacBook-Air.local-20251130T214531-7307,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.6,0.29300887752545607,0.36541568371193917,323.04037647979544,180,0,0,120,28269.0,10312.0,4571990.448318545,12511752.100719055,0.3647812090983056,14153.0,0.7286087755246238,1.997385713276337,7903,4632,3246,10,12000.0,-inf,0.0,2,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_2,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_2,20251130T214532,55.51846480369568
mcts,Luisas-MacBook-Air.local-20251130T223736-3995,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.6666666666666666,0.3459426185423626,0.37658723900052055,386.473084417441,200,0,0,100,26116.0,9919.0,5759994.85015754,15295247.033449208,0.3798054832286721,14904.0,0.6655260332796564,1.7522812667740204,7964,4445,3474,11,10000.0,-inf,0.0,3,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_3,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_3,20251130T223736,48.57328510284424
mcts,Luisas-MacBook-Air.local-20251130T231311-3511,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.5733333333333334,0.2784667981498805,0.3703455879904434,304.3674764536767,172,0,0,128,24884.0,9122.0,4301625.544719813,11615166.169688012,0.3665809355409098,14133.0,0.6454397509375221,1.760701903346777,8140,4728,3376,9,12800.0,-inf,0.0,4,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_4,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_4,20251130T231311,54.715219020843506
mcts,Luisas-MacBook-Air.local-20251130T233245-6187,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],1.0,0.6406408291375977,0.5522132290077648,751.8579111769674,300,0,0,0,42723.0,22931.0,11210201.455648584,20300494.205456555,0.5367366523886431,14910.0,1.537961099932931,2.8653923541247486,14658,2144,12475,15,0.0,-inf,0.0,0,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_0,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_0,20251130T233245,60.82275199890137
mcts,Luisas-MacBook-Air.local-20251201T003859-5540,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],1.0,0.6582708434628671,0.5696110442092098,763.2335753515819,300,0,0,0,38335.0,21448.0,11245483.499230208,19742390.20390185,0.5594887178818312,14734.0,1.4556807384281254,2.601805348174291,13764,2089,11675,16,0.0,-inf,0.0,1,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_1,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_1,20251201T003859,58.881126165390015
mcts,Luisas-MacBook-Air.local-20251201T050456-7135,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],1.0,0.6346653962749128,0.5437124768995558,801.7376938384956,300,0,0,0,42297.0,22934.0,11346993.580896229,20869474.332464963,0.5422133957491075,14153.0,1.620433830283332,2.988553663534233,14318,2249,12011,15,0.0,-inf,0.0,2,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_2,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_2,20251201T050456,1977.4120600223541
mcts,Luisas-MacBook-Air.local-20251201T070730-7701,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],1.0,0.6630280341020864,0.5562852060336214,694.5693748460175,300,0,0,0,36156.0,20105.0,10351861.962705044,18608911.131243326,0.5560626175461887,14904.0,1.348966720343532,2.425925925925926,15327,2260,13027,14,0.0,-inf,0.0,3,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_3,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_3,20251201T070731,49.59021019935608
mcts,Luisas-MacBook-Air.local-20251201T072626-9441,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],1.0,0.6246401043581203,0.531161989701919,810.0708895259775,300,0,0,0,42198.0,22440.0,11448731.881670639,21554124.925421555,0.5317787572870752,14133.0,1.5877732965400126,2.985777966461473,14992,2414,12503,16,0.0,-inf,0.0,4,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_4,dataset/v_nets/300-[2-5]-random-500-0.02-cpu_[0-15]-bw_[0-30]-seed_4,20251201T072626,52.717474937438965
mcts,Luisas-MacBook-Air.local-20251201T073235-8316,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,292,8,0,0,0,0,nan,2482.0,0.0,0.0,9202,4586,4616,0,800.0,-inf,0.0,0,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_0,20251201T073235,24.12990379333496
mcts,Luisas-MacBook-Air.local-20251201T073943-7378,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,296,4,0,0,0,0,nan,2792.0,0.0,0.0,8909,4490,4419,0,400.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_1,20251201T073943,20.964468955993652
