v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0,0,0,0,0,0,0,0,1,18.0,9659,4735,4924,0.0,0.0,0,264.08780479495465,18.0,5,6,False,{},{},{},{},0,0,290.0,145.0,301,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0,0
2,1,1,153.0,153.0,210255.4724099196,210255.4724099196,1.0,1.0,3,1,1,35.0,9506.0,4679,4827.0,0.011826821541710664,0.019699431356620667,1,1374.218773921043,35.0,3,2,True,"{0: 0, 1: 1, 2: 3}","{(0, 1): [(0, 1)], (1, 2): [(1, 3)]}","{(0, 0): {'cpu': 22}, (1, 1): {'cpu': 15}, (2, 3): {'cpu': 19}}","{((0, 1), (0, 1)): {'bw': 50.0}, ((1, 2), (1, 3)): {'bw': 47.0}}",153.0,153.0,112.0,56.0,97,56.0,97,56.0,97.0,0.0,1.0,210255.4724099196,210255.4724099196,1374.218773921043,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3,2
3,2,2,466.0,466.0,260702.61085720686,260702.61085720686,1.0,1.0,6,2,1,58.0,9193.0,4553,4640.0,0.038437170010559685,0.05767668562144601,2,161.1729662852628,58.0,4,3,True,"{3: 3, 2: 7, 0: 8, 1: 15}","{(0, 3): [(8, 3)], (1, 2): [(15, 7)], (2, 3): [(7, 3)]}","{(3, 3): {'cpu': 34}, (2, 7): {'cpu': 27}, (0, 8): {'cpu': 26}, (1, 15): {'cpu': 39}}","{((0, 3), (8, 3)): {'bw': 73.0}, ((1, 2), (15, 7)): {'bw': 76.0}, ((2, 3), (7, 3)): {'bw': 38.0}}",313.0,313.0,252.0,126.0,187,126.0,187,126.0,187.0,0.0,1.0,50447.13844728725,50447.13844728725,161.1729662852628,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,4,3
4,2,2,466.0,466.0,260702.61085720686,260702.61085720686,1.0,1.0,6,3,1,80.0,9193.0,4553,4640.0,0.038437170010559685,0.05767668562144601,3,78.49650036304767,80.0,6,6,False,{},{},{},{},0,0,296.0,148.0,337,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0,0
5,3,3,633.0,633.0,361798.5109852094,361798.5109852094,1.0,1.0,8,4,1,98.0,9026.0,4508,4518.0,0.04794086589229141,0.08245329000812351,4,605.3646714251648,98.0,3,2,True,"{2: 1, 1: 4, 0: 9}","{(0, 1): [(9, 4)], (1, 2): [(4, 1)]}","{(2, 1): {'cpu': 21}, (1, 4): {'cpu': 13}, (0, 9): {'cpu': 11}}","{((0, 1), (9, 4)): {'bw': 70.0}, ((1, 2), (4, 1)): {'bw': 52.0}}",167.0,167.0,90.0,45.0,122,45.0,122,45.0,122.0,0.0,1.0,101095.90012800253,101095.90012800253,605.3646714251648,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3,2
6,4,4,838.0,838.0,447608.56502874667,447608.56502874667,1.0,1.0,10,5,1,114.0,8821.0,4417,4404.0,0.06715945089757125,0.10560519902518273,5,418.58562948066964,114.0,3,2,True,"{1: 0, 0: 2, 2: 5}","{(0, 1): [(2, 0)], (0, 2): [(2, 5)]}","{(1, 0): {'cpu': 27}, (0, 2): {'cpu': 38}, (2, 5): {'cpu': 26}}","{((0, 1), (2, 0)): {'bw': 60.0}, ((0, 2), (2, 5)): {'bw': 54.0}}",205.0,205.0,182.0,91.0,114,91.0,114,91.0,114.0,0.0,1.0,85810.05404353728,85810.05404353728,418.58562948066964,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3,2
7,5,5,1049.0,1077.0,547380.3023494921,560620.1537475057,0.9740018570102136,0.9763835614729315,13,6,1,136.0,8582.0,4338,4244.0,0.08384371700105597,0.13809910641754675,6,472.8518356433432,136.0,3,3,True,"{2: 14, 1: 30, 0: 46}","{(0, 1): [(46, 30)], (0, 2): [(30, 14), (46, 30)], (1, 2): [(30, 14)]}","{(2, 14): {'cpu': 37}, (1, 30): {'cpu': 24}, (0, 46): {'cpu': 18}}","{((0, 1), (46, 30)): {'bw': 33.0}, ((0, 2), (30, 14)): {'bw': 28.0}, ((0, 2), (46, 30)): {'bw': 28.0}, ((1, 2), (30, 14)): {'bw': 71.0}}",239.0,211.0,158.0,79.0,132,79.0,132,79.0,160.0,28.0,0.8828451882845189,113011.58871875903,99771.73732074541,417.4549678692277,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3,3
8,5,5,1049.0,1077.0,547380.3023494921,560620.1537475057,0.9740018570102136,0.9763835614729315,13,7,1,149.0,8582.0,4338,4244.0,0.08384371700105597,0.13809910641754675,7,21.469852536087064,149.0,6,6,False,{},{},{},{},0,0,368.0,184.0,281,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0,0
8,5,5,1049.0,1077.0,547380.3023494921,560620.1537475057,0.9740018570102136,0.9763835614729315,13,8,0,158.4965003630477,8582.0,4338,4244.0,0.08384371700105597,0.13809910641754675,3,78.49650036304767,80.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
8,5,5,1049.0,1077.0,547380.3023494921,560620.1537475057,0.9740018570102136,0.9763835614729315,13,9,0,170.46985253608707,8582.0,4338,4244.0,0.08384371700105597,0.13809910641754675,7,21.469852536087064,149.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
