solver_name,run_id,reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,seed,p_net_dataset_dir,v_nets_dataset_dir,start_run_time,clock_running_time
mip,Luisas-MacBook-Air.local-20251201T072951-2007,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,0,0,0,0,0,0,nan,2482.0,0.0,0.0,9202,4586,4616,0,0.0,-inf,0.0,0,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_0,20251201T072951,161.7234411239624
mip,Luisas-MacBook-Air.local-20251201T073645-5726,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,0,0,0,0,0,0,nan,2792.0,0.0,0.0,8909,4490,4419,0,0.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_1,20251201T073645,175.91009998321533
mip,Luisas-MacBook-Air.local-20251201T074345-5045,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,0,0,0,0,0,0,nan,2368.0,0.0,0.0,9504,4874,4630,0,0.0,-inf,0.0,2,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_2,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_2,20251201T074345,166.83725500106812
mip,Luisas-MacBook-Air.local-20251201T075036-0069,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,0,0,0,0,0,0,nan,1278.0,0.0,0.0,9659,4735,4924,0,0.0,-inf,0.0,3,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_3,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_3,20251201T075036,178.05745315551758
mip,Luisas-MacBook-Air.local-20251201T075750-7585,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,0,0,0,0,0,0,nan,2889.0,0.0,0.0,9625,4944,4681,0,0.0,-inf,0.0,4,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_4,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_4,20251201T075750,171.3935742378235
mip,Luisas-MacBook-Air.local-20251201T080440-7388,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.016666666666666666,0.01521090340571174,0.9351113779893014,213.54017228158108,5,0,0,0,6983.0,6369.0,530006.7076028843,566784.5778355486,0.9120721752828297,2482.0,2.5660757453666396,2.813456889605157,14138.0,1993,12145.0,2,0.0,-inf,0.0,0,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_0,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_0,20251201T080440,67.81237626075745
mip,Luisas-MacBook-Air.local-20251201T080814-4618,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.006666666666666667,0.0038392887994982104,0.5482129246394257,420.5619008113722,2,0,0,0,5333.0,3065.0,1174208.8270653512,2141884.61141747,0.5747234202137633,2792.0,1.097779369627507,1.9101002865329513,13515.0,2290,11225.0,1,0.0,-inf,0.0,1,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_1,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_1,20251201T080814,68.58470582962036
mip,Luisas-MacBook-Air.local-20251201T081204-5662,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.023333333333333334,0.01967441875760554,0.8251100042264865,3089.333396061883,7,0,0,0,11704.0,9257.0,7315541.481874539,8866140.810803303,0.7909261790840738,2368.0,3.909206081081081,4.9425675675675675,11720.0,1812,9908.0,3,0.0,-inf,0.0,2,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_2,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_2,20251201T081204,96.15035796165466
mip,Luisas-MacBook-Air.local-20251201T081641-2374,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.01,0.0064429911469024445,0.629779234168826,1362.3671212112542,3,0,0,0,9692.0,5839.0,1741105.1809079829,2764627.8035919517,0.602455633512175,1278.0,4.568857589984351,7.583724569640062,13148.0,2190,10958.0,1,0.0,-inf,0.0,3,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_3,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_3,20251201T081642,96.62614679336548
mip,Luisas-MacBook-Air.local-20251201T082139-4830,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.013333333333333334,0.010429474395021409,0.7443712382891559,675.4091655946572,4,0,0,0,8284.0,6374.0,1951257.0794029646,2621349.373852333,0.76943505552873,2889.0,2.206299757701627,2.867428175839391,14486.0,2470,12016.0,1,0.0,-inf,0.0,4,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_4,dataset/v_nets/300-[4-8]-random-500-0.1-cpu_[50-150]-bw_[100-400]-seed_4,20251201T082139,71.64172577857971
