v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,15.0,19261,9668,9593,0.0,0.0,0,751.6116744769311,15.0,10,19,False,"{4: np.int64(11), 1: np.int64(5), 2: np.int64(2), 6: np.int64(24), 7: np.int64(12), 8: np.int64(25), 3: np.int64(26), 9: np.int64(51), 5: np.int64(52), 0: np.int64(6)}","{(0, 3): [(np.int64(6), 2), (2, 5), (5, 12), (12, np.int64(26))], (0, 4): []}","{(4, np.int64(11)): {'cpu': 13}, (1, np.int64(5)): {'cpu': 20}, (2, np.int64(2)): {'cpu': 6}, (6, np.int64(24)): {'cpu': 12}, (7, np.int64(12)): {'cpu': 10}, (8, np.int64(25)): {'cpu': 3}, (3, np.int64(26)): {'cpu': 2}, (9, np.int64(51)): {'cpu': 3}, (5, np.int64(52)): {'cpu': 1}, (0, np.int64(6)): {'cpu': 0}}","{((0, 3), (np.int64(6), 2)): {'bw': 43}, ((0, 3), (2, 5)): {'bw': 43}, ((0, 3), (5, 12)): {'bw': 43}, ((0, 3), (12, np.int64(26))): {'bw': 43}}",0.0,0.0,140.0,70.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,22.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -86}, 1: {'cpu': -73}, 2: {'cpu': -89}, 6: {'cpu': -80}, 7: {'cpu': -71}, 8: {'cpu': -90}, 3: {'cpu': -87}, 9: {'cpu': -97}, 5: {'cpu': -94}, 0: {'cpu': -68}}, 'link_level': {(0, 3): {'bw': -14}, (0, 4): {'bw': 22}}, 'path_level': {(0, 3): {}, (0, 4): {}}}","{'node_level': {4: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 0}, 9: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 22}}, 'path_level': {(0, 3): {}, (0, 4): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,10.0,2.0,2
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,43.0,19261,9668,9593,0.0,0.0,1,750.5227476258572,43.0,10,17,False,"{4: np.int64(11), 8: np.int64(5), 2: np.int64(2), 6: np.int64(24), 0: np.int64(12), 7: np.int64(25), 3: np.int64(26), 1: np.int64(51), 5: np.int64(52), 9: np.int64(6)}","{(0, 1): [(np.int64(12), 25), (25, np.int64(51))], (0, 4): [(np.int64(12), 5), (5, np.int64(11))], (0, 6): [(np.int64(12), 5), (5, 11), (11, np.int64(24))], (1, 2): []}","{(4, np.int64(11)): {'cpu': 20}, (8, np.int64(5)): {'cpu': 20}, (2, np.int64(2)): {'cpu': 14}, (6, np.int64(24)): {'cpu': 8}, (0, np.int64(12)): {'cpu': 11}, (7, np.int64(25)): {'cpu': 14}, (3, np.int64(26)): {'cpu': 17}, (1, np.int64(51)): {'cpu': 10}, (5, np.int64(52)): {'cpu': 5}, (9, np.int64(6)): {'cpu': 3}}","{((0, 1), (np.int64(12), 25)): {'bw': 10}, ((0, 1), (25, np.int64(51))): {'bw': 10}, ((0, 4), (np.int64(12), 5)): {'bw': 32}, ((0, 4), (5, np.int64(11))): {'bw': 32}, ((0, 6), (np.int64(12), 5)): {'bw': 46}, ((0, 6), (5, 11)): {'bw': 46}, ((0, 6), (11, np.int64(24))): {'bw': 46}}",0.0,0.0,244.0,122.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,16.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -79}, 8: {'cpu': -73}, 2: {'cpu': -81}, 6: {'cpu': -84}, 0: {'cpu': -70}, 7: {'cpu': -79}, 3: {'cpu': -72}, 1: {'cpu': -90}, 5: {'cpu': -90}, 9: {'cpu': -65}}, 'link_level': {(0, 1): {'bw': -56}, (0, 4): {'bw': -50}, (0, 6): {'bw': -4}, (1, 2): {'bw': 16}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 6): {}, (1, 2): {}}}","{'node_level': {4: {'cpu': 0}, 8: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 16}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 6): {}, (1, 2): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,10.0,4.0,2
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,65.0,19261,9668,9593,0.0,0.0,2,349.3600929825318,65.0,8,17,False,"{1: np.int64(11), 0: np.int64(5), 5: np.int64(2), 7: np.int64(24), 4: np.int64(12), 6: np.int64(25), 2: np.int64(26), 3: np.int64(51)}","{(0, 1): [(np.int64(5), 11)], (0, 3): [(np.int64(5), 12), (12, 25), (25, np.int64(51))], (0, 6): [(np.int64(5), 12), (12, np.int64(25))], (0, 7): [(np.int64(5), 11), (11, np.int64(24))], (1, 3): []}","{(1, np.int64(11)): {'cpu': 20}, (0, np.int64(5)): {'cpu': 20}, (5, np.int64(2)): {'cpu': 15}, (7, np.int64(24)): {'cpu': 15}, (4, np.int64(12)): {'cpu': 6}, (6, np.int64(25)): {'cpu': 6}, (2, np.int64(26)): {'cpu': 9}, (3, np.int64(51)): {'cpu': 1}}","{((0, 1), (np.int64(5), 11)): {'bw': 50}, ((0, 3), (np.int64(5), 12)): {'bw': 15}, ((0, 3), (12, 25)): {'bw': 15}, ((0, 3), (25, np.int64(51))): {'bw': 15}, ((0, 6), (np.int64(5), 12)): {'bw': 6}, ((0, 6), (12, np.int64(25))): {'bw': 6}, ((0, 7), (np.int64(5), 11)): {'bw': 46}, ((0, 7), (11, np.int64(24))): {'bw': 46}}",0.0,0.0,184.0,92.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,19.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -79}, 0: {'cpu': -73}, 5: {'cpu': -80}, 7: {'cpu': -77}, 4: {'cpu': -75}, 6: {'cpu': -87}, 2: {'cpu': -80}, 3: {'cpu': -99}}, 'link_level': {(0, 1): {'bw': -46}, (0, 3): {'bw': -51}, (0, 6): {'bw': -45}, (0, 7): {'bw': 0}, (1, 3): {'bw': 19}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}, (1, 3): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (1, 3): {'bw': 19}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}, (1, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,8.0,5.0,2
4,1,1,60.0,83.0,94221.072032317,130339.14964470519,0.7228915662650602,0.7228915662650601,4,3,1,82.0,19178,9633,9545,0.0036201903185767437,0.00500364849369328,3,1570.3512005386167,82.0,4,4,True,"{1: np.int64(11), 0: np.int64(5), 3: np.int64(2), 2: np.int64(24)}","{(0, 1): [(np.int64(5), 11)], (0, 2): [(np.int64(5), 11), (11, np.int64(24))], (1, 3): [(np.int64(11), 5), (5, np.int64(2))], (2, 3): [(np.int64(24), 11), (11, 5), (5, np.int64(2))]}","{(1, np.int64(11)): {'cpu': 18}, (0, np.int64(5)): {'cpu': 14}, (3, np.int64(2)): {'cpu': 1}, (2, np.int64(24)): {'cpu': 2}}","{((0, 1), (np.int64(5), 11)): {'bw': 2}, ((0, 2), (np.int64(5), 11)): {'bw': 3}, ((0, 2), (11, np.int64(24))): {'bw': 3}, ((1, 3), (np.int64(11), 5)): {'bw': 20}, ((1, 3), (5, np.int64(2))): {'bw': 20}, ((2, 3), (np.int64(24), 11)): {'bw': 0}, ((2, 3), (11, 5)): {'bw': 0}, ((2, 3), (5, np.int64(2))): {'bw': 0}}",83.0,60.0,70.0,35.0,25.0,35.0,25.0,35.0,48.0,23.0,0.7228915662650602,130339.14964470519,94221.072032317,1135.1936389435784,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -81}, 0: {'cpu': -79}, 3: {'cpu': -94}, 2: {'cpu': -90}}, 'link_level': {(0, 1): {'bw': -94}, (0, 2): {'bw': -79}, (1, 3): {'bw': -37}, (2, 3): {'bw': -37}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 3): {}, (2, 3): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (1, 3): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 3): {}, (2, 3): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,4.0,4.0,2
5,1,1,60.0,83.0,94221.072032317,130339.14964470519,0.7228915662650602,0.7228915662650601,4,4,1,110.0,19178,9633,9545,0.0036201903185767437,0.00500364849369328,4,201.63903511487771,110.0,10,23,False,"{1: np.int64(34), 5: np.int64(16), 2: np.int64(7), 7: np.int64(15), 9: np.int64(33), 0: np.int64(32), 8: np.int64(8), 3: np.int64(3), 6: np.int64(17), 4: np.int64(36)}","{(0, 1): [(np.int64(32), 15), (15, 7), (7, 16), (16, np.int64(34))], (0, 2): [(np.int64(32), 15), (15, np.int64(7))], (0, 9): []}","{(1, np.int64(34)): {'cpu': 20}, (5, np.int64(16)): {'cpu': 17}, (2, np.int64(7)): {'cpu': 10}, (7, np.int64(15)): {'cpu': 12}, (9, np.int64(33)): {'cpu': 10}, (0, np.int64(32)): {'cpu': 9}, (8, np.int64(8)): {'cpu': 9}, (3, np.int64(3)): {'cpu': 6}, (6, np.int64(17)): {'cpu': 5}, (4, np.int64(36)): {'cpu': 0}}","{((0, 1), (np.int64(32), 15)): {'bw': 33}, ((0, 1), (15, 7)): {'bw': 33}, ((0, 1), (7, 16)): {'bw': 33}, ((0, 1), (16, np.int64(34))): {'bw': 33}, ((0, 2), (np.int64(32), 15)): {'bw': 30}, ((0, 2), (15, np.int64(7))): {'bw': 30}}",0.0,0.0,196.0,98.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,59.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -76}, 5: {'cpu': -64}, 2: {'cpu': -51}, 7: {'cpu': -85}, 9: {'cpu': -44}, 0: {'cpu': -65}, 8: {'cpu': -81}, 3: {'cpu': -52}, 6: {'cpu': -71}, 4: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -36}, (0, 2): {'bw': -6}, (0, 9): {'bw': 40}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 9): {}}}","{'node_level': {1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 0}, 9: {'cpu': 0}, 0: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 9): {'bw': 59}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 9): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,10.0,3.0,2
6,1,1,60.0,83.0,94221.072032317,130339.14964470519,0.7228915662650602,0.7228915662650601,4,5,1,131.0,19178,9633,9545,0.0036201903185767437,0.00500364849369328,5,328.3672823909719,131.0,9,21,False,"{1: np.int64(34), 8: np.int64(16), 3: np.int64(7), 5: np.int64(15), 7: np.int64(33), 2: np.int64(32), 6: np.int64(8), 0: np.int64(3), 4: np.int64(17)}","{(0, 2): [(np.int64(3), 7), (7, 15), (15, np.int64(32))], (0, 3): []}","{(1, np.int64(34)): {'cpu': 20}, (8, np.int64(16)): {'cpu': 19}, (3, np.int64(7)): {'cpu': 12}, (5, np.int64(15)): {'cpu': 16}, (7, np.int64(33)): {'cpu': 11}, (2, np.int64(32)): {'cpu': 11}, (6, np.int64(8)): {'cpu': 19}, (0, np.int64(3)): {'cpu': 1}, (4, np.int64(17)): {'cpu': 1}}","{((0, 2), (np.int64(3), 7)): {'bw': 24}, ((0, 2), (7, 15)): {'bw': 24}, ((0, 2), (15, np.int64(32))): {'bw': 24}}",0.0,0.0,220.0,110.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -76}, 8: {'cpu': -62}, 3: {'cpu': -49}, 5: {'cpu': -81}, 7: {'cpu': -43}, 2: {'cpu': -63}, 6: {'cpu': -71}, 0: {'cpu': -57}, 4: {'cpu': -75}}, 'link_level': {(0, 2): {'bw': -44}, (0, 3): {'bw': 1}}, 'path_level': {(0, 2): {}, (0, 3): {}}}","{'node_level': {1: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 3): {'bw': 1}}, 'path_level': {(0, 2): {}, (0, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,9.0,2.0,2
7,1,1,60.0,83.0,94221.072032317,130339.14964470519,0.7228915662650602,0.7228915662650601,4,6,1,153.0,19178,9633,9545,0.0036201903185767437,0.00500364849369328,6,689.905709121674,153.0,4,5,False,"{2: np.int64(34), 1: np.int64(16), 0: np.int64(7), 3: np.int64(15)}","{(0, 1): [(np.int64(7), 16)], (0, 2): [(np.int64(7), 16), (16, np.int64(34))], (0, 3): [(np.int64(7), 15)], (1, 2): [(np.int64(16), 34)], (2, 3): []}","{(2, np.int64(34)): {'cpu': 15}, (1, np.int64(16)): {'cpu': 11}, (0, np.int64(7)): {'cpu': 6}, (3, np.int64(15)): {'cpu': 16}}","{((0, 1), (np.int64(7), 16)): {'bw': 30}, ((0, 2), (np.int64(7), 16)): {'bw': 46}, ((0, 2), (16, np.int64(34))): {'bw': 46}, ((0, 3), (np.int64(7), 15)): {'bw': 1}, ((1, 2), (np.int64(16), 34)): {'bw': 33}}",0.0,0.0,96.0,48.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,13.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -81}, 1: {'cpu': -70}, 0: {'cpu': -55}, 3: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -64}, (0, 2): {'bw': -18}, (0, 3): {'bw': -89}, (1, 2): {'bw': -4}, (2, 3): {'bw': 13}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (2, 3): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (2, 3): {'bw': 13}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (2, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,4.0,5.0,2
8,2,2,145.0,168.0,177130.01710902722,213248.09472141543,0.8630952380952381,0.8306288379290215,7,7,1,179.0,19093,9630,9463,0.003930492345883274,0.01355154800375269,7,975.3993538436497,179.0,3,2,True,"{1: np.int64(34), 0: np.int64(16), 2: np.int64(7)}","{(0, 1): [(np.int64(16), 34)], (0, 2): [(np.int64(16), 7)]}","{(1, np.int64(34)): {'cpu': 3}, (0, np.int64(16)): {'cpu': 0}, (2, np.int64(7)): {'cpu': 0}}","{((0, 1), (np.int64(16), 34)): {'bw': 32}, ((0, 2), (np.int64(16), 7)): {'bw': 50}}",85.0,85.0,6.0,3.0,82.0,3.0,82.0,3.0,82.0,0.0,1.0,82908.94507671022,82908.94507671022,975.3993538436497,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -93}, 0: {'cpu': -81}, 2: {'cpu': -61}}, 'link_level': {(0, 1): {'bw': -51}, (0, 2): {'bw': -44}}, 'path_level': {(0, 1): {}, (0, 2): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0,2
9,2,2,145.0,168.0,177130.01710902722,213248.09472141543,0.8630952380952381,0.8306288379290215,7,8,1,200.0,19093,9630,9463,0.003930492345883274,0.01355154800375269,8,267.6104373790477,200.0,7,10,False,"{4: np.int64(15), 3: np.int64(32), 5: np.int64(31), 0: np.int64(7), 2: np.int64(34), 6: np.int64(16), 1: np.int64(8)}","{(0, 1): [(np.int64(7), 3), (3, np.int64(8))], (0, 3): [(np.int64(7), 15), (15, np.int64(32))], (0, 5): [(np.int64(7), 15), (15, np.int64(31))], (1, 5): [(np.int64(8), 3), (3, 7), (7, 15), (15, np.int64(31))], (1, 6): [(np.int64(8), 3), (3, 7), (7, np.int64(16))], (2, 3): []}","{(4, np.int64(15)): {'cpu': 18}, (3, np.int64(32)): {'cpu': 16}, (5, np.int64(31)): {'cpu': 20}, (0, np.int64(7)): {'cpu': 9}, (2, np.int64(34)): {'cpu': 4}, (6, np.int64(16)): {'cpu': 7}, (1, np.int64(8)): {'cpu': 2}}","{((0, 1), (np.int64(7), 3)): {'bw': 21}, ((0, 1), (3, np.int64(8))): {'bw': 21}, ((0, 3), (np.int64(7), 15)): {'bw': 47}, ((0, 3), (15, np.int64(32))): {'bw': 47}, ((0, 5), (np.int64(7), 15)): {'bw': 10}, ((0, 5), (15, np.int64(31))): {'bw': 10}, ((1, 5), (np.int64(8), 3)): {'bw': 0}, ((1, 5), (3, 7)): {'bw': 0}, ((1, 5), (7, 15)): {'bw': 0}, ((1, 5), (15, np.int64(31))): {'bw': 0}, ((1, 6), (np.int64(8), 3)): {'bw': 8}, ((1, 6), (3, 7)): {'bw': 8}, ((1, 6), (7, np.int64(16))): {'bw': 8}}",0.0,0.0,152.0,76.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,47.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -79}, 3: {'cpu': -58}, 5: {'cpu': -35}, 0: {'cpu': -52}, 2: {'cpu': -89}, 6: {'cpu': -74}, 1: {'cpu': -88}}, 'link_level': {(0, 1): {'bw': -30}, (0, 3): {'bw': -22}, (0, 5): {'bw': -33}, (1, 5): {'bw': -30}, (1, 6): {'bw': -22}, (2, 3): {'bw': 24}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 5): {}, (1, 5): {}, (1, 6): {}, (2, 3): {}}}","{'node_level': {4: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (1, 5): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 47}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 5): {}, (1, 5): {}, (1, 6): {}, (2, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,7.0,6.0,2
10,2,2,145.0,168.0,177130.01710902722,213248.09472141543,0.8630952380952381,0.8306288379290215,7,9,1,232.0,19093,9630,9463,0.003930492345883274,0.01355154800375269,9,944.1941561255088,232.0,6,9,False,"{3: np.int64(15), 0: np.int64(32), 4: np.int64(31), 2: np.int64(7), 5: np.int64(34), 1: np.int64(16)}","{(0, 1): [(np.int64(32), 15), (15, 7), (7, np.int64(16))], (0, 2): [(np.int64(32), 15), (15, np.int64(7))], (0, 3): []}","{(3, np.int64(15)): {'cpu': 19}, (0, np.int64(32)): {'cpu': 5}, (4, np.int64(31)): {'cpu': 2}, (2, np.int64(7)): {'cpu': 3}, (5, np.int64(34)): {'cpu': 4}, (1, np.int64(16)): {'cpu': 8}}","{((0, 1), (np.int64(32), 15)): {'bw': 6}, ((0, 1), (15, 7)): {'bw': 6}, ((0, 1), (7, np.int64(16))): {'bw': 6}, ((0, 2), (np.int64(32), 15)): {'bw': 29}, ((0, 2), (15, np.int64(7))): {'bw': 29}}",0.0,0.0,82.0,41.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,16.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -78}, 0: {'cpu': -69}, 4: {'cpu': -53}, 2: {'cpu': -58}, 5: {'cpu': -89}, 1: {'cpu': -73}}, 'link_level': {(0, 1): {'bw': -38}, (0, 2): {'bw': -34}, (0, 3): {'bw': 16}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}}}","{'node_level': {3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 16}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,6.0,3.0,2
