,acceptance_rate,acceptance_rate,acceptance_rate,acceptance_rate,revenue,revenue,r2c_ratio,r2c_ratio,avg_time_per_vnr,avg_time_per_vnr,avg_time_per_vnr,avg_time_per_vnr
,mean,std,min,max,mean,std,mean,std,mean,std,min,max
algo_display,,,,,,,,,,,,
D-Round,0.342,0.231,0.1,0.595,11647.1,10962.931,0.324,0.027,7.294,1.605,5.687,8.912
GA,0.5,0.292,0.2,0.795,20393.2,18223.103,0.519,0.061,6.773,1.638,4.96,8.51
MCTS,0.462,0.294,0.155,0.765,17102.0,15549.315,0.403,0.028,9.853,0.069,9.74,9.937
MIP,0.553,0.202,0.345,0.76,20101.2,13807.58,0.735,0.169,15.021,1.46,13.349,16.773
PL-Rank,0.523,0.258,0.225,0.79,21231.9,17419.677,0.69,0.146,0.642,0.067,0.544,0.72
PSO,0.385,0.252,0.13,0.685,14273.9,13282.176,0.59,0.074,0.199,0.123,0.081,0.354
RW-Rank-BFS,0.548,0.221,0.31,0.795,23406.1,17915.577,0.741,0.152,0.341,0.078,0.187,0.429
SA,0.502,0.265,0.155,0.74,22168.625,16031.093,0.561,0.114,1.309,1.811,0.094,4.191
