v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,num_placed_nodes,num_routed_links,seed
1,1,1,446.0,594.0,117783.16093854977,156868.15604820306,0.7508417508417509,0.7508417508417509,5,0,1,18.0,16710,2504,14206,0.05473763684409216,0.030638007505970677,0,264.08780479495465,18.0,5,6,True,"{3: 28, 4: 0, 1: 1, 0: 30, 2: 31}","{(4, 3): [(0, 28)], (1, 3): [(1, 28)], (1, 4): [(1, 4), (4, 0)], (0, 1): [(30, 28), (28, 1)], (0, 3): [(30, 28)], (2, 4): [(31, 28), (28, 0)]}","{(3, 28): {'cpu': 37}, (4, 0): {'cpu': 26}, (1, 1): {'cpu': 27}, (0, 30): {'cpu': 17}, (2, 31): {'cpu': 38}}","{((4, 3), (0, 28)): {'bw': 57}, ((1, 3), (1, 28)): {'bw': 55}, ((1, 4), (1, 4)): {'bw': 65}, ((1, 4), (4, 0)): {'bw': 65}, ((0, 1), (30, 28)): {'bw': 36}, ((0, 1), (28, 1)): {'bw': 36}, ((0, 3), (30, 28)): {'bw': 41}, ((2, 4), (31, 28)): {'bw': 47}, ((2, 4), (28, 0)): {'bw': 47}}",594.0,446.0,290.0,145.0,301.0,145.0,301.0,145.0,449.0,148.0,0.7508417508417509,156868.15604820306,117783.16093854977,198.28814972819828,Success,0.0,"{'node_level': {'cpu': -41}, 'link_level': {'bw': -272}, 'path_level': {}}","{'node_level': {3: {'cpu': -53}, 4: {'cpu': -66}, 1: {'cpu': -47}, 0: {'cpu': -66}, 2: {'cpu': -41}}, 'link_level': {(4, 3): {'bw': -319}, (1, 3): {'bw': -194}, (1, 4): {'bw': -168}, (0, 1): {'bw': -158}, (0, 3): {'bw': -264}, (2, 4): {'bw': -272}}, 'path_level': {(4, 3): {}, (1, 3): {}, (1, 4): {}, (0, 1): {}, (0, 3): {}, (2, 4): {}}}","{'node_level': {3: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(4, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(4, 3): {}, (1, 3): {}, (1, 4): {}, (0, 1): {}, (0, 3): {}, (2, 4): {}}}",[],-41.0,0.0,True,True,False,0,[],0,0.0,0.0,5.0,6.0,3
2,2,2,599.0,747.0,328038.6333484694,367123.62845812266,0.8018741633199464,0.8935372390118125,8,1,1,35.0,16557,2448,14109,0.07587768969422426,0.03725690890481059,1,1374.218773921043,35.0,3,2,True,"{1: 5, 0: 2, 2: 3}","{(0, 1): [(2, 5)], (2, 1): [(3, 5)]}","{(1, 5): {'cpu': 15}, (0, 2): {'cpu': 22}, (2, 3): {'cpu': 19}}","{((0, 1), (2, 5)): {'bw': 50}, ((2, 1), (3, 5)): {'bw': 47}}",153.0,153.0,112.0,56.0,97.0,56.0,97.0,56.0,97.0,0.0,1.0,210255.4724099196,210255.4724099196,1374.218773921043,Success,0.0,"{'node_level': {'cpu': -39}, 'link_level': {'bw': -207}, 'path_level': {}}","{'node_level': {1: {'cpu': -56}, 0: {'cpu': -31}, 2: {'cpu': -39}}, 'link_level': {(0, 1): {'bw': -299}, (2, 1): {'bw': -207}}, 'path_level': {(0, 1): {}, (2, 1): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (2, 1): {'bw': 0}}, 'path_level': {(0, 1): {}, (2, 1): {}}}",[],-39.0,0.0,True,True,False,0,[],0,0.0,0.0,3.0,2.0,3
3,3,3,912.0,1133.0,378485.77179575665,429336.3934442341,0.8049426301853486,0.8815599552589936,10,2,1,58.0,16171,2322,13849,0.1234428086070215,0.054998294097577616,2,161.1729662852628,58.0,4,3,True,"{2: 12, 3: 0, 1: 1, 0: 14}","{(3, 2): [(0, 12)], (1, 2): [(1, 12)], (0, 3): [(14, 12), (12, 0)]}","{(2, 12): {'cpu': 27}, (3, 0): {'cpu': 34}, (1, 1): {'cpu': 39}, (0, 14): {'cpu': 26}}","{((3, 2), (0, 12)): {'bw': 38}, ((1, 2), (1, 12)): {'bw': 76}, ((0, 3), (14, 12)): {'bw': 73}, ((0, 3), (12, 0)): {'bw': 73}}",386.0,313.0,252.0,126.0,187.0,126.0,187.0,126.0,260.0,73.0,0.810880829015544,62212.76498611143,50447.13844728725,130.69206851628823,Success,0.0,"{'node_level': {'cpu': -44}, 'link_level': {'bw': -160}, 'path_level': {}}","{'node_level': {2: {'cpu': -61}, 3: {'cpu': -32}, 1: {'cpu': -8}, 0: {'cpu': -44}}, 'link_level': {(3, 2): {'bw': -285}, (1, 2): {'bw': -144}, (0, 3): {'bw': -160}}, 'path_level': {(3, 2): {}, (1, 2): {}, (0, 3): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(3, 2): {'bw': 0}, (1, 2): {'bw': 0}, (0, 3): {'bw': 0}}, 'path_level': {(3, 2): {}, (1, 2): {}, (0, 3): {}}}",[],-44.0,0.0,True,True,False,0,[],0,0.0,0.0,4.0,3.0,3
4,4,4,1397.0,1728.0,416556.57447183476,476041.8111602475,0.8084490740740741,0.8750419914934982,11,3,1,80.0,15576,2174,13402,0.17931294828237065,0.08549982940975775,3,78.49650036304767,80.0,6,6,True,"{3: 29, 2: 2, 5: 3, 1: 30, 4: 31, 0: 5}","{(2, 3): [(2, 29)], (5, 2): [(3, 5), (5, 2)], (5, 3): [(3, 29)], (1, 3): [(30, 29)], (4, 2): [(31, 29), (29, 2)], (0, 5): [(5, 3)]}","{(3, 29): {'cpu': 33}, (2, 2): {'cpu': 21}, (5, 3): {'cpu': 12}, (1, 30): {'cpu': 25}, (4, 31): {'cpu': 27}, (0, 5): {'cpu': 30}}","{((2, 3), (2, 29)): {'bw': 47}, ((5, 2), (3, 5)): {'bw': 56}, ((5, 2), (5, 2)): {'bw': 56}, ((5, 3), (3, 29)): {'bw': 78}, ((1, 3), (30, 29)): {'bw': 70}, ((4, 2), (31, 29)): {'bw': 54}, ((4, 2), (29, 2)): {'bw': 54}, ((0, 5), (5, 3)): {'bw': 32}}",595.0,485.0,296.0,148.0,337.0,148.0,337.0,148.0,447.0,110.0,0.8151260504201681,46705.41771601336,38070.80267607812,63.98454231273634,Success,0.0,"{'node_level': {'cpu': -26}, 'link_level': {'bw': -119}, 'path_level': {}}","{'node_level': {3: {'cpu': -63}, 2: {'cpu': -10}, 5: {'cpu': -27}, 1: {'cpu': -41}, 4: {'cpu': -14}, 0: {'cpu': -26}}, 'link_level': {(2, 3): {'bw': -272}, (5, 2): {'bw': -151}, (5, 3): {'bw': -140}, (1, 3): {'bw': -288}, (4, 2): {'bw': -194}, (0, 5): {'bw': -119}}, 'path_level': {(2, 3): {}, (5, 2): {}, (5, 3): {}, (1, 3): {}, (4, 2): {}, (0, 5): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(2, 3): {'bw': 0}, (5, 2): {'bw': 0}, (5, 3): {'bw': 0}, (1, 3): {'bw': 0}, (4, 2): {'bw': 0}, (0, 5): {'bw': 0}}, 'path_level': {(2, 3): {}, (5, 2): {}, (5, 3): {}, (1, 3): {}, (4, 2): {}, (0, 5): {}}}",[],-26.0,0.0,True,True,False,0,[],0,0.0,0.0,6.0,6.0,3
5,5,5,1564.0,1895.0,517652.47459983727,577137.71128825,0.8253298153034301,0.8969306016138963,13,4,1,98.0,15409,2129,13280,0.1963004907512269,0.09382463323097923,4,605.3646714251648,98.0,3,2,True,"{1: 15, 2: 12, 0: 13}","{(2, 1): [(12, 15)], (0, 1): [(13, 15)]}","{(1, 15): {'cpu': 13}, (2, 12): {'cpu': 21}, (0, 13): {'cpu': 11}}","{((2, 1), (12, 15)): {'bw': 52}, ((0, 1), (13, 15)): {'bw': 70}}",167.0,167.0,90.0,45.0,122.0,45.0,122.0,45.0,122.0,0.0,1.0,101095.90012800253,101095.90012800253,605.3646714251648,Success,0.0,"{'node_level': {'cpu': -71}, 'link_level': {'bw': -215}, 'path_level': {}}","{'node_level': {1: {'cpu': -81}, 2: {'cpu': -40}, 0: {'cpu': -71}}, 'link_level': {(2, 1): {'bw': -261}, (0, 1): {'bw': -215}}, 'path_level': {(2, 1): {}, (0, 1): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(2, 1): {'bw': 0}, (0, 1): {'bw': 0}}, 'path_level': {(2, 1): {}, (0, 1): {}}}",[],-71.0,0.0,True,True,False,0,[],0,0.0,0.0,3.0,2.0,3
6,5,5,1564.0,1895.0,517652.47459983727,577137.71128825,0.8253298153034301,0.8969306016138963,13,5,1,114.0,15409,2129,13280,0.1963004907512269,0.09382463323097923,5,418.58562948066964,114.0,3,2,False,"{0: 21, 1: 3, 2: 22}","{(1, 0): [(3, 21)], (2, 0): [(22, 21)]}","{(0, 21): {'cpu': 38}, (1, 3): {'cpu': 27}, (2, 22): {'cpu': 26}}","{((1, 0), (3, 21)): {'bw': 60}, ((2, 0), (22, 21)): {'bw': 54}}",0.0,0.0,182.0,91.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,17.0,"{'node_level': {'cpu': -46}, 'link_level': {'bw': -306}, 'path_level': {}}","{'node_level': {0: {'cpu': -38}, 1: {'cpu': 0}, 2: {'cpu': -46}}, 'link_level': {(1, 0): {'bw': -332}, (2, 0): {'bw': -306}}, 'path_level': {(1, 0): {}, (2, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 0): {'bw': 0}}, 'path_level': {(1, 0): {}, (2, 0): {}}}",[],-46.0,0.0,False,True,False,0,[],0,0.0,1.0,3.0,2.0,3
7,5,5,1564.0,1895.0,517652.47459983727,577137.71128825,0.8253298153034301,0.8969306016138963,13,6,1,136.0,15409,2129,13280,0.1963004907512269,0.09382463323097923,6,472.8518356433432,136.0,3,3,False,"{2: 21, 1: 3, 0: 22}","{(1, 2): [(3, 21)], (0, 1): [(22, 21), (21, 3)], (0, 2): [(22, 21)]}","{(2, 21): {'cpu': 37}, (1, 3): {'cpu': 24}, (0, 22): {'cpu': 18}}","{((1, 2), (3, 21)): {'bw': 71}, ((0, 1), (22, 21)): {'bw': 33}, ((0, 1), (21, 3)): {'bw': 33}, ((0, 2), (22, 21)): {'bw': 28}}",0.0,0.0,158.0,79.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,14.0,"{'node_level': {'cpu': -54}, 'link_level': {'bw': -288}, 'path_level': {}}","{'node_level': {2: {'cpu': -39}, 1: {'cpu': -3}, 0: {'cpu': -54}}, 'link_level': {(1, 2): {'bw': -321}, (0, 1): {'bw': -288}, (0, 2): {'bw': -299}}, 'path_level': {(1, 2): {}, (0, 1): {}, (0, 2): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(1, 2): {'bw': 0}, (0, 1): {'bw': 0}, (0, 2): {'bw': 0}}, 'path_level': {(1, 2): {}, (0, 1): {}, (0, 2): {}}}",[],-54.0,0.0,False,True,False,0,[],0,0.0,1.0,3.0,3.0,3
8,5,5,1564.0,1895.0,517652.47459983727,577137.71128825,0.8253298153034301,0.8969306016138963,13,7,1,149.0,15409,2129,13280,0.1963004907512269,0.09382463323097923,7,21.469852536087064,149.0,6,6,False,"{3: 21, 4: 22, 0: 23, 1: 13, 5: 29, 2: 20}","{(4, 3): [(22, 21)], (0, 3): [(23, 21)], (1, 3): [(13, 2), (2, 21)], (5, 0): [(29, 2), (2, 21), (21, 23)], (5, 4): [(29, 2), (2, 21), (21, 22)], (2, 5): [(20, 0), (0, 28), (28, 30), (30, 29)]}","{(3, 21): {'cpu': 39}, (4, 22): {'cpu': 40}, (0, 23): {'cpu': 22}, (1, 13): {'cpu': 34}, (5, 29): {'cpu': 23}, (2, 20): {'cpu': 26}}","{((4, 3), (22, 21)): {'bw': 57}, ((0, 3), (23, 21)): {'bw': 52}, ((1, 3), (13, 2)): {'bw': 50}, ((1, 3), (2, 21)): {'bw': 50}, ((5, 0), (29, 2)): {'bw': 33}, ((5, 0), (2, 21)): {'bw': 33}, ((5, 0), (21, 23)): {'bw': 33}, ((5, 4), (29, 2)): {'bw': 25}, ((5, 4), (2, 21)): {'bw': 25}, ((5, 4), (21, 22)): {'bw': 25}, ((2, 5), (20, 0)): {'bw': 64}, ((2, 5), (0, 28)): {'bw': 64}, ((2, 5), (28, 30)): {'bw': 64}, ((2, 5), (30, 29)): {'bw': 64}}",0.0,0.0,368.0,184.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,51.0,"{'node_level': {'cpu': -41}, 'link_level': {'bw': -200}, 'path_level': {}}","{'node_level': {3: {'cpu': -37}, 4: {'cpu': -32}, 0: {'cpu': -30}, 1: {'cpu': -37}, 5: {'cpu': -40}, 2: {'cpu': -41}}, 'link_level': {(4, 3): {'bw': -303}, (0, 3): {'bw': -292}, (1, 3): {'bw': -178}, (5, 0): {'bw': -145}, (5, 4): {'bw': -120}, (2, 5): {'bw': -200}}, 'path_level': {(4, 3): {}, (0, 3): {}, (1, 3): {}, (5, 0): {}, (5, 4): {}, (2, 5): {}}}","{'node_level': {3: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(4, 3): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (5, 0): {'bw': 0}, (5, 4): {'bw': 0}, (2, 5): {'bw': 0}}, 'path_level': {(4, 3): {}, (0, 3): {}, (1, 3): {}, (5, 0): {}, (5, 4): {}, (2, 5): {}}}",[],-41.0,0.0,False,True,False,0,[],0,0.0,3.0,6.0,6.0,3
8,5,4,1564.0,1895.0,517652.47459983727,577137.71128825,0.8253298153034301,0.8969306016138963,13,8,0,158.4965003630477,16004,2277,13727,0.14043035107587765,0.06332309791879909,3,78.49650036304767,80.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,3
8,5,4,1564.0,1895.0,517652.47459983727,577137.71128825,0.8253298153034301,0.8969306016138963,13,9,0,170.46985253608707,16004,2277,13727,0.14043035107587765,0.06332309791879909,7,21.469852536087064,149.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,3
