v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,1,1,24.0,24.0,1099.6283866422996,1099.6283866422996,1.0,1.0,2,0,1,36.0,17121,2757,14364,0.002893309222423146,0.0011126564673157313,0,45.81784944342915,36.0,2,1,True,"{np.int64(0): np.int64(35), np.int64(1): np.int64(31)}","{(0, 1): [(np.int64(35), 31)]}","{(np.int64(0), np.int64(35)): {'cpu': 7}, (np.int64(1), np.int64(31)): {'cpu': 1}}","{((0, 1), (np.int64(35), 31)): {'bw': 16}}",24.0,24.0,40.0,8.0,16.0,8.0,16.0,8.0,16.0,0.0,1.0,1099.6283866422996,1099.6283866422996,45.81784944342915,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -49}, np.int64(1): {'cpu': -54}}, 'link_level': {(0, 1): {'bw': -309}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,2
1,1,0,24.0,24.0,1099.6283866422996,1099.6283866422996,1.0,1.0,2,1,0,81.81784944342914,17145,2765,14380,0.0,0.0,0,45.81784944342915,36.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,2
2,2,1,110.0,155.0,2435.5139812530347,3134.5238854098147,0.7096774193548387,0.7769964659033409,6,2,1,85.0,17014,2737,14277,0.010126582278481067,0.0071627260083448885,1,15.533553425706222,85.0,5,4,True,"{np.int64(0): np.int64(3), np.int64(1): np.int64(13), np.int64(2): np.int64(29), np.int64(3): np.int64(31), np.int64(4): np.int64(1)}","{(0, 1): [(np.int64(3), 13)], (1, 2): [(np.int64(13), 2), (2, 29)], (2, 4): [(np.int64(29), 30), (30, 28), (28, 1)], (3, 4): [(np.int64(31), 28), (28, 1)]}","{(np.int64(0), np.int64(3)): {'cpu': 0}, (np.int64(1), np.int64(13)): {'cpu': 11}, (np.int64(2), np.int64(29)): {'cpu': 14}, (np.int64(3), np.int64(31)): {'cpu': 1}, (np.int64(4), np.int64(1)): {'cpu': 2}}","{((0, 1), (np.int64(3), 13)): {'bw': 15}, ((1, 2), (np.int64(13), 2)): {'bw': 28}, ((1, 2), (2, 29)): {'bw': 28}, ((2, 4), (np.int64(29), 30)): {'bw': 2}, ((2, 4), (30, 28)): {'bw': 2}, ((2, 4), (28, 1)): {'bw': 2}, ((3, 4), (np.int64(31), 28)): {'bw': 13}, ((3, 4), (28, 1)): {'bw': 13}}",131.0,86.0,280.0,28.0,58.0,28.0,58.0,28.0,103.0,45.0,0.6564885496183206,2034.8954987675152,1335.885594610735,10.197599958860573,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -58}, np.int64(1): {'cpu': -50}, np.int64(2): {'cpu': -69}, np.int64(3): {'cpu': -54}, np.int64(4): {'cpu': -63}}, 'link_level': {(0, 1): {'bw': -363}, (1, 2): {'bw': -221}, (2, 4): {'bw': -254}, (3, 4): {'bw': -316}}, 'path_level': {(0, 1): {}, (1, 2): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (1, 2): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (1, 2): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,4.0,2
2,2,0,110.0,155.0,2435.5139812530347,3134.5238854098147,0.7096774193548387,0.7769964659033409,6,3,0,100.53355342570622,17145,2765,14380,0.0,0.0,1,15.533553425706222,85.0,5,4,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,2
3,3,1,187.0,251.0,19445.600420705177,24341.90438135015,0.7450199203187251,0.7988528800402184,9,4,1,139.0,17049,2738,14311,0.009764918625678076,0.004798331015299029,2,220.91021349937847,139.0,3,3,True,"{np.int64(0): np.int64(23), np.int64(1): np.int64(26), np.int64(2): np.int64(20)}","{(0, 1): [(np.int64(23), 26)], (0, 2): [(np.int64(23), 20)], (1, 2): [(np.int64(26), 23), (23, 20)]}","{(np.int64(0), np.int64(23)): {'cpu': 5}, (np.int64(1), np.int64(26)): {'cpu': 13}, (np.int64(2), np.int64(20)): {'cpu': 9}}","{((0, 1), (np.int64(23), 26)): {'bw': 10}, ((0, 2), (np.int64(23), 20)): {'bw': 21}, ((1, 2), (np.int64(26), 23)): {'bw': 19}, ((1, 2), (23, 20)): {'bw': 19}}",96.0,77.0,189.0,27.0,50.0,27.0,50.0,27.0,69.0,19.0,0.8020833333333334,21207.380495940335,17010.08643945214,177.18840041095982,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -49}, np.int64(1): {'cpu': -76}, np.int64(2): {'cpu': -80}}, 'link_level': {(0, 1): {'bw': -388}, (0, 2): {'bw': -213}, (1, 2): {'bw': -194}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 2): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,3.0,2
4,4,2,229.0,293.0,38157.99760285736,43054.30156350233,0.7815699658703071,0.8862760796752621,10,5,1,181.0,17007,2712,14295,0.019168173598553384,0.00591098748261476,3,445.5332662417186,181.0,2,1,True,"{np.int64(0): np.int64(31), np.int64(1): np.int64(34)}","{(0, 1): [(np.int64(31), 34)]}","{(np.int64(0), np.int64(31)): {'cpu': 11}, (np.int64(1), np.int64(34)): {'cpu': 15}}","{((0, 1), (np.int64(31), 34)): {'bw': 16}}",42.0,42.0,208.0,26.0,16.0,26.0,16.0,26.0,16.0,0.0,1.0,18712.39718215218,18712.39718215218,445.5332662417186,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -44}, np.int64(1): {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -382}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,2
5,5,3,280.0,344.0,39525.709197995755,44422.01315864073,0.813953488372093,0.889777531172232,14,6,1,228.0,16956,2679,14277,0.031103074141048848,0.0071627260083448885,4,26.8178744144784,228.0,4,3,True,"{np.int64(0): np.int64(10), np.int64(1): np.int64(27), np.int64(2): np.int64(7), np.int64(3): np.int64(5)}","{(0, 1): [(np.int64(10), 7), (7, 4), (4, 0), (0, 20), (20, 23), (23, 27)], (0, 2): [(np.int64(10), 7)], (2, 3): [(np.int64(7), 5)]}","{(np.int64(0), np.int64(10)): {'cpu': 7}, (np.int64(1), np.int64(27)): {'cpu': 8}, (np.int64(2), np.int64(7)): {'cpu': 12}, (np.int64(3), np.int64(5)): {'cpu': 6}}","{((0, 1), (np.int64(10), 7)): {'bw': 0}, ((0, 1), (7, 4)): {'bw': 0}, ((0, 1), (4, 0)): {'bw': 0}, ((0, 1), (0, 20)): {'bw': 0}, ((0, 1), (20, 23)): {'bw': 0}, ((0, 1), (23, 27)): {'bw': 0}, ((0, 2), (np.int64(10), 7)): {'bw': 13}, ((2, 3), (np.int64(7), 5)): {'bw': 5}}",51.0,51.0,363.0,33.0,18.0,33.0,18.0,33.0,18.0,0.0,1.0,1367.7115951383985,1367.7115951383985,26.8178744144784,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -77}, np.int64(1): {'cpu': -80}, np.int64(2): {'cpu': -49}, np.int64(3): {'cpu': -87}}, 'link_level': {(0, 1): {'bw': -194}, (0, 2): {'bw': -297}, (2, 3): {'bw': -268}}, 'path_level': {(0, 1): {}, (0, 2): {}, (2, 3): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (2, 3): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,4.0,3.0,2
5,5,2,280.0,344.0,39525.709197995755,44422.01315864073,0.813953488372093,0.889777531172232,14,7,0,254.8178744144784,17007,2712,14295,0.019168173598553384,0.00591098748261476,4,26.8178744144784,228.0,4,3,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,2
6,6,3,366.0,463.0,42446.21781955124,48463.18206521169,0.7904967602591793,0.8758446311353624,18,8,1,277.0,16888,2672,14216,0.033634719710669114,0.011404728789986107,5,33.95940257622652,277.0,5,4,True,"{np.int64(0): np.int64(22), np.int64(1): np.int64(33), np.int64(2): np.int64(25), np.int64(3): np.int64(1), np.int64(4): np.int64(30)}","{(0, 1): [(np.int64(22), 20), (20, 0), (0, 28), (28, 30), (30, 33)], (0, 2): [(np.int64(22), 25)], (0, 3): [(np.int64(22), 20), (20, 1)], (1, 4): [(np.int64(33), 30)]}","{(np.int64(0), np.int64(22)): {'cpu': 7}, (np.int64(1), np.int64(33)): {'cpu': 2}, (np.int64(2), np.int64(25)): {'cpu': 8}, (np.int64(3), np.int64(1)): {'cpu': 8}, (np.int64(4), np.int64(30)): {'cpu': 15}}","{((0, 1), (np.int64(22), 20)): {'bw': 5}, ((0, 1), (20, 0)): {'bw': 5}, ((0, 1), (0, 28)): {'bw': 5}, ((0, 1), (28, 30)): {'bw': 5}, ((0, 1), (30, 33)): {'bw': 5}, ((0, 2), (np.int64(22), 25)): {'bw': 6}, ((0, 3), (np.int64(22), 20)): {'bw': 13}, ((0, 3), (20, 1)): {'bw': 13}, ((1, 4), (np.int64(33), 30)): {'bw': 22}}",119.0,86.0,600.0,40.0,46.0,40.0,46.0,40.0,79.0,33.0,0.7226890756302521,4041.168906570956,2920.508621555481,24.542089256768747,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -81}, np.int64(1): {'cpu': -52}, np.int64(2): {'cpu': -85}, np.int64(3): {'cpu': -57}, np.int64(4): {'cpu': -38}}, 'link_level': {(0, 1): {'bw': -226}, (0, 2): {'bw': -280}, (0, 3): {'bw': -222}, (1, 4): {'bw': -234}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,4.0,2
6,6,2,366.0,463.0,42446.21781955124,48463.18206521169,0.7904967602591793,0.8758446311353624,18,9,0,310.9594025762265,17007,2712,14295,0.019168173598553384,0.00591098748261476,5,33.95940257622652,277.0,5,4,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,2
