,acceptance_rate,acceptance_rate,acceptance_rate,acceptance_rate,revenue,revenue,r2c_ratio,r2c_ratio,avg_time_per_vnr,avg_time_per_vnr,avg_time_per_vnr,avg_time_per_vnr
,mean,std,min,max,mean,std,mean,std,mean,std,min,max
algo_display,,,,,,,,,,,,
D-Round,0.565,0.043,0.515,0.59,22095.333,1523.731,0.322,0.007,0.344,0.067,0.267,0.389
GA,0.499,0.306,0.205,0.795,20189.167,18762.433,0.526,0.068,0.522,0.205,0.318,0.744
MCTS,0.455,0.298,0.155,0.765,16855.333,15382.649,0.4,0.031,0.838,0.088,0.626,0.898
MIP,0.615,0.23,0.339,0.904,8837.0,6580.138,0.757,0.13,0.0,0.0,0.0,0.0
PL-Rank,0.514,0.263,0.225,0.79,20730.333,17166.988,0.695,0.146,0.02,0.005,0.01,0.027
RW-Rank-BFS,0.56,0.231,0.31,0.795,24212.333,18337.581,0.736,0.143,0.007,0.002,0.004,0.011
SA,0.454,0.301,0.16,0.745,19046.833,18304.106,0.559,0.087,0.213,0.071,0.124,0.3
