topology,seed,v_net_id,event_id,event_time,v_net_num_nodes,v_net_num_links,v_net_lifetime,v_net_node_demand,v_net_link_demand,v_net_total_demand,v_net_connectivity,v_net_avg_degree,v_net_max_node_demand,v_net_max_link_demand,p_net_node_available,p_net_link_available,p_net_node_util,p_net_link_util,p_net_min_node_available,p_net_min_link_available,inservice_count,algorithm,result,v_net_revenue,v_net_cost,v_net_r2c_ratio,solve_time_ms,place_result,route_result,description,is_winner,num_candidates_accepted,oracle_total_solve_time_ms
tree,2,0,0,24.0,3,2,98.19593720777934,70.0,135.0,205.0,0.6666666666666666,1.3333333333333333,28.0,69.0,4874.0,4630.0,0.0,0.0,52.0,50.0,0,pl_rank,False,0.0,0.0,0.0,6.4363330020569265,True,False,,False,2,1123.9076250349171
tree,2,0,0,24.0,3,2,98.19593720777934,70.0,135.0,205.0,0.6666666666666666,1.3333333333333333,28.0,69.0,4874.0,4630.0,0.0,0.0,52.0,50.0,0,rw_rank_bfs,True,205.0,205.0,1.0,1.7080420511774719,True,True,,True,2,1123.9076250349171
tree,2,0,0,24.0,3,2,98.19593720777934,70.0,135.0,205.0,0.6666666666666666,1.3333333333333333,28.0,69.0,4874.0,4630.0,0.0,0.0,52.0,50.0,0,d_round,False,0.0,0.0,0.0,214.6829579723999,True,False,,False,2,1123.9076250349171
tree,2,0,0,24.0,3,2,98.19593720777934,70.0,135.0,205.0,0.6666666666666666,1.3333333333333333,28.0,69.0,4874.0,4630.0,0.0,0.0,52.0,50.0,0,sa_meta,False,0.0,0.0,0.0,51.10212496947497,True,True,,False,2,1123.9076250349171
tree,2,0,0,24.0,3,2,98.19593720777934,70.0,135.0,205.0,0.6666666666666666,1.3333333333333333,28.0,69.0,4874.0,4630.0,0.0,0.0,52.0,50.0,0,ga_meta,False,0.0,0.0,0.0,137.66220799880102,True,True,,False,2,1123.9076250349171
tree,2,0,0,24.0,3,2,98.19593720777934,70.0,135.0,205.0,0.6666666666666666,1.3333333333333333,28.0,69.0,4874.0,4630.0,0.0,0.0,52.0,50.0,0,pso_meta,False,0.0,0.0,0.0,9.445708012208343,True,True,TypeError: cannot pickle '_thread.lock' object,False,2,1123.9076250349171
tree,2,0,0,24.0,3,2,98.19593720777934,70.0,135.0,205.0,0.6666666666666666,1.3333333333333333,28.0,69.0,4874.0,4630.0,0.0,0.0,52.0,50.0,0,mcts,False,0.0,0.0,0.0,102.0865419995971,True,False,,False,2,1123.9076250349171
tree,2,0,0,24.0,3,2,98.19593720777934,70.0,135.0,205.0,0.6666666666666666,1.3333333333333333,28.0,69.0,4874.0,4630.0,0.0,0.0,52.0,50.0,0,mip,True,205.0,205.0,1.0,600.7837090292014,True,True,,False,2,1123.9076250349171
tree,2,1,1,39.0,3,3,760.8495838383803,100.0,112.0,212.0,1.0,2.0,38.0,50.0,4804.0,4495.0,0.014361920393926919,0.029157667386609076,52.0,10.0,1,pl_rank,False,0.0,0.0,0.0,4.649041977245361,True,False,,False,2,2764.786541927606
tree,2,1,1,39.0,3,3,760.8495838383803,100.0,112.0,212.0,1.0,2.0,38.0,50.0,4804.0,4495.0,0.014361920393926919,0.029157667386609076,52.0,10.0,1,rw_rank_bfs,True,212.0,243.0,0.8724279835390947,0.8979159756563604,True,True,,True,2,2764.786541927606
