v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0,0,0,0,0,0,0,0,1,28.0,9881,1235,8646,0.0,0.0,0,731.6008897329142,28.0,13,42,False,{},{},{},{},0.0,0.0,584.0,292.0,2296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.7013490200042725,0.0,0.0
2,0,0,0,0,0,0,0,0,0,1,1,47.0,9881,1235,8646,0.0,0.0,1,189.07835530678128,47.0,19,82,False,{},{},{},{},0.0,0.0,1040.0,520.0,5285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.2219719886779785,0.0,0.0
3,0,0,0,0,0,0,0,0,0,2,1,69.0,9881,1235,8646,0.0,0.0,2,504.69990354793924,69.0,20,95,False,{},{},{},{},0.0,0.0,1022.0,511.0,5519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.146488904953003,0.0,0.0
4,0,0,0,0,0,0,0,0,0,3,1,99.0,9881,1235,8646,0.0,0.0,3,113.57785565407451,99.0,16,51,False,{},{},{},{},0.0,0.0,798.0,399.0,3181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.712691307067871,0.0,0.0
5,0,0,0,0,0,0,0,0,0,4,1,119.0,9881,1235,8646,0.0,0.0,4,712.9627753946261,119.0,17,68,False,{},{},{},{},0.0,0.0,858.0,429.0,4126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0819549560546875,0.0,0.0
6,0,0,0,0,0,0,0,0,0,5,1,138.0,9881,1235,8646,0.0,0.0,5,107.73581504714684,138.0,19,74,False,{},{},{},{},0.0,0.0,960.0,480.0,4226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0889549255371094,0.0,0.0
7,0,0,0,0,0,0,0,0,0,6,1,166.0,9881,1235,8646,0.0,0.0,6,340.6860681398302,166.0,13,36,False,{},{},{},{},0.0,0.0,744.0,372.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.088407039642334,0.0,0.0
8,0,0,0,0,0,0,0,0,0,7,1,189.0,9881,1235,8646,0.0,0.0,7,263.6510959578292,189.0,8,12,False,{},{},{},{},0.0,0.0,442.0,221.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.6819069385528564,0.0,0.0
9,0,0,0,0,0,0,0,0,0,8,1,212.0,9881,1235,8646,0.0,0.0,8,3431.695620358221,212.0,8,13,False,{},{},{},{},0.0,0.0,474.0,237.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.716550827026367,0.0,0.0
9,0,0,0,0,0,0,0,0,0,9,0,212.5778556540745,9881,1235,8646,0.0,0.0,3,113.57785565407451,99.0,16,51,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
