v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,12.0,10585,1285,9300,0.0,0.0,0,488.1163639801385,12.0,13,32,False,{},{},{},{},0.0,0.0,410.0,205.0,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,8.862112998962402,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,26.0,10585,1285,9300,0.0,0.0,1,168.62474273572116,26.0,13,43,False,{},{},{},{},0.0,0.0,468.0,234.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,8.518369913101196,0.0,0.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,40.0,10585,1285,9300,0.0,0.0,2,837.7406401933645,40.0,11,29,False,{},{},{},{},0.0,0.0,336.0,168.0,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.016726016998291,0.0,0.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,50.0,10585,1285,9300,0.0,0.0,3,394.6888711818872,50.0,7,15,False,{},{},{},{},0.0,0.0,182.0,91.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.27753496170044,0.0,0.0
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,62.0,10585,1285,9300,0.0,0.0,4,9.219494684323037,62.0,13,34,False,{},{},{},{},0.0,0.0,512.0,256.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.126565217971802,0.0,0.0
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,71.21949468432304,10585,1285,9300,0.0,0.0,4,9.219494684323037,62.0,13,34,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,74.0,10585,1285,9300,0.0,0.0,5,8.120722555973291,74.0,12,31,False,{},{},{},{},0.0,0.0,488.0,244.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,8.96073603630066,0.0,0.0
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,82.12072255597329,10585,1285,9300,0.0,0.0,5,8.120722555973291,74.0,12,31,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
7,1,1,385.0,1125.0,526279.1883278067,1537828.7970617726,0.3422222222222222,0.34222222222222226,7,8,1,83.0,9460,1142,8318,0.11128404669260705,0.10559139784946237,6,1366.9589307215756,83.0,7,8,True,"{np.int64(0): np.int64(15), np.int64(1): np.int64(20), np.int64(2): np.int64(24), np.int64(3): np.int64(28), np.int64(4): np.int64(22), np.int64(5): np.int64(16), np.int64(6): np.int64(27)}","{(0, 1): [(np.int64(15), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, np.int64(20))], (0, 3): [(np.int64(15), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, np.int64(28))], (0, 5): [(np.int64(15), 7), (7, 3), (3, 8), (8, np.int64(16))], (1, 3): [(np.int64(20), 12), (12, 28)], (1, 5): [(np.int64(20), 12), (12, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 8), (8, np.int64(16))], (2, 5): [(np.int64(24), 8), (8, 16)], (3, 4): [(np.int64(28), 12), (12, 5), (5, 2), (2, 6), (6, 14), (14, np.int64(22))], (3, 6): [(np.int64(28), 12), (12, 5), (5, 11), (11, np.int64(27))]}","{(np.int64(0), np.int64(15)): {'cpu': 22}, (np.int64(1), np.int64(20)): {'cpu': 15}, (np.int64(2), np.int64(24)): {'cpu': 22}, (np.int64(3), np.int64(28)): {'cpu': 20}, (np.int64(4), np.int64(22)): {'cpu': 15}, (np.int64(5), np.int64(16)): {'cpu': 24}, (np.int64(6), np.int64(27)): {'cpu': 25}}","{((0, 1), (np.int64(15), 7)): {'bw': 19}, ((0, 1), (7, 3)): {'bw': 19}, ((0, 1), (3, 1)): {'bw': 19}, ((0, 1), (1, 0)): {'bw': 19}, ((0, 1), (0, 2)): {'bw': 19}, ((0, 1), (2, 5)): {'bw': 19}, ((0, 1), (5, 12)): {'bw': 19}, ((0, 1), (12, np.int64(20))): {'bw': 19}, ((0, 3), (np.int64(15), 7)): {'bw': 12}, ((0, 3), (7, 3)): {'bw': 12}, ((0, 3), (3, 1)): {'bw': 12}, ((0, 3), (1, 0)): {'bw': 12}, ((0, 3), (0, 2)): {'bw': 12}, ((0, 3), (2, 5)): {'bw': 12}, ((0, 3), (5, 12)): {'bw': 12}, ((0, 3), (12, np.int64(28))): {'bw': 12}, ((0, 5), (np.int64(15), 7)): {'bw': 44}, ((0, 5), (7, 3)): {'bw': 44}, ((0, 5), (3, 8)): {'bw': 44}, ((0, 5), (8, np.int64(16))): {'bw': 44}, ((1, 3), (np.int64(20), 12)): {'bw': 66}, ((1, 3), (12, 28)): {'bw': 66}, ((1, 5), (np.int64(20), 12)): {'bw': 19}, ((1, 5), (12, 5)): {'bw': 19}, ((1, 5), (5, 2)): {'bw': 19}, ((1, 5), (2, 0)): {'bw': 19}, ((1, 5), (0, 1)): {'bw': 19}, ((1, 5), (1, 3)): {'bw': 19}, ((1, 5), (3, 8)): {'bw': 19}, ((1, 5), (8, np.int64(16))): {'bw': 19}, ((2, 5), (np.int64(24), 8)): {'bw': 40}, ((2, 5), (8, 16)): {'bw': 40}, ((3, 4), (np.int64(28), 12)): {'bw': 13}, ((3, 4), (12, 5)): {'bw': 13}, ((3, 4), (5, 2)): {'bw': 13}, ((3, 4), (2, 6)): {'bw': 13}, ((3, 4), (6, 14)): {'bw': 13}, ((3, 4), (14, np.int64(22))): {'bw': 13}, ((3, 6), (np.int64(28), 12)): {'bw': 29}, ((3, 6), (12, 5)): {'bw': 29}, ((3, 6), (5, 11)): {'bw': 29}, ((3, 6), (11, np.int64(27))): {'bw': 29}}",1125.0,385.0,572.0,143.0,242.0,143.0,242.0,143.0,982.0,740.0,0.3422222222222222,1537828.7970617726,526279.1883278067,467.8037229580503,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -75}, np.int64(1): {'cpu': -74}, np.int64(2): {'cpu': -70}, np.int64(3): {'cpu': -72}, np.int64(4): {'cpu': -73}, np.int64(5): {'cpu': -57}, np.int64(6): {'cpu': -63}}, 'link_level': {(0, 1): {'bw': -230}, (0, 3): {'bw': -218}, (0, 5): {'bw': -174}, (1, 3): {'bw': -188}, (1, 5): {'bw': -168}, (2, 5): {'bw': -271}, (3, 4): {'bw': -187}, (3, 6): {'bw': -158}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 5): {}, (1, 3): {}, (1, 5): {}, (2, 5): {}, (3, 4): {}, (3, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (1, 3): {'bw': 0}, (1, 5): {'bw': 0}, (2, 5): {'bw': 0}, (3, 4): {'bw': 0}, (3, 6): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 5): {}, (1, 3): {}, (1, 5): {}, (2, 5): {}, (3, 4): {}, (3, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.074281930923462,7.0,8.0
8,2,2,901.0,3165.0,654055.4722844429,2042990.8499135901,0.28467614533965246,0.32014606052303496,10,9,1,98.0,7420,1038,6382,0.1922178988326848,0.313763440860215,7,247.62845728030277,98.0,6,12,True,"{np.int64(0): np.int64(22), np.int64(1): np.int64(27), np.int64(2): np.int64(28), np.int64(3): np.int64(21), np.int64(4): np.int64(19), np.int64(5): np.int64(29)}","{(0, 2): [(np.int64(22), 14), (14, 6), (6, 2), (2, 5), (5, 12), (12, np.int64(28))], (0, 3): [(np.int64(22), 14), (14, 6), (6, 13), (13, np.int64(21))], (0, 4): [(np.int64(22), 14), (14, 6), (6, 2), (2, 5), (5, 11), (11, np.int64(19))], (0, 5): [(np.int64(22), 14), (14, 6), (6, 13), (13, np.int64(29))], (1, 2): [(np.int64(27), 11), (11, 5), (5, 12), (12, np.int64(28))], (1, 4): [(np.int64(27), 11), (11, 19)], (2, 3): [(np.int64(28), 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, np.int64(21))], (2, 4): [(np.int64(28), 12), (12, 5), (5, 11), (11, np.int64(19))], (2, 5): [(np.int64(28), 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, np.int64(29))], (3, 4): [(np.int64(21), 13), (13, 6), (6, 2), (2, 5), (5, 11), (11, np.int64(19))], (3, 5): [(np.int64(21), 13), (13, 29)], (4, 5): [(np.int64(19), 11), (11, 5), (5, 2), (2, 6), (6, 13), (13, np.int64(29))]}","{(np.int64(0), np.int64(22)): {'cpu': 28}, (np.int64(1), np.int64(27)): {'cpu': 11}, (np.int64(2), np.int64(28)): {'cpu': 26}, (np.int64(3), np.int64(21)): {'cpu': 17}, (np.int64(4), np.int64(19)): {'cpu': 11}, (np.int64(5), np.int64(29)): {'cpu': 11}}","{((0, 2), (np.int64(22), 14)): {'bw': 53}, ((0, 2), (14, 6)): {'bw': 53}, ((0, 2), (6, 2)): {'bw': 53}, ((0, 2), (2, 5)): {'bw': 53}, ((0, 2), (5, 12)): {'bw': 53}, ((0, 2), (12, np.int64(28))): {'bw': 53}, ((0, 3), (np.int64(22), 14)): {'bw': 31}, ((0, 3), (14, 6)): {'bw': 31}, ((0, 3), (6, 13)): {'bw': 31}, ((0, 3), (13, np.int64(21))): {'bw': 31}, ((0, 4), (np.int64(22), 14)): {'bw': 13}, ((0, 4), (14, 6)): {'bw': 13}, ((0, 4), (6, 2)): {'bw': 13}, ((0, 4), (2, 5)): {'bw': 13}, ((0, 4), (5, 11)): {'bw': 13}, ((0, 4), (11, np.int64(19))): {'bw': 13}, ((0, 5), (np.int64(22), 14)): {'bw': 11}, ((0, 5), (14, 6)): {'bw': 11}, ((0, 5), (6, 13)): {'bw': 11}, ((0, 5), (13, np.int64(29))): {'bw': 11}, ((1, 2), (np.int64(27), 11)): {'bw': 16}, ((1, 2), (11, 5)): {'bw': 16}, ((1, 2), (5, 12)): {'bw': 16}, ((1, 2), (12, np.int64(28))): {'bw': 16}, ((1, 4), (np.int64(27), 11)): {'bw': 38}, ((1, 4), (11, 19)): {'bw': 38}, ((2, 3), (np.int64(28), 12)): {'bw': 27}, ((2, 3), (12, 5)): {'bw': 27}, ((2, 3), (5, 2)): {'bw': 27}, ((2, 3), (2, 6)): {'bw': 27}, ((2, 3), (6, 13)): {'bw': 27}, ((2, 3), (13, np.int64(21))): {'bw': 27}, ((2, 4), (np.int64(28), 12)): {'bw': 34}, ((2, 4), (12, 5)): {'bw': 34}, ((2, 4), (5, 11)): {'bw': 34}, ((2, 4), (11, np.int64(19))): {'bw': 34}, ((2, 5), (np.int64(28), 12)): {'bw': 21}, ((2, 5), (12, 5)): {'bw': 21}, ((2, 5), (5, 2)): {'bw': 21}, ((2, 5), (2, 6)): {'bw': 21}, ((2, 5), (6, 13)): {'bw': 21}, ((2, 5), (13, np.int64(29))): {'bw': 21}, ((3, 4), (np.int64(21), 13)): {'bw': 48}, ((3, 4), (13, 6)): {'bw': 48}, ((3, 4), (6, 2)): {'bw': 48}, ((3, 4), (2, 5)): {'bw': 48}, ((3, 4), (5, 11)): {'bw': 48}, ((3, 4), (11, np.int64(19))): {'bw': 48}, ((3, 5), (np.int64(21), 13)): {'bw': 50}, ((3, 5), (13, 29)): {'bw': 50}, ((4, 5), (np.int64(19), 11)): {'bw': 70}, ((4, 5), (11, 5)): {'bw': 70}, ((4, 5), (5, 2)): {'bw': 70}, ((4, 5), (2, 6)): {'bw': 70}, ((4, 5), (6, 13)): {'bw': 70}, ((4, 5), (13, np.int64(29))): {'bw': 70}}",2040.0,516.0,1040.0,104.0,412.0,104.0,412.0,104.0,1936.0,1524.0,0.2529411764705882,505162.0528518176,127776.28395663622,62.63543331207658,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -45}, np.int64(1): {'cpu': -52}, np.int64(2): {'cpu': -46}, np.int64(3): {'cpu': -36}, np.int64(4): {'cpu': -76}, np.int64(5): {'cpu': -72}}, 'link_level': {(0, 2): {'bw': -105}, (0, 3): {'bw': -166}, (0, 4): {'bw': -153}, (0, 5): {'bw': -142}, (1, 2): {'bw': -89}, (1, 4): {'bw': -234}, (2, 3): {'bw': -62}, (2, 4): {'bw': -28}, (2, 5): {'bw': -7}, (3, 4): {'bw': -112}, (3, 5): {'bw': -149}, (4, 5): {'bw': -42}}, 'path_level': {(0, 2): {}, (0, 3): {}, (0, 4): {}, (0, 5): {}, (1, 2): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}, (2, 5): {}, (3, 4): {}, (3, 5): {}, (4, 5): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (3, 4): {'bw': 0}, (3, 5): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 3): {}, (0, 4): {}, (0, 5): {}, (1, 2): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}, (2, 5): {}, (3, 4): {}, (3, 5): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.001166105270386,6.0,12.0
