v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,solving_time
1,1,1,303.0,1166.0,8464.31337992964,32572.242247518014,0.25986277873070324,0.2598627787307033,7,0,1,22.0,3899,664,3235,0.07520891364902504,0.2558086036346906,0,27.93502765653346,22.0,7,8,True,"{np.int64(0): np.int64(18), np.int64(1): np.int64(25), np.int64(2): np.int64(15), np.int64(3): np.int64(17), np.int64(4): np.int64(23), np.int64(5): np.int64(29), np.int64(6): np.int64(21)}","{(0, 3): [(np.int64(18), 10), (10, 4), (4, 9), (9, np.int64(17))], (0, 4): [(np.int64(18), 10), (10, 4), (4, 1), (1, 3), (3, 7), (7, np.int64(23))], (0, 6): [(np.int64(18), 10), (10, 4), (4, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, np.int64(21))], (1, 3): [(np.int64(25), 9), (9, 17)], (1, 4): [(np.int64(25), 9), (9, 4), (4, 1), (1, 3), (3, 7), (7, np.int64(23))], (2, 4): [(np.int64(15), 7), (7, 23)], (3, 4): [(np.int64(17), 9), (9, 4), (4, 1), (1, 3), (3, 7), (7, np.int64(23))], (5, 6): [(np.int64(29), 13), (13, 21)]}","{(np.int64(0), np.int64(18)): {'cpu': 17}, (np.int64(1), np.int64(25)): {'cpu': 3}, (np.int64(2), np.int64(15)): {'cpu': 3}, (np.int64(3), np.int64(17)): {'cpu': 1}, (np.int64(4), np.int64(23)): {'cpu': 19}, (np.int64(5), np.int64(29)): {'cpu': 4}, (np.int64(6), np.int64(21)): {'cpu': 7}}","{((0, 3), (np.int64(18), 10)): {'bw': 42}, ((0, 3), (10, 4)): {'bw': 42}, ((0, 3), (4, 9)): {'bw': 42}, ((0, 3), (9, np.int64(17))): {'bw': 42}, ((0, 4), (np.int64(18), 10)): {'bw': 10}, ((0, 4), (10, 4)): {'bw': 10}, ((0, 4), (4, 1)): {'bw': 10}, ((0, 4), (1, 3)): {'bw': 10}, ((0, 4), (3, 7)): {'bw': 10}, ((0, 4), (7, np.int64(23))): {'bw': 10}, ((0, 6), (np.int64(18), 10)): {'bw': 29}, ((0, 6), (10, 4)): {'bw': 29}, ((0, 6), (4, 1)): {'bw': 29}, ((0, 6), (1, 0)): {'bw': 29}, ((0, 6), (0, 2)): {'bw': 29}, ((0, 6), (2, 6)): {'bw': 29}, ((0, 6), (6, 13)): {'bw': 29}, ((0, 6), (13, np.int64(21))): {'bw': 29}, ((1, 3), (np.int64(25), 9)): {'bw': 49}, ((1, 3), (9, 17)): {'bw': 49}, ((1, 4), (np.int64(25), 9)): {'bw': 29}, ((1, 4), (9, 4)): {'bw': 29}, ((1, 4), (4, 1)): {'bw': 29}, ((1, 4), (1, 3)): {'bw': 29}, ((1, 4), (3, 7)): {'bw': 29}, ((1, 4), (7, np.int64(23))): {'bw': 29}, ((2, 4), (np.int64(15), 7)): {'bw': 24}, ((2, 4), (7, 23)): {'bw': 24}, ((3, 4), (np.int64(17), 9)): {'bw': 50}, ((3, 4), (9, 4)): {'bw': 50}, ((3, 4), (4, 1)): {'bw': 50}, ((3, 4), (1, 3)): {'bw': 50}, ((3, 4), (3, 7)): {'bw': 50}, ((3, 4), (7, np.int64(23))): {'bw': 50}, ((5, 6), (np.int64(29), 13)): {'bw': 16}, ((5, 6), (13, 21)): {'bw': 16}}",1166.0,303.0,378.0,54.0,249.0,54.0,249.0,54.0,1112.0,863.0,0.25986277873070324,32572.242247518014,8464.31337992964,7.25927391074583,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -39}, np.int64(1): {'cpu': -44}, np.int64(2): {'cpu': -51}, np.int64(3): {'cpu': -41}, np.int64(4): {'cpu': -25}, np.int64(5): {'cpu': -34}, np.int64(6): {'cpu': -30}}, 'link_level': {(0, 3): {'bw': -89}, (0, 4): {'bw': -79}, (0, 6): {'bw': -50}, (1, 3): {'bw': -66}, (1, 4): {'bw': -54}, (2, 4): {'bw': -69}, (3, 4): {'bw': -16}, (5, 6): {'bw': -83}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,8.0,4.282784700393677
2,2,2,341.0,1204.0,12703.958321368384,36811.88718895676,0.28322259136212624,0.34510478248937637,9,1,1,49.0,3861,660,3201,0.0807799442896936,0.26363008971704627,1,111.56960372207224,49.0,2,1,True,"{np.int64(0): np.int64(12), np.int64(1): np.int64(20)}","{(0, 1): [(np.int64(12), 20)]}","{(np.int64(0), np.int64(12)): {'cpu': 0}, (np.int64(1), np.int64(20)): {'cpu': 4}}","{((0, 1), (np.int64(12), 20)): {'bw': 34}}",38.0,38.0,12.0,4.0,34.0,4.0,34.0,4.0,34.0,0.0,1.0,4239.644941438745,4239.644941438745,111.56960372207224,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': -32}}, 'link_level': {(0, 1): {'bw': -141}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,1.855700969696045
2,2,1,341.0,1204.0,12703.958321368384,36811.88718895676,0.28322259136212624,0.34510478248937637,9,2,0,49.935027656533464,5027,714,4313,0.005571030640668551,0.007821486082355666,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
3,3,2,542.0,1847.0,14582.853133758059,42822.48104152672,0.2934488359501895,0.3405419952107975,11,3,1,68.0,4384,677,3707,0.057103064066852394,0.14722797331492987,2,9.347735385023263,68.0,5,6,True,"{np.int64(0): np.int64(21), np.int64(1): np.int64(30), np.int64(2): np.int64(23), np.int64(3): np.int64(29), np.int64(4): np.int64(22)}","{(0, 1): [(np.int64(21), 13), (13, 6), (6, 14), (14, np.int64(30))], (0, 3): [(np.int64(21), 13), (13, 29)], (1, 3): [(np.int64(30), 14), (14, 6), (6, 13), (13, np.int64(29))], (1, 4): [(np.int64(30), 14), (14, 22)], (2, 4): [(np.int64(23), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 14), (14, np.int64(22))], (3, 4): [(np.int64(29), 13), (13, 6), (6, 14), (14, np.int64(22))]}","{(np.int64(0), np.int64(21)): {'cpu': 13}, (np.int64(1), np.int64(30)): {'cpu': 1}, (np.int64(2), np.int64(23)): {'cpu': 2}, (np.int64(3), np.int64(29)): {'cpu': 2}, (np.int64(4), np.int64(22)): {'cpu': 19}}","{((0, 1), (np.int64(21), 13)): {'bw': 12}, ((0, 1), (13, 6)): {'bw': 12}, ((0, 1), (6, 14)): {'bw': 12}, ((0, 1), (14, np.int64(30))): {'bw': 12}, ((0, 3), (np.int64(21), 13)): {'bw': 30}, ((0, 3), (13, 29)): {'bw': 30}, ((1, 3), (np.int64(30), 14)): {'bw': 39}, ((1, 3), (14, 6)): {'bw': 39}, ((1, 3), (6, 13)): {'bw': 39}, ((1, 3), (13, np.int64(29))): {'bw': 39}, ((1, 4), (np.int64(30), 14)): {'bw': 21}, ((1, 4), (14, 22)): {'bw': 21}, ((2, 4), (np.int64(23), 7)): {'bw': 13}, ((2, 4), (7, 3)): {'bw': 13}, ((2, 4), (3, 1)): {'bw': 13}, ((2, 4), (1, 0)): {'bw': 13}, ((2, 4), (0, 2)): {'bw': 13}, ((2, 4), (2, 6)): {'bw': 13}, ((2, 4), (6, 14)): {'bw': 13}, ((2, 4), (14, np.int64(22))): {'bw': 13}, ((3, 4), (np.int64(29), 13)): {'bw': 49}, ((3, 4), (13, 6)): {'bw': 49}, ((3, 4), (6, 14)): {'bw': 49}, ((3, 4), (14, np.int64(22))): {'bw': 49}}",643.0,201.0,814.0,37.0,164.0,37.0,164.0,37.0,606.0,442.0,0.31259720062208396,6010.5938525699585,1878.894812389676,2.9220759135142704,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -24}, np.int64(1): {'cpu': -38}, np.int64(2): {'cpu': -42}, np.int64(3): {'cpu': -36}, np.int64(4): {'cpu': -34}}, 'link_level': {(0, 1): {'bw': -88}, (0, 3): {'bw': -86}, (1, 3): {'bw': -49}, (1, 4): {'bw': -28}, (2, 4): {'bw': -50}, (3, 4): {'bw': -1}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0,3.8671207427978516
3,3,1,542.0,1847.0,14582.853133758059,42822.48104152672,0.2934488359501895,0.3405419952107975,11,4,0,77.34773538502327,5027,714,4313,0.005571030640668551,0.007821486082355666,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
4,4,2,739.0,2332.0,170056.50668700924,425587.5672005461,0.31689536878216124,0.39958053240515584,14,5,1,105.0,4542,665,3877,0.07381615598885793,0.10812054290315165,3,789.206363214473,105.0,5,5,True,"{np.int64(0): np.int64(15), np.int64(1): np.int64(16), np.int64(2): np.int64(23), np.int64(3): np.int64(4), np.int64(4): np.int64(24)}","{(0, 2): [(np.int64(15), 7), (7, 23)], (0, 4): [(np.int64(15), 7), (7, 3), (3, 8), (8, np.int64(24))], (1, 4): [(np.int64(16), 8), (8, 24)], (2, 3): [(np.int64(23), 7), (7, 3), (3, 1), (1, np.int64(4))], (2, 4): [(np.int64(23), 7), (7, 3), (3, 8), (8, np.int64(24))]}","{(np.int64(0), np.int64(15)): {'cpu': 19}, (np.int64(1), np.int64(16)): {'cpu': 12}, (np.int64(2), np.int64(23)): {'cpu': 17}, (np.int64(3), np.int64(4)): {'cpu': 0}, (np.int64(4), np.int64(24)): {'cpu': 1}}","{((0, 2), (np.int64(15), 7)): {'bw': 36}, ((0, 2), (7, 23)): {'bw': 36}, ((0, 4), (np.int64(15), 7)): {'bw': 10}, ((0, 4), (7, 3)): {'bw': 10}, ((0, 4), (3, 8)): {'bw': 10}, ((0, 4), (8, np.int64(24))): {'bw': 10}, ((1, 4), (np.int64(16), 8)): {'bw': 42}, ((1, 4), (8, 24)): {'bw': 42}, ((2, 3), (np.int64(23), 7)): {'bw': 32}, ((2, 3), (7, 3)): {'bw': 32}, ((2, 3), (3, 1)): {'bw': 32}, ((2, 3), (1, np.int64(4))): {'bw': 32}, ((2, 4), (np.int64(23), 7)): {'bw': 28}, ((2, 4), (7, 3)): {'bw': 28}, ((2, 4), (3, 8)): {'bw': 28}, ((2, 4), (8, np.int64(24))): {'bw': 28}}",485.0,197.0,637.0,49.0,148.0,49.0,148.0,49.0,436.0,288.0,0.4061855670103093,382765.0861590194,155473.65355325118,320.5642341304148,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -35}, np.int64(1): {'cpu': -42}, np.int64(2): {'cpu': -27}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': -53}}, 'link_level': {(0, 2): {'bw': -96}, (0, 4): {'bw': -93}, (1, 4): {'bw': -57}, (2, 3): {'bw': -64}, (2, 4): {'bw': -29}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,5.0,3.345078945159912
5,5,3,1037.0,3366.0,207828.85778089848,556650.0203249806,0.30808080808080807,0.37335641820252674,18,6,1,131.0,3508,581,2927,0.19080779944289694,0.32666206579250057,4,126.75285601976255,131.0,9,10,True,"{np.int64(0): np.int64(18), np.int64(1): np.int64(22), np.int64(2): np.int64(27), np.int64(3): np.int64(19), np.int64(4): np.int64(29), np.int64(5): np.int64(17), np.int64(6): np.int64(26), np.int64(7): np.int64(28), np.int64(8): np.int64(30)}","{(0, 2): [(np.int64(18), 10), (10, 4), (4, 1), (1, 0), (0, 2), (2, 5), (5, 11), (11, np.int64(27))], (1, 4): [(np.int64(22), 14), (14, 6), (6, 13), (13, np.int64(29))], (1, 6): [(np.int64(22), 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 10), (10, np.int64(26))], (1, 8): [(np.int64(22), 14), (14, 30)], (2, 3): [(np.int64(27), 11), (11, 19)], (2, 4): [(np.int64(27), 11), (11, 5), (5, 2), (2, 6), (6, 13), (13, np.int64(29))], (2, 7): [(np.int64(27), 11), (11, 5), (5, 12), (12, np.int64(28))], (2, 8): [(np.int64(27), 11), (11, 5), (5, 2), (2, 6), (6, 14), (14, np.int64(30))], (4, 7): [(np.int64(29), 13), (13, 6), (6, 2), (2, 5), (5, 12), (12, np.int64(28))], (5, 6): [(np.int64(17), 9), (9, 4), (4, 10), (10, np.int64(26))]}","{(np.int64(0), np.int64(18)): {'cpu': 2}, (np.int64(1), np.int64(22)): {'cpu': 1}, (np.int64(2), np.int64(27)): {'cpu': 13}, (np.int64(3), np.int64(19)): {'cpu': 19}, (np.int64(4), np.int64(29)): {'cpu': 15}, (np.int64(5), np.int64(17)): {'cpu': 17}, (np.int64(6), np.int64(26)): {'cpu': 4}, (np.int64(7), np.int64(28)): {'cpu': 7}, (np.int64(8), np.int64(30)): {'cpu': 6}}","{((0, 2), (np.int64(18), 10)): {'bw': 9}, ((0, 2), (10, 4)): {'bw': 9}, ((0, 2), (4, 1)): {'bw': 9}, ((0, 2), (1, 0)): {'bw': 9}, ((0, 2), (0, 2)): {'bw': 9}, ((0, 2), (2, 5)): {'bw': 9}, ((0, 2), (5, 11)): {'bw': 9}, ((0, 2), (11, np.int64(27))): {'bw': 9}, ((1, 4), (np.int64(22), 14)): {'bw': 15}, ((1, 4), (14, 6)): {'bw': 15}, ((1, 4), (6, 13)): {'bw': 15}, ((1, 4), (13, np.int64(29))): {'bw': 15}, ((1, 6), (np.int64(22), 14)): {'bw': 18}, ((1, 6), (14, 6)): {'bw': 18}, ((1, 6), (6, 2)): {'bw': 18}, ((1, 6), (2, 0)): {'bw': 18}, ((1, 6), (0, 1)): {'bw': 18}, ((1, 6), (1, 4)): {'bw': 18}, ((1, 6), (4, 10)): {'bw': 18}, ((1, 6), (10, np.int64(26))): {'bw': 18}, ((1, 8), (np.int64(22), 14)): {'bw': 29}, ((1, 8), (14, 30)): {'bw': 29}, ((2, 3), (np.int64(27), 11)): {'bw': 42}, ((2, 3), (11, 19)): {'bw': 42}, ((2, 4), (np.int64(27), 11)): {'bw': 18}, ((2, 4), (11, 5)): {'bw': 18}, ((2, 4), (5, 2)): {'bw': 18}, ((2, 4), (2, 6)): {'bw': 18}, ((2, 4), (6, 13)): {'bw': 18}, ((2, 4), (13, np.int64(29))): {'bw': 18}, ((2, 7), (np.int64(27), 11)): {'bw': 2}, ((2, 7), (11, 5)): {'bw': 2}, ((2, 7), (5, 12)): {'bw': 2}, ((2, 7), (12, np.int64(28))): {'bw': 2}, ((2, 8), (np.int64(27), 11)): {'bw': 29}, ((2, 8), (11, 5)): {'bw': 29}, ((2, 8), (5, 2)): {'bw': 29}, ((2, 8), (2, 6)): {'bw': 29}, ((2, 8), (6, 14)): {'bw': 29}, ((2, 8), (14, np.int64(30))): {'bw': 29}, ((4, 7), (np.int64(29), 13)): {'bw': 17}, ((4, 7), (13, 6)): {'bw': 17}, ((4, 7), (6, 2)): {'bw': 17}, ((4, 7), (2, 5)): {'bw': 17}, ((4, 7), (5, 12)): {'bw': 17}, ((4, 7), (12, np.int64(28))): {'bw': 17}, ((5, 6), (np.int64(17), 9)): {'bw': 35}, ((5, 6), (9, 4)): {'bw': 35}, ((5, 6), (4, 10)): {'bw': 35}, ((5, 6), (10, np.int64(26))): {'bw': 35}}",1034.0,298.0,2268.0,84.0,214.0,84.0,214.0,84.0,950.0,736.0,0.28820116054158607,131062.45312443447,37772.351093889236,36.53032020685613,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -54}, np.int64(1): {'cpu': -52}, np.int64(2): {'cpu': -42}, np.int64(3): {'cpu': -12}, np.int64(4): {'cpu': -23}, np.int64(5): {'cpu': -25}, np.int64(6): {'cpu': -31}, np.int64(7): {'cpu': -36}, np.int64(8): {'cpu': -33}}, 'link_level': {(0, 2): {'bw': -111}, (1, 4): {'bw': -85}, (1, 6): {'bw': -67}, (1, 8): {'bw': -38}, (2, 3): {'bw': -81}, (2, 4): {'bw': -66}, (2, 7): {'bw': -64}, (2, 8): {'bw': -35}, (4, 7): {'bw': -69}, (5, 6): {'bw': -87}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}, np.int64(7): {'cpu': 0}, np.int64(8): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,10.0,5.224887132644653
6,6,4,1224.0,3877.0,247440.79706408316,664894.4105587099,0.3157080216662368,0.37215051463007337,18,7,1,155.0,2997,518,2479,0.2785515320334262,0.42972164711295147,5,211.82855231649557,155.0,5,6,True,"{np.int64(0): np.int64(18), np.int64(1): np.int64(23), np.int64(2): np.int64(17), np.int64(3): np.int64(26), np.int64(4): np.int64(25)}","{(0, 2): [(np.int64(18), 10), (10, 4), (4, 9), (9, np.int64(17))], (0, 4): [(np.int64(18), 10), (10, 4), (4, 9), (9, np.int64(25))], (1, 2): [(np.int64(23), 7), (7, 3), (3, 1), (1, 4), (4, 9), (9, np.int64(17))], (1, 4): [(np.int64(23), 7), (7, 3), (3, 1), (1, 4), (4, 9), (9, np.int64(25))], (2, 4): [(np.int64(17), 9), (9, 25)], (3, 4): [(np.int64(26), 10), (10, 4), (4, 9), (9, np.int64(25))]}","{(np.int64(0), np.int64(18)): {'cpu': 19}, (np.int64(1), np.int64(23)): {'cpu': 16}, (np.int64(2), np.int64(17)): {'cpu': 12}, (np.int64(3), np.int64(26)): {'cpu': 3}, (np.int64(4), np.int64(25)): {'cpu': 13}}","{((0, 2), (np.int64(18), 10)): {'bw': 2}, ((0, 2), (10, 4)): {'bw': 2}, ((0, 2), (4, 9)): {'bw': 2}, ((0, 2), (9, np.int64(17))): {'bw': 2}, ((0, 4), (np.int64(18), 10)): {'bw': 20}, ((0, 4), (10, 4)): {'bw': 20}, ((0, 4), (4, 9)): {'bw': 20}, ((0, 4), (9, np.int64(25))): {'bw': 20}, ((1, 2), (np.int64(23), 7)): {'bw': 3}, ((1, 2), (7, 3)): {'bw': 3}, ((1, 2), (3, 1)): {'bw': 3}, ((1, 2), (1, 4)): {'bw': 3}, ((1, 2), (4, 9)): {'bw': 3}, ((1, 2), (9, np.int64(17))): {'bw': 3}, ((1, 4), (np.int64(23), 7)): {'bw': 17}, ((1, 4), (7, 3)): {'bw': 17}, ((1, 4), (3, 1)): {'bw': 17}, ((1, 4), (1, 4)): {'bw': 17}, ((1, 4), (4, 9)): {'bw': 17}, ((1, 4), (9, np.int64(25))): {'bw': 17}, ((2, 4), (np.int64(17), 9)): {'bw': 44}, ((2, 4), (9, 25)): {'bw': 44}, ((3, 4), (np.int64(26), 10)): {'bw': 38}, ((3, 4), (10, 4)): {'bw': 38}, ((3, 4), (4, 9)): {'bw': 38}, ((3, 4), (9, np.int64(25))): {'bw': 38}}",511.0,187.0,1701.0,63.0,124.0,63.0,124.0,63.0,448.0,324.0,0.3659491193737769,108244.39023372924,39611.93928318467,77.51847217844359,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -35}, np.int64(1): {'cpu': -11}, np.int64(2): {'cpu': -13}, np.int64(3): {'cpu': -28}, np.int64(4): {'cpu': -34}}, 'link_level': {(0, 2): {'bw': -85}, (0, 4): {'bw': -65}, (1, 2): {'bw': -33}, (1, 4): {'bw': -16}, (2, 4): {'bw': -51}, (3, 4): {'bw': -13}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0,3.7270777225494385
6,6,3,1224.0,3877.0,247440.79706408316,664894.4105587099,0.3157080216662368,0.37215051463007337,18,8,0,160.56960372207226,3035,522,2513,0.27298050139275765,0.4219001610305958,1,111.56960372207224,49.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
7,6,3,1224.0,3877.0,247440.79706408316,664894.4105587099,0.3157080216662368,0.37215051463007337,18,9,1,181.0,3035,522,2513,0.27298050139275765,0.4219001610305958,6,1316.109436881733,181.0,7,9,False,{},{},{},{},0.0,0.0,124.0,62.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,2.499228000640869
