v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,22.0,9202,4586,4616,0.0,0.0,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,108.0,54.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
2,1,1,38.0,38.0,4239.644941438745,4239.644941438745,1.0,1.0,2,1,1,49.0,9164,4582,4582,0.0008722197993894509,0.007365684575389997,1,111.56960372207224,49.0,2,1,True,"{np.int64(0): np.int64(17), np.int64(1): np.int64(49)}","{(0, 1): [(np.int64(17), 49)]}","{(np.int64(0), np.int64(17)): {'cpu': 0}, (np.int64(1), np.int64(49)): {'cpu': 4}}","{((0, 1), (np.int64(17), 49)): {'bw': 34}}",38.0,38.0,16.0,4.0,34.0,4.0,34.0,4.0,34.0,0.0,1.0,4239.644941438745,4239.644941438745,111.56960372207224,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -88}, np.int64(1): {'cpu': -69}}, 'link_level': {(0, 1): {'bw': -29}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0
2,1,1,38.0,38.0,4239.644941438745,4239.644941438745,1.0,1.0,2,2,0,49.935027656533464,9164,4582,4582,0.0008722197993894509,0.007365684575389997,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
3,1,1,38.0,38.0,4239.644941438745,4239.644941438745,1.0,1.0,2,3,1,68.0,9164,4582,4582,0.0008722197993894509,0.007365684575389997,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,74.0,37.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
3,1,1,38.0,38.0,4239.644941438745,4239.644941438745,1.0,1.0,2,4,0,77.34773538502327,9164,4582,4582,0.0008722197993894509,0.007365684575389997,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
4,1,1,38.0,38.0,4239.644941438745,4239.644941438745,1.0,1.0,2,5,1,105.0,9164,4582,4582,0.0008722197993894509,0.007365684575389997,3,789.206363214473,105.0,5,5,False,{},{},{},{},0.0,0.0,98.0,49.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
5,1,1,38.0,38.0,4239.644941438745,4239.644941438745,1.0,1.0,2,6,1,131.0,9164,4582,4582,0.0008722197993894509,0.007365684575389997,4,126.75285601976255,131.0,9,10,False,{},{},{},{},0.0,0.0,168.0,84.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
6,2,2,225.0,320.0,43851.58422462342,63975.2966946905,0.703125,0.6854455780626773,7,7,1,155.0,8882,4519,4363,0.014609681639773275,0.054809358752166415,5,211.82855231649557,155.0,5,6,True,"{np.int64(0): np.int64(14), np.int64(1): np.int64(27), np.int64(2): np.int64(13), np.int64(3): np.int64(62), np.int64(4): np.int64(6)}","{(0, 2): [(np.int64(14), 6), (6, np.int64(13))], (0, 4): [(np.int64(14), 6)], (1, 2): [(np.int64(27), 13)], (1, 4): [(np.int64(27), 13), (13, np.int64(6))], (2, 4): [(np.int64(13), 6)], (3, 4): [(np.int64(62), 30), (30, 14), (14, np.int64(6))]}","{(np.int64(0), np.int64(14)): {'cpu': 19}, (np.int64(1), np.int64(27)): {'cpu': 16}, (np.int64(2), np.int64(13)): {'cpu': 12}, (np.int64(3), np.int64(62)): {'cpu': 3}, (np.int64(4), np.int64(6)): {'cpu': 13}}","{((0, 2), (np.int64(14), 6)): {'bw': 2}, ((0, 2), (6, np.int64(13))): {'bw': 2}, ((0, 4), (np.int64(14), 6)): {'bw': 20}, ((1, 2), (np.int64(27), 13)): {'bw': 3}, ((1, 4), (np.int64(27), 13)): {'bw': 17}, ((1, 4), (13, np.int64(6))): {'bw': 17}, ((2, 4), (np.int64(13), 6)): {'bw': 44}, ((3, 4), (np.int64(62), 30)): {'bw': 38}, ((3, 4), (30, 14)): {'bw': 38}, ((3, 4), (14, np.int64(6))): {'bw': 38}}",282.0,187.0,252.0,63.0,124.0,63.0,124.0,63.0,219.0,95.0,0.6631205673758865,59735.651753251754,39611.93928318467,140.4678697985272,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -55}, np.int64(1): {'cpu': -43}, np.int64(2): {'cpu': -62}, np.int64(3): {'cpu': -62}, np.int64(4): {'cpu': -46}}, 'link_level': {(0, 2): {'bw': -66}, (0, 4): {'bw': -55}, (1, 2): {'bw': -59}, (1, 4): {'bw': -42}, (2, 4): {'bw': -5}, (3, 4): {'bw': -12}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0
6,2,1,225.0,320.0,43851.58422462342,63975.2966946905,0.703125,0.6854455780626773,7,8,0,160.56960372207226,8920,4523,4397,0.013737461840383824,0.04744367417677642,1,111.56960372207224,49.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
7,2,1,225.0,320.0,43851.58422462342,63975.2966946905,0.703125,0.6854455780626773,7,9,1,181.0,8920,4523,4397,0.013737461840383824,0.04744367417677642,6,1316.109436881733,181.0,7,9,False,{},{},{},{},0.0,0.0,124.0,62.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
