v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,1,1,303.0,533.0,8464.31337992964,14889.369740932334,0.5684803001876173,0.5684803001876173,7,0,1,22.0,9341,2177,7164,0.024204392649036288,0.06267172576213531,0,27.93502765653346,22.0,7,8,True,"{np.int64(0): np.int64(4), np.int64(1): np.int64(3), np.int64(2): np.int64(5), np.int64(3): np.int64(1), np.int64(4): np.int64(0), np.int64(5): np.int64(26), np.int64(6): np.int64(6)}","{(0, 3): [(np.int64(4), 1)], (0, 4): [(np.int64(4), 1), (1, np.int64(0))], (0, 6): [(np.int64(4), 1), (1, 0), (0, 2), (2, np.int64(6))], (1, 3): [(np.int64(3), 1)], (1, 4): [(np.int64(3), 1), (1, np.int64(0))], (2, 4): [(np.int64(5), 2), (2, np.int64(0))], (3, 4): [(np.int64(1), 0)], (5, 6): [(np.int64(26), 10), (10, 4), (4, 1), (1, 0), (0, 2), (2, np.int64(6))]}","{(np.int64(0), np.int64(4)): {'cpu': 17}, (np.int64(1), np.int64(3)): {'cpu': 3}, (np.int64(2), np.int64(5)): {'cpu': 3}, (np.int64(3), np.int64(1)): {'cpu': 1}, (np.int64(4), np.int64(0)): {'cpu': 19}, (np.int64(5), np.int64(26)): {'cpu': 4}, (np.int64(6), np.int64(6)): {'cpu': 7}}","{((0, 3), (np.int64(4), 1)): {'bw': 42}, ((0, 4), (np.int64(4), 1)): {'bw': 10}, ((0, 4), (1, np.int64(0))): {'bw': 10}, ((0, 6), (np.int64(4), 1)): {'bw': 29}, ((0, 6), (1, 0)): {'bw': 29}, ((0, 6), (0, 2)): {'bw': 29}, ((0, 6), (2, np.int64(6))): {'bw': 29}, ((1, 3), (np.int64(3), 1)): {'bw': 49}, ((1, 4), (np.int64(3), 1)): {'bw': 29}, ((1, 4), (1, np.int64(0))): {'bw': 29}, ((2, 4), (np.int64(5), 2)): {'bw': 24}, ((2, 4), (2, np.int64(0))): {'bw': 24}, ((3, 4), (np.int64(1), 0)): {'bw': 50}, ((5, 6), (np.int64(26), 10)): {'bw': 16}, ((5, 6), (10, 4)): {'bw': 16}, ((5, 6), (4, 1)): {'bw': 16}, ((5, 6), (1, 0)): {'bw': 16}, ((5, 6), (0, 2)): {'bw': 16}, ((5, 6), (2, np.int64(6))): {'bw': 16}}",533.0,303.0,702.0,54.0,249,54.0,249,54.0,479,230,0.5684803001876173,14889.369740932334,8464.31337992964,15.880512907935532,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -36}, np.int64(1): {'cpu': -50}, np.int64(2): {'cpu': -86}, np.int64(3): {'cpu': -96}, np.int64(4): {'cpu': -75}, np.int64(5): {'cpu': -54}, np.int64(6): {'cpu': -52}}, 'link_level': {(0, 3): {'bw': -343}, (0, 4): {'bw': -189}, (0, 6): {'bw': -160}, (1, 3): {'bw': -294}, (1, 4): {'bw': -131}, (2, 4): {'bw': -223}, (3, 4): {'bw': -81}, (5, 6): {'bw': -65}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7,8
2,2,2,341.0,571.0,12703.958321368384,19129.01468237108,0.5971978984238179,0.6641198479018421,7,1,1,49.0,9303,2173,7130,0.025997310623039005,0.0671202407431637,1,111.56960372207224,49.0,2,1,True,"{np.int64(0): np.int64(0), np.int64(1): np.int64(1)}","{(0, 1): [(np.int64(0), 1)]}","{(np.int64(0), np.int64(0)): {'cpu': 0}, (np.int64(1), np.int64(1)): {'cpu': 4}}","{((0, 1), (np.int64(0), 1)): {'bw': 34}}",38.0,38.0,12.0,4.0,34,4.0,34,4.0,34,0,1.0,4239.644941438745,4239.644941438745,111.56960372207224,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -75}, np.int64(1): {'cpu': -92}}, 'link_level': {(0, 1): {'bw': -31}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2,1
2,2,1,341.0,571.0,12703.958321368384,19129.01468237108,0.5971978984238179,0.6641198479018421,7,2,0,49.935027656533464,9836,2227,7609,0.0017929179740027168,0.004448514981028384,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
3,3,2,542.0,823.0,14582.853133758059,21484.64399939694,0.6585662211421628,0.6787570291677809,9,3,1,68.0,9584,2190,7394,0.018377409233527597,0.032578830302237294,2,9.347735385023263,68.0,5,6,True,"{np.int64(0): np.int64(10), np.int64(1): np.int64(4), np.int64(2): np.int64(2), np.int64(3): np.int64(1), np.int64(4): np.int64(0)}","{(0, 1): [(np.int64(10), 4)], (0, 3): [(np.int64(10), 4), (4, np.int64(1))], (1, 3): [(np.int64(4), 1)], (1, 4): [(np.int64(4), 1), (1, np.int64(0))], (2, 4): [(np.int64(2), 0)], (3, 4): [(np.int64(1), 0)]}","{(np.int64(0), np.int64(10)): {'cpu': 13}, (np.int64(1), np.int64(4)): {'cpu': 1}, (np.int64(2), np.int64(2)): {'cpu': 2}, (np.int64(3), np.int64(1)): {'cpu': 2}, (np.int64(4), np.int64(0)): {'cpu': 19}}","{((0, 1), (np.int64(10), 4)): {'bw': 12}, ((0, 3), (np.int64(10), 4)): {'bw': 30}, ((0, 3), (4, np.int64(1))): {'bw': 30}, ((1, 3), (np.int64(4), 1)): {'bw': 39}, ((1, 4), (np.int64(4), 1)): {'bw': 21}, ((1, 4), (1, np.int64(0))): {'bw': 21}, ((2, 4), (np.int64(2), 0)): {'bw': 13}, ((3, 4), (np.int64(1), 0)): {'bw': 49}}",252.0,201.0,444.0,37.0,164,37.0,164,37.0,215,51,0.7976190476190477,2355.6293170258623,1878.894812389676,7.455931795197127,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -73}, np.int64(1): {'cpu': -52}, np.int64(2): {'cpu': -48}, np.int64(3): {'cpu': -91}, np.int64(4): {'cpu': -75}}, 'link_level': {(0, 1): {'bw': -215}, (0, 3): {'bw': -185}, (1, 3): {'bw': -316}, (1, 4): {'bw': -144}, (2, 4): {'bw': -264}, (3, 4): {'bw': -95}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5,6
3,3,1,542.0,823.0,14582.853133758059,21484.64399939694,0.6585662211421628,0.6787570291677809,9,4,0,77.34773538502327,9836,2227,7609,0.0017929179740027168,0.004448514981028384,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
4,4,2,739.0,1062.0,170056.50668700924,210104.96480765598,0.6958568738229756,0.8093883304599215,10,5,1,105.0,9597,2178,7419,0.023756163155535637,0.029307863404422374,3,789.206363214473,105.0,5,5,True,"{np.int64(0): np.int64(11), np.int64(1): np.int64(6), np.int64(2): np.int64(5), np.int64(3): np.int64(0), np.int64(4): np.int64(2)}","{(0, 2): [(np.int64(11), 5)], (0, 4): [(np.int64(11), 5), (5, np.int64(2))], (1, 4): [(np.int64(6), 2)], (2, 3): [(np.int64(5), 2), (2, np.int64(0))], (2, 4): [(np.int64(5), 2)]}","{(np.int64(0), np.int64(11)): {'cpu': 19}, (np.int64(1), np.int64(6)): {'cpu': 12}, (np.int64(2), np.int64(5)): {'cpu': 17}, (np.int64(3), np.int64(0)): {'cpu': 0}, (np.int64(4), np.int64(2)): {'cpu': 1}}","{((0, 2), (np.int64(11), 5)): {'bw': 36}, ((0, 4), (np.int64(11), 5)): {'bw': 10}, ((0, 4), (5, np.int64(2))): {'bw': 10}, ((1, 4), (np.int64(6), 2)): {'bw': 42}, ((2, 3), (np.int64(5), 2)): {'bw': 32}, ((2, 3), (2, np.int64(0))): {'bw': 32}, ((2, 4), (np.int64(5), 2)): {'bw': 28}}",239.0,197.0,343.0,49.0,148,49.0,148,49.0,190,42,0.8242677824267782,188620.32080825904,155473.65355325118,650.5173788838961,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -54}, np.int64(1): {'cpu': -47}, np.int64(2): {'cpu': -72}, np.int64(3): {'cpu': -94}, np.int64(4): {'cpu': -49}}, 'link_level': {(0, 2): {'bw': -96}, (0, 4): {'bw': -86}, (1, 4): {'bw': -205}, (2, 3): {'bw': -205}, (2, 4): {'bw': -177}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5,5
5,5,3,1037.0,1665.0,207828.85778089848,286536.9369875728,0.6228228228228229,0.7253126244938958,15,6,1,131.0,8994,2094,6900,0.061407440609592134,0.0972131362030616,4,126.75285601976255,131.0,9,10,True,"{np.int64(0): np.int64(25), np.int64(1): np.int64(2), np.int64(2): np.int64(4), np.int64(3): np.int64(18), np.int64(4): np.int64(12), np.int64(5): np.int64(13), np.int64(6): np.int64(5), np.int64(7): np.int64(28), np.int64(8): np.int64(3)}","{(0, 2): [(np.int64(25), 9), (9, 4)], (1, 4): [(np.int64(2), 5), (5, np.int64(12))], (1, 6): [(np.int64(2), 5)], (1, 8): [(np.int64(2), 0), (0, 1), (1, np.int64(3))], (2, 3): [(np.int64(4), 10), (10, np.int64(18))], (2, 4): [(np.int64(4), 1), (1, 0), (0, 2), (2, 5), (5, np.int64(12))], (2, 7): [(np.int64(4), 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, np.int64(28))], (2, 8): [(np.int64(4), 1), (1, np.int64(3))], (4, 7): [(np.int64(12), 28)], (5, 6): [(np.int64(13), 6), (6, 2), (2, np.int64(5))]}","{(np.int64(0), np.int64(25)): {'cpu': 2}, (np.int64(1), np.int64(2)): {'cpu': 1}, (np.int64(2), np.int64(4)): {'cpu': 13}, (np.int64(3), np.int64(18)): {'cpu': 19}, (np.int64(4), np.int64(12)): {'cpu': 15}, (np.int64(5), np.int64(13)): {'cpu': 17}, (np.int64(6), np.int64(5)): {'cpu': 4}, (np.int64(7), np.int64(28)): {'cpu': 7}, (np.int64(8), np.int64(3)): {'cpu': 6}}","{((0, 2), (np.int64(25), 9)): {'bw': 9}, ((0, 2), (9, 4)): {'bw': 9}, ((1, 4), (np.int64(2), 5)): {'bw': 15}, ((1, 4), (5, np.int64(12))): {'bw': 15}, ((1, 6), (np.int64(2), 5)): {'bw': 18}, ((1, 8), (np.int64(2), 0)): {'bw': 29}, ((1, 8), (0, 1)): {'bw': 29}, ((1, 8), (1, np.int64(3))): {'bw': 29}, ((2, 3), (np.int64(4), 10)): {'bw': 42}, ((2, 3), (10, np.int64(18))): {'bw': 42}, ((2, 4), (np.int64(4), 1)): {'bw': 18}, ((2, 4), (1, 0)): {'bw': 18}, ((2, 4), (0, 2)): {'bw': 18}, ((2, 4), (2, 5)): {'bw': 18}, ((2, 4), (5, np.int64(12))): {'bw': 18}, ((2, 7), (np.int64(4), 1)): {'bw': 2}, ((2, 7), (1, 0)): {'bw': 2}, ((2, 7), (0, 2)): {'bw': 2}, ((2, 7), (2, 5)): {'bw': 2}, ((2, 7), (5, 12)): {'bw': 2}, ((2, 7), (12, np.int64(28))): {'bw': 2}, ((2, 8), (np.int64(4), 1)): {'bw': 29}, ((2, 8), (1, np.int64(3))): {'bw': 29}, ((4, 7), (np.int64(12), 28)): {'bw': 17}, ((5, 6), (np.int64(13), 6)): {'bw': 35}, ((5, 6), (6, 2)): {'bw': 35}, ((5, 6), (2, np.int64(5))): {'bw': 35}}",603.0,298.0,2016.0,84.0,214,84.0,214,84.0,519,305,0.494195688225539,76431.97217991682,37772.351093889236,62.64071491523921,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -61}, np.int64(1): {'cpu': -48}, np.int64(2): {'cpu': -40}, np.int64(3): {'cpu': -70}, np.int64(4): {'cpu': -41}, np.int64(5): {'cpu': -57}, np.int64(6): {'cpu': -68}, np.int64(7): {'cpu': -63}, np.int64(8): {'cpu': -47}}, 'link_level': {(0, 2): {'bw': -219}, (1, 4): {'bw': -116}, (1, 6): {'bw': -144}, (1, 8): {'bw': -136}, (2, 3): {'bw': -185}, (2, 4): {'bw': -98}, (2, 7): {'bw': -96}, (2, 8): {'bw': -285}, (4, 7): {'bw': -186}, (5, 6): {'bw': -89}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}, np.int64(7): {'cpu': 0}, np.int64(8): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9,10
6,6,4,1224.0,1877.0,247440.79706408316,331444.5900786699,0.6521044219499201,0.74655252935446,16,7,1,155.0,8782,2031,6751,0.08964589870013451,0.116708098914039,5,211.82855231649557,155.0,5,6,True,"{np.int64(0): np.int64(14), np.int64(1): np.int64(5), np.int64(2): np.int64(13), np.int64(3): np.int64(2), np.int64(4): np.int64(6)}","{(0, 2): [(np.int64(14), 6), (6, np.int64(13))], (0, 4): [(np.int64(14), 6)], (1, 2): [(np.int64(5), 2), (2, 6), (6, np.int64(13))], (1, 4): [(np.int64(5), 2), (2, np.int64(6))], (2, 4): [(np.int64(13), 6)], (3, 4): [(np.int64(2), 6)]}","{(np.int64(0), np.int64(14)): {'cpu': 19}, (np.int64(1), np.int64(5)): {'cpu': 16}, (np.int64(2), np.int64(13)): {'cpu': 12}, (np.int64(3), np.int64(2)): {'cpu': 3}, (np.int64(4), np.int64(6)): {'cpu': 13}}","{((0, 2), (np.int64(14), 6)): {'bw': 2}, ((0, 2), (6, np.int64(13))): {'bw': 2}, ((0, 4), (np.int64(14), 6)): {'bw': 20}, ((1, 2), (np.int64(5), 2)): {'bw': 3}, ((1, 2), (2, 6)): {'bw': 3}, ((1, 2), (6, np.int64(13))): {'bw': 3}, ((1, 4), (np.int64(5), 2)): {'bw': 17}, ((1, 4), (2, np.int64(6))): {'bw': 17}, ((2, 4), (np.int64(13), 6)): {'bw': 44}, ((3, 4), (np.int64(2), 6)): {'bw': 38}}",212.0,187.0,1512.0,63.0,124,63.0,124,63.0,149,25,0.8820754716981132,44907.65309109706,39611.93928318467,186.8487702037013,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -55}, np.int64(1): {'cpu': -52}, np.int64(2): {'cpu': -45}, np.int64(3): {'cpu': -45}, np.int64(4): {'cpu': -34}}, 'link_level': {(0, 2): {'bw': -265}, (0, 4): {'bw': -322}, (1, 2): {'bw': -86}, (1, 4): {'bw': -69}, (2, 4): {'bw': -218}, (3, 4): {'bw': -112}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5,6
6,6,3,1224.0,1877.0,247440.79706408316,331444.5900786699,0.6521044219499201,0.74655252935446,16,8,0,160.56960372207226,8820,2035,6785,0.08785298072613179,0.11225958393301061,1,111.56960372207224,49.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
7,7,4,1527.0,2429.0,646221.9564392483,1057936.9992373865,0.6286537669822972,0.6108321732816577,20,9,1,181.0,8268,1973,6295,0.11564320932317351,0.17637053513018452,6,1316.109436881733,181.0,7,9,True,"{np.int64(0): np.int64(19), np.int64(1): np.int64(9), np.int64(2): np.int64(1), np.int64(3): np.int64(8), np.int64(4): np.int64(7), np.int64(5): np.int64(3), np.int64(6): np.int64(4)}","{(0, 2): [(np.int64(19), 11), (11, 5), (5, 2), (2, 0), (0, np.int64(1))], (1, 2): [(np.int64(9), 4), (4, np.int64(1))], (1, 6): [(np.int64(9), 4)], (2, 3): [(np.int64(1), 3), (3, np.int64(8))], (2, 5): [(np.int64(1), 3)], (2, 6): [(np.int64(1), 4)], (3, 5): [(np.int64(8), 3)], (3, 6): [(np.int64(8), 3), (3, 1), (1, np.int64(4))], (4, 5): [(np.int64(7), 3)]}","{(np.int64(0), np.int64(19)): {'cpu': 10}, (np.int64(1), np.int64(9)): {'cpu': 10}, (np.int64(2), np.int64(1)): {'cpu': 5}, (np.int64(3), np.int64(8)): {'cpu': 10}, (np.int64(4), np.int64(7)): {'cpu': 8}, (np.int64(5), np.int64(3)): {'cpu': 15}, (np.int64(6), np.int64(4)): {'cpu': 4}}","{((0, 2), (np.int64(19), 11)): {'bw': 22}, ((0, 2), (11, 5)): {'bw': 22}, ((0, 2), (5, 2)): {'bw': 22}, ((0, 2), (2, 0)): {'bw': 22}, ((0, 2), (0, np.int64(1))): {'bw': 22}, ((1, 2), (np.int64(9), 4)): {'bw': 37}, ((1, 2), (4, np.int64(1))): {'bw': 37}, ((1, 6), (np.int64(9), 4)): {'bw': 35}, ((2, 3), (np.int64(1), 3)): {'bw': 30}, ((2, 3), (3, np.int64(8))): {'bw': 30}, ((2, 5), (np.int64(1), 3)): {'bw': 7}, ((2, 6), (np.int64(1), 4)): {'bw': 24}, ((3, 5), (np.int64(8), 3)): {'bw': 24}, ((3, 6), (np.int64(8), 3)): {'bw': 47}, ((3, 6), (3, 1)): {'bw': 47}, ((3, 6), (1, np.int64(4))): {'bw': 47}, ((4, 5), (np.int64(7), 3)): {'bw': 15}}",552.0,303.0,930.0,62.0,241,62.0,241,62.0,490,249,0.5489130434782609,726492.4091587167,398781.1593751651,722.4296365492121,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -63}, np.int64(1): {'cpu': -90}, np.int64(2): {'cpu': -92}, np.int64(3): {'cpu': -61}, np.int64(4): {'cpu': -61}, np.int64(5): {'cpu': -32}, np.int64(6): {'cpu': -36}}, 'link_level': {(0, 2): {'bw': -47}, (1, 2): {'bw': -239}, (1, 6): {'bw': -204}, (2, 3): {'bw': -255}, (2, 5): {'bw': -248}, (2, 6): {'bw': -275}, (3, 5): {'bw': -311}, (3, 6): {'bw': -201}, (4, 5): {'bw': -373}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7,9
