solver_name,run_id,reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,seed,p_net_dataset_dir,v_nets_dataset_dir,start_run_time,clock_running_time
ga_meta,ga_meta_tree_seed_0,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.205,0.15270534956541099,0.5687343802860154,322.795387864257,41,0,0,0,5003.0,2844.0,1496156.6227508313,2630677.2978950506,0.5684589246452129,4635.0,0.6135922330097088,1.0793959007551241,8119,4264,3829,9,0.0,-inf,0.0,0,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251104T075651,38.72681498527527
ga_meta,ga_meta_tree_seed_1,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.235,0.17744696145907382,0.5608456114956268,346.0516520494141,47,0,0,0,5482.0,3235.0,1681811.0289601525,2998705.8728608172,0.5901130974097045,4860.0,0.6656378600823045,1.1279835390946502,7992,4272,3717,7,0.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251104T075732,39.517951011657715
ga_meta,ga_meta_tree_seed_2,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.22,0.16496211246237302,0.5562170435185652,336.91567809317274,44,0,0,0,5167.0,3107.0,1633030.2917176082,2935958.7426290396,0.6013160441261854,4847.0,0.6410150608623891,1.0660202186919745,8265,4580,3685,8,0.0,-inf,0.0,2,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251104T075814,38.82508587837219
ga_meta,ga_meta_tree_seed_3,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.255,0.18202874610214548,0.535951735004376,475.4304753447457,51,0,0,0,6541.0,3576.0,2222637.472236686,4147085.1329897055,0.546705396728329,4675.0,0.7649197860962567,1.399144385026738,8406,4459,3935,10,0.0,-inf,0.0,3,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251104T075856,38.209256172180176
ga_meta,ga_meta_tree_seed_4,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.2,0.14705902821208025,0.5105604190997938,284.36014940630014,40,0,0,0,4921.0,2792.0,1252037.7378359395,2452281.2403740548,0.5673643568380411,4403.0,0.63411310470134,1.1176470588235294,8734,4682,3935,6,0.0,-inf,0.0,4,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251104T075937,38.737574338912964
ga_meta,ga_meta_tree_seed_0,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.27,0.238418466860982,0.7412234167328892,583.3577408157932,54,0,0,0,6441.0,4911.0,2703863.1286812015,3647838.2463941756,0.7624592454587797,4635.0,1.059546925566343,1.3896440129449839,7664,4094,3570,10,0.0,-inf,0.0,0,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251104T081008,588.3678059577942
ga_meta,ga_meta_tree_seed_1,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.3,0.26413535535039195,0.7567231805063428,449.54933395305574,60,0,0,0,6514.0,4849.0,2184809.763011851,2887198.1449675416,0.7443966840650905,4860.0,0.9977366255144033,1.340329218106996,7809,4226,3557,8,0.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251104T082116,610.0017199516296
ga_meta,ga_meta_tree_seed_2,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.265,0.2403706711647364,0.7269865924800232,553.8360389350582,53,0,0,0,5573.0,4358.0,2684443.2807182274,3692562.2954896423,0.7819845684550512,4847.0,0.8991128533113266,1.149783371157417,7858,4494,3364,11,0.0,-inf,0.0,2,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251104T083129,623.2750101089478
ga_meta,ga_meta_tree_seed_3,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.35,0.31698522258544254,0.8366074484016015,668.6216425035814,70,0,0,0,7132.0,5681.0,3125806.178704243,3736287.7711360566,0.7965507571508693,4675.0,1.215187165775401,1.5255614973262033,8446,4324,4034,12,0.0,-inf,0.0,3,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251104T084155,605.2578690052032
ga_meta,ga_meta_tree_seed_4,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.23,0.20884453207150666,0.7583790732747459,369.1718436354854,46,0,0,0,4162.0,3397.0,1625463.6275270423,2143339.2412954527,0.816194137433926,4403.0,0.7715194185782421,0.9452645923234159,8746,4664,4082,7,0.0,-inf,0.0,4,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251104T085202,591.2499191761017
ga_meta,ga_meta_fat_tree_seed_0,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.605,0.26768450214091055,0.323922244472224,2459.2099981605006,121,0,0,0,71037.0,22974.0,11398438.34147392,35188810.08016516,0.323408927741881,4635.0,4.95663430420712,15.32621359223301,6543,377,5928,18,0.0,-inf,0.0,6.861434733867645,2.1412711143493652,19.322439193725586,3.2793097789814145,6.956048208819933,6.7165204241305965,0,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251116T100317,1372.8302340507507
ga_meta,ga_meta_fat_tree_seed_1,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.67,0.2971801175147001,0.3200583634321409,2183.643920303335,134,0,0,0,84139.0,26865.0,10612509.452674208,33158044.48560921,0.31929307455520034,4860.0,5.527777777777778,17.31255144032922,6218,497,5679,14,0.0,-inf,0.0,7.887640575170517,2.371368169784546,120.75808382034302,8.977172597733787,8.034168044132972,7.59014541091341,1,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251116T102613,1578.0866780281067
ga_meta,ga_meta_fat_tree_seed_2,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.585,0.26068883112444036,0.325814644114991,2372.6022887446566,117,0,0,0,71392.0,22649.0,11500003.29354535,35296152.27941262,0.31724843119677276,4847.0,4.672787291107902,14.729110790179492,6673,488,5916,18,0.0,-inf,0.0,8.30859016418457,2.5925991535186768,260.2563989162445,18.248670510821746,9.188145600832426,7.068734910114702,2,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251116T105234,1662.2537558078766
ga_meta,ga_meta_fat_tree_seed_3,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.615,0.29040494201477607,0.31977215956344185,2451.525177364559,123,0,0,0,70221.0,22779.0,11460880.204179313,35840769.31470799,0.3243901397017986,4675.0,4.872513368983957,15.02053475935829,6234,378,5804,18,0.0,-inf,0.0,7.3213431417942045,2.606214761734009,22.486928939819336,4.154588654746776,7.027253307947299,7.7911230062509516,3,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251116T112019,1464.959811925888
ga_meta,ga_meta_fat_tree_seed_4,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.565,0.2587217526540906,0.3339326087734809,2394.762348761899,113,0,0,0,63864.0,20852.0,10544138.62159864,31575648.333137564,0.3265063259426281,4403.0,4.735861912332501,14.504655916420623,7675,518,7096,14,0.0,-inf,0.0,38.942850579023364,2.0935161113739014,934.0627481937408,169.65157617710182,38.68507528938024,39.27766216212306,4,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251116T114447,7789.04531288147
ga_meta,ga_meta_high_load_seed_0,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.095,0.03183478556993169,0.29346619980915223,2070.3746727968482,19,0,0,0,21617.0,6824.0,3695618.790942374,12592996.376910593,0.31567747606050794,1785.0,3.82296918767507,12.110364145658263,4856,530,4318,6,0.0,-inf,0.0,17.011972138881685,2.0514979362487793,903.3250150680542,109.54099952189763,3.891587182095176,18.389250117770874,0,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_0,dataset/v_nets/200-[5-15]-random-500-0.08-cpu_[5-30]-bw_[10-70]-seed_0,20251119T233141,3402.761768102646
ga_meta,ga_meta_high_load_seed_1,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.065,0.02099460172038393,0.30202131664848547,1504.6709445951112,13,0,0,0,16502.0,4980.0,2947650.3804618227,9759742.832630964,0.3017816022300327,1959.0,2.5421133231240427,8.423685553854007,5065,704,4256,4,0.0,-inf,0.0,9.29462445616722,2.6524901390075684,904.2542479038239,63.60933711380469,5.645660547109751,9.54829574396266,1,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_1,dataset/v_nets/200-[5-15]-random-500-0.08-cpu_[5-30]-bw_[10-70]-seed_1,20251120T002826,1859.4343600273132
ga_meta,ga_meta_high_load_seed_2,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.065,0.020675539367180525,0.29576170942682584,1524.237257897595,13,0,0,0,17280.0,5053.0,3275585.867221932,11075084.308817001,0.2924189814814815,2149.0,2.3513261982317357,8.040949278734296,5345,804,4526,5,0.0,-inf,0.0,5.060422116518021,3.2504427433013916,11.126565217971802,1.212232854629283,6.45722770690918,4.963317984565694,2,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_2,dataset/v_nets/200-[5-15]-random-500-0.08-cpu_[5-30]-bw_[10-70]-seed_2,20251120T005930,1012.6098771095276
ga_meta,ga_meta_high_load_seed_3,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.115,0.038728090991595666,0.3056564802087139,2246.4830985430103,23,0,0,0,26964.0,8280.0,3043984.598525779,9958842.019142635,0.30707610146862485,1355.0,6.11070110701107,19.899630996309963,5153,626,4527,5,0.0,-inf,0.0,5.061376144886017,3.332426071166992,9.466413974761963,1.1699361602926832,6.040435314178467,4.93415376695536,3,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_3,dataset/v_nets/200-[5-15]-random-500-0.08-cpu_[5-30]-bw_[10-70]-seed_3,20251120T011626,1012.8121972084045
ga_meta,ga_meta_high_load_seed_4,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.065,0.020465852411808597,0.290872869213774,1395.0019807084368,13,0,0,0,18500.0,5316.0,3410779.842832128,11726015.740317846,0.28735135135135137,2445.0,2.1742331288343557,7.566462167689162,5840,751,5089,4,0.0,-inf,0.0,5.095614591836929,2.8624157905578613,11.30569076538086,1.1941416194088719,6.621797965123103,4.989516282464094,4,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_4,dataset/v_nets/200-[5-15]-random-500-0.08-cpu_[5-30]-bw_[10-70]-seed_4,20251120T013322,1019.6453740596771
