v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,32.0,5188,764,4424,0.0,0.0,0,379.4581106632087,32.0,7,12,False,"{0: np.int64(22), 1: np.int64(23), 2: np.int64(18), 3: np.int64(30), 4: np.int64(21), 5: np.int64(16), 6: np.int64(25)}","{(0, 1): [(np.int64(22), 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, 23)], (0, 4): [(np.int64(22), 14), (14, 6), (6, 13), (13, 21)], (0, 5): [(np.int64(22), 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 3), (3, 8), (8, 16)], (0, 6): [(np.int64(22), 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 9), (9, 25)], (1, 4): [(np.int64(23), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 21)], (1, 5): [(np.int64(23), 7), (7, 3), (3, 8), (8, 16)], (2, 3): []}","{(0, np.int64(22)): {'cpu': 14}, (1, np.int64(23)): {'cpu': 17}, (2, np.int64(18)): {'cpu': 20}, (3, np.int64(30)): {'cpu': 15}, (4, np.int64(21)): {'cpu': 3}, (5, np.int64(16)): {'cpu': 9}, (6, np.int64(25)): {'cpu': 14}}","{((0, 1), (np.int64(22), 14)): {'bw': 20}, ((0, 1), (14, 6)): {'bw': 20}, ((0, 1), (6, 2)): {'bw': 20}, ((0, 1), (2, 0)): {'bw': 20}, ((0, 1), (0, 1)): {'bw': 20}, ((0, 1), (1, 3)): {'bw': 20}, ((0, 1), (3, 7)): {'bw': 20}, ((0, 1), (7, 23)): {'bw': 20}, ((0, 4), (np.int64(22), 14)): {'bw': 2}, ((0, 4), (14, 6)): {'bw': 2}, ((0, 4), (6, 13)): {'bw': 2}, ((0, 4), (13, 21)): {'bw': 2}, ((0, 5), (np.int64(22), 14)): {'bw': 30}, ((0, 5), (14, 6)): {'bw': 30}, ((0, 5), (6, 2)): {'bw': 30}, ((0, 5), (2, 0)): {'bw': 30}, ((0, 5), (0, 1)): {'bw': 30}, ((0, 5), (1, 3)): {'bw': 30}, ((0, 5), (3, 8)): {'bw': 30}, ((0, 5), (8, 16)): {'bw': 30}, ((0, 6), (np.int64(22), 14)): {'bw': 12}, ((0, 6), (14, 6)): {'bw': 12}, ((0, 6), (6, 2)): {'bw': 12}, ((0, 6), (2, 0)): {'bw': 12}, ((0, 6), (0, 1)): {'bw': 12}, ((0, 6), (1, 4)): {'bw': 12}, ((0, 6), (4, 9)): {'bw': 12}, ((0, 6), (9, 25)): {'bw': 12}, ((1, 4), (np.int64(23), 7)): {'bw': 25}, ((1, 4), (7, 3)): {'bw': 25}, ((1, 4), (3, 1)): {'bw': 25}, ((1, 4), (1, 0)): {'bw': 25}, ((1, 4), (0, 2)): {'bw': 25}, ((1, 4), (2, 6)): {'bw': 25}, ((1, 4), (6, 13)): {'bw': 25}, ((1, 4), (13, 21)): {'bw': 25}, ((1, 5), (np.int64(23), 7)): {'bw': 0}, ((1, 5), (7, 3)): {'bw': 0}, ((1, 5), (3, 8)): {'bw': 0}, ((1, 5), (8, 16)): {'bw': 0}}",0.0,0.0,184.0,92.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -36}, 1: {'cpu': -24}, 2: {'cpu': -30}, 3: {'cpu': -19}, 4: {'cpu': -45}, 5: {'cpu': -46}, 6: {'cpu': -26}}, 'link_level': {(0, 1): {'bw': -80}, (0, 4): {'bw': -78}, (0, 5): {'bw': -48}, (0, 6): {'bw': -36}, (1, 4): {'bw': -26}, (1, 5): {'bw': -64}, (2, 3): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 4): {}, (1, 5): {}, (2, 3): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (2, 3): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 4): {}, (1, 5): {}, (2, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,0.5850419998168945,7.0,7.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,58.0,5188,764,4424,0.0,0.0,1,57.894051446014565,58.0,10,24,False,"{0: np.int64(16), 1: np.int64(30), 2: np.int64(22), 3: np.int64(26), 4: np.int64(24), 5: np.int64(29), 6: np.int64(23), 7: np.int64(18), 8: np.int64(20), 9: np.int64(28)}","{(0, 3): [(np.int64(16), 8), (8, 3), (3, 1), (1, 4), (4, 10), (10, 26)], (0, 4): [(np.int64(16), 8), (8, 24)], (0, 5): []}","{(0, np.int64(16)): {'cpu': 19}, (1, np.int64(30)): {'cpu': 11}, (2, np.int64(22)): {'cpu': 9}, (3, np.int64(26)): {'cpu': 15}, (4, np.int64(24)): {'cpu': 13}, (5, np.int64(29)): {'cpu': 8}, (6, np.int64(23)): {'cpu': 6}, (7, np.int64(18)): {'cpu': 15}, (8, np.int64(20)): {'cpu': 9}, (9, np.int64(28)): {'cpu': 14}}","{((0, 3), (np.int64(16), 8)): {'bw': 50}, ((0, 3), (8, 3)): {'bw': 50}, ((0, 3), (3, 1)): {'bw': 50}, ((0, 3), (1, 4)): {'bw': 50}, ((0, 3), (4, 10)): {'bw': 50}, ((0, 3), (10, 26)): {'bw': 50}, ((0, 4), (np.int64(16), 8)): {'bw': 33}, ((0, 4), (8, 24)): {'bw': 33}}",0.0,0.0,238.0,119.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -36}, 1: {'cpu': -23}, 2: {'cpu': -41}, 3: {'cpu': -43}, 4: {'cpu': -45}, 5: {'cpu': -40}, 6: {'cpu': -35}, 7: {'cpu': -35}, 8: {'cpu': -26}, 9: {'cpu': -30}}, 'link_level': {(0, 3): {'bw': -57}, (0, 4): {'bw': -25}, (0, 5): {'bw': 100.0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 5): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 100.0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 5): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,1.063910961151123,10.0,3.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,80.0,5188,764,4424,0.0,0.0,2,78.93121508861901,80.0,7,7,False,"{0: np.int64(30), 1: np.int64(27), 2: np.int64(23), 3: np.int64(29), 4: np.int64(16), 5: np.int64(26), 6: np.int64(28)}","{(0, 4): [(np.int64(30), 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 3), (3, 8), (8, 16)], (0, 5): [(np.int64(30), 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 10), (10, 26)], (0, 6): [(np.int64(30), 14), (14, 6), (6, 2), (2, 5), (5, 12), (12, 28)], (1, 2): [(np.int64(27), 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, 23)], (1, 6): [(np.int64(27), 11), (11, 5), (5, 12), (12, 28)], (2, 3): [(np.int64(23), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 29)], (3, 6): []}","{(0, np.int64(30)): {'cpu': 19}, (1, np.int64(27)): {'cpu': 9}, (2, np.int64(23)): {'cpu': 19}, (3, np.int64(29)): {'cpu': 18}, (4, np.int64(16)): {'cpu': 20}, (5, np.int64(26)): {'cpu': 14}, (6, np.int64(28)): {'cpu': 6}}","{((0, 4), (np.int64(30), 14)): {'bw': 27}, ((0, 4), (14, 6)): {'bw': 27}, ((0, 4), (6, 2)): {'bw': 27}, ((0, 4), (2, 0)): {'bw': 27}, ((0, 4), (0, 1)): {'bw': 27}, ((0, 4), (1, 3)): {'bw': 27}, ((0, 4), (3, 8)): {'bw': 27}, ((0, 4), (8, 16)): {'bw': 27}, ((0, 5), (np.int64(30), 14)): {'bw': 23}, ((0, 5), (14, 6)): {'bw': 23}, ((0, 5), (6, 2)): {'bw': 23}, ((0, 5), (2, 0)): {'bw': 23}, ((0, 5), (0, 1)): {'bw': 23}, ((0, 5), (1, 4)): {'bw': 23}, ((0, 5), (4, 10)): {'bw': 23}, ((0, 5), (10, 26)): {'bw': 23}, ((0, 6), (np.int64(30), 14)): {'bw': 5}, ((0, 6), (14, 6)): {'bw': 5}, ((0, 6), (6, 2)): {'bw': 5}, ((0, 6), (2, 5)): {'bw': 5}, ((0, 6), (5, 12)): {'bw': 5}, ((0, 6), (12, 28)): {'bw': 5}, ((1, 2), (np.int64(27), 11)): {'bw': 4}, ((1, 2), (11, 5)): {'bw': 4}, ((1, 2), (5, 2)): {'bw': 4}, ((1, 2), (2, 0)): {'bw': 4}, ((1, 2), (0, 1)): {'bw': 4}, ((1, 2), (1, 3)): {'bw': 4}, ((1, 2), (3, 7)): {'bw': 4}, ((1, 2), (7, 23)): {'bw': 4}, ((1, 6), (np.int64(27), 11)): {'bw': 23}, ((1, 6), (11, 5)): {'bw': 23}, ((1, 6), (5, 12)): {'bw': 23}, ((1, 6), (12, 28)): {'bw': 23}, ((2, 3), (np.int64(23), 7)): {'bw': 46}, ((2, 3), (7, 3)): {'bw': 46}, ((2, 3), (3, 1)): {'bw': 46}, ((2, 3), (1, 0)): {'bw': 46}, ((2, 3), (0, 2)): {'bw': 46}, ((2, 3), (2, 6)): {'bw': 46}, ((2, 3), (6, 13)): {'bw': 46}, ((2, 3), (13, 29)): {'bw': 46}}",0.0,0.0,210.0,105.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -15}, 1: {'cpu': -50}, 2: {'cpu': -22}, 3: {'cpu': -30}, 4: {'cpu': -35}, 5: {'cpu': -44}, 6: {'cpu': -38}}, 'link_level': {(0, 4): {'bw': -73}, (0, 5): {'bw': -50}, (0, 6): {'bw': -45}, (1, 2): {'bw': -99}, (1, 6): {'bw': -76}, (2, 3): {'bw': -12}, (3, 6): {'bw': 100.0}}, 'path_level': {(0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (3, 6): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (3, 6): {'bw': 100.0}}, 'path_level': {(0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (3, 6): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,0.5950970649719238,7.0,7.0
4,1,1,57.0,183.0,20260.107829513832,65045.60934738651,0.3114754098360656,0.3114754098360656,2,3,1,110.0,5005,749,4256,0.01963350785340312,0.03797468354430378,3,355.44048823708476,110.0,2,1,True,"{0: np.int64(27), 1: np.int64(20)}","{(0, 1): [(np.int64(27), 11), (11, 5), (5, 12), (12, 20)]}","{(0, np.int64(27)): {'cpu': 2}, (1, np.int64(20)): {'cpu': 13}}","{((0, 1), (np.int64(27), 11)): {'bw': 42}, ((0, 1), (11, 5)): {'bw': 42}, ((0, 1), (5, 12)): {'bw': 42}, ((0, 1), (12, 20)): {'bw': 42}}",183.0,57.0,30.0,15.0,42.0,15.0,42.0,15.0,168.0,126.0,0.3114754098360656,65045.60934738651,20260.107829513832,110.71097174597723,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -57}, 1: {'cpu': -22}}, 'link_level': {(0, 1): {'bw': -61}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.057424306869506836,2.0,1.0
4,1,1,57.0,183.0,20260.107829513832,65045.60934738651,0.3114754098360656,0.3114754098360656,2,4,0,115.89405144601457,5005,749,4256,0.01963350785340312,0.03797468354430378,1,57.894051446014565,58.0,10,24,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
5,2,2,120.0,471.0,27911.46689566891,100023.25079266686,0.25477707006369427,0.2790497876691208,4,5,1,135.0,4717,731,3986,0.04319371727748689,0.09900542495479203,4,121.45014390722343,135.0,2,1,True,"{0: np.int64(22), 1: np.int64(19)}","{(0, 1): [(np.int64(22), 14), (14, 6), (6, 2), (2, 5), (5, 11), (11, 19)]}","{(0, np.int64(22)): {'cpu': 17}, (1, np.int64(19)): {'cpu': 1}}","{((0, 1), (np.int64(22), 14)): {'bw': 45}, ((0, 1), (14, 6)): {'bw': 45}, ((0, 1), (6, 2)): {'bw': 45}, ((0, 1), (2, 5)): {'bw': 45}, ((0, 1), (5, 11)): {'bw': 45}, ((0, 1), (11, 19)): {'bw': 45}}",288.0,63.0,36.0,18.0,45.0,18.0,45.0,18.0,270.0,225.0,0.21875,34977.64144528035,7651.359066155076,26.567218979705125,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -33}, 1: {'cpu': -59}}, 'link_level': {(0, 1): {'bw': -35}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.05979514122009277,2.0,1.0
5,2,2,120.0,471.0,27911.46689566891,100023.25079266686,0.25477707006369427,0.2790497876691208,4,6,0,158.931215088619,4717,731,3986,0.04319371727748689,0.09900542495479203,2,78.93121508861901,80.0,7,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
6,3,3,207.0,806.0,135888.67459988734,515797.5563204045,0.25682382133995035,0.26345350600202466,7,7,1,161.0,4382,698,3684,0.08638743455497377,0.1672694394213382,5,1241.1173299335453,161.0,3,2,True,"{0: np.int64(28), 1: np.int64(30), 2: np.int64(21)}","{(0, 2): [(np.int64(28), 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, 21)], (1, 2): [(np.int64(30), 14), (14, 6), (6, 13), (13, 21)]}","{(0, np.int64(28)): {'cpu': 15}, (1, np.int64(30)): {'cpu': 17}, (2, np.int64(21)): {'cpu': 1}}","{((0, 2), (np.int64(28), 12)): {'bw': 43}, ((0, 2), (12, 5)): {'bw': 43}, ((0, 2), (5, 2)): {'bw': 43}, ((0, 2), (2, 6)): {'bw': 43}, ((0, 2), (6, 13)): {'bw': 43}, ((0, 2), (13, 21)): {'bw': 43}, ((1, 2), (np.int64(30), 14)): {'bw': 11}, ((1, 2), (14, 6)): {'bw': 11}, ((1, 2), (6, 13)): {'bw': 11}, ((1, 2), (13, 21)): {'bw': 11}}",335.0,87.0,66.0,33.0,54.0,33.0,54.0,33.0,302.0,248.0,0.25970149253731345,415774.30552773766,107977.20770421844,322.320022997667,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -29}, 1: {'cpu': -17}, 2: {'cpu': -47}}, 'link_level': {(0, 2): {'bw': -25}, (1, 2): {'bw': -44}}, 'path_level': {(0, 2): {}, (1, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.18935298919677734,3.0,2.0
7,3,3,207.0,806.0,135888.67459988734,515797.5563204045,0.25682382133995035,0.26345350600202466,7,8,1,186.0,4382,698,3684,0.08638743455497377,0.1672694394213382,6,310.0901200761372,186.0,9,19,False,"{0: np.int64(21), 1: np.int64(30), 2: np.int64(20), 3: np.int64(17), 4: np.int64(24), 5: np.int64(15), 6: np.int64(19), 7: np.int64(23), 8: np.int64(29)}","{(0, 3): []}","{(0, np.int64(21)): {'cpu': 2}, (1, np.int64(30)): {'cpu': 2}, (2, np.int64(20)): {'cpu': 0}, (3, np.int64(17)): {'cpu': 19}, (4, np.int64(24)): {'cpu': 19}, (5, np.int64(15)): {'cpu': 20}, (6, np.int64(19)): {'cpu': 7}, (7, np.int64(23)): {'cpu': 3}, (8, np.int64(29)): {'cpu': 15}}",{},0.0,0.0,174.0,87.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -45}, 1: {'cpu': -15}, 2: {'cpu': -22}, 3: {'cpu': -29}, 4: {'cpu': -39}, 5: {'cpu': -16}, 6: {'cpu': -52}, 7: {'cpu': -38}, 8: {'cpu': -33}}, 'link_level': {(0, 3): {'bw': 100.0}}, 'path_level': {(0, 3): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 100.0}}, 'path_level': {(0, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,0.8799319267272949,9.0,1.0
8,3,3,207.0,806.0,135888.67459988734,515797.5563204045,0.25682382133995035,0.26345350600202466,7,9,1,207.0,4382,698,3684,0.08638743455497377,0.1672694394213382,7,70.93576580993681,207.0,8,16,False,"{0: np.int64(26), 1: np.int64(18), 2: np.int64(16), 3: np.int64(22), 4: np.int64(28), 5: np.int64(29), 6: np.int64(21), 7: np.int64(15)}","{(0, 1): [(np.int64(26), 10), (10, 18)], (0, 2): [(np.int64(26), 10), (10, 4), (4, 1), (1, 3), (3, 8), (8, 16)], (0, 3): [(np.int64(26), 10), (10, 4), (4, 1), (1, 0), (0, 2), (2, 6), (6, 14), (14, 22)], (0, 4): [(np.int64(26), 10), (10, 4), (4, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, 28)], (0, 5): []}","{(0, np.int64(26)): {'cpu': 18}, (1, np.int64(18)): {'cpu': 13}, (2, np.int64(16)): {'cpu': 1}, (3, np.int64(22)): {'cpu': 20}, (4, np.int64(28)): {'cpu': 6}, (5, np.int64(29)): {'cpu': 20}, (6, np.int64(21)): {'cpu': 1}, (7, np.int64(15)): {'cpu': 19}}","{((0, 1), (np.int64(26), 10)): {'bw': 46}, ((0, 1), (10, 18)): {'bw': 46}, ((0, 2), (np.int64(26), 10)): {'bw': 30}, ((0, 2), (10, 4)): {'bw': 30}, ((0, 2), (4, 1)): {'bw': 30}, ((0, 2), (1, 3)): {'bw': 30}, ((0, 2), (3, 8)): {'bw': 30}, ((0, 2), (8, 16)): {'bw': 30}, ((0, 3), (np.int64(26), 10)): {'bw': 0}, ((0, 3), (10, 4)): {'bw': 0}, ((0, 3), (4, 1)): {'bw': 0}, ((0, 3), (1, 0)): {'bw': 0}, ((0, 3), (0, 2)): {'bw': 0}, ((0, 3), (2, 6)): {'bw': 0}, ((0, 3), (6, 14)): {'bw': 0}, ((0, 3), (14, 22)): {'bw': 0}, ((0, 4), (np.int64(26), 10)): {'bw': 14}, ((0, 4), (10, 4)): {'bw': 14}, ((0, 4), (4, 1)): {'bw': 14}, ((0, 4), (1, 0)): {'bw': 14}, ((0, 4), (0, 2)): {'bw': 14}, ((0, 4), (2, 5)): {'bw': 14}, ((0, 4), (5, 12)): {'bw': 14}, ((0, 4), (12, 28)): {'bw': 14}}",0.0,0.0,196.0,98.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -40}, 1: {'cpu': -37}, 2: {'cpu': -54}, 3: {'cpu': -13}, 4: {'cpu': -23}, 5: {'cpu': -28}, 6: {'cpu': -46}, 7: {'cpu': -17}}, 'link_level': {(0, 1): {'bw': -84}, (0, 2): {'bw': -54}, (0, 3): {'bw': -25}, (0, 4): {'bw': -40}, (0, 5): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (0, 4): {}, (0, 5): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (0, 4): {}, (0, 5): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,0.729356050491333,8.0,5.0
