v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,28.0,14823.0,1148,13675.0,0.0,0.0,0,731.6008897329142,28.0,13,42,False,{},{},{},{},0.0,0.0,584.0,292.0,2296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.151533126831055,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,47.0,14823.0,1148,13675.0,0.0,0.0,1,189.07835530678128,47.0,19,82,False,{},{},{},{},0.0,0.0,1040.0,520.0,5285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,8.324245929718018,0.0,0.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,69.0,14823.0,1148,13675.0,0.0,0.0,2,504.69990354793924,69.0,20,95,False,{},{},{},{},0.0,0.0,1022.0,511.0,5519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.299209117889404,0.0,0.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,99.0,14823.0,1148,13675.0,0.0,0.0,3,113.57785565407451,99.0,16,51,False,{},{},{},{},0.0,0.0,798.0,399.0,3181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.555214643478394,0.0,0.0
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,119.0,14823.0,1148,13675.0,0.0,0.0,4,712.9627753946261,119.0,17,68,False,{},{},{},{},0.0,0.0,858.0,429.0,4126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,6.6095380783081055,0.0,0.0
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,138.0,14823.0,1148,13675.0,0.0,0.0,5,107.73581504714684,138.0,19,74,False,{},{},{},{},0.0,0.0,960.0,480.0,4226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.119427919387817,0.0,0.0
7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,166.0,14823.0,1148,13675.0,0.0,0.0,6,340.6860681398302,166.0,13,36,False,{},{},{},{},0.0,0.0,744.0,372.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.011361837387085,0.0,0.0
8,1,1,971.0,3545.0,256005.21417505218,934643.1351705046,0.27390691114245413,0.2739069111424542,8,7,1,189.0,11278.0,927,10351.0,0.19250871080139376,0.24307129798903104,7,263.6510959578292,189.0,8,12,True,"{4: 8, 0: 9, 3: 10, 2: 11, 6: 32, 5: 33, 7: 34, 1: 35}","{(0, 5): [(2, 29), (5, 2), (6, 5), (9, 6), (29, 30), (30, 33)], (1, 2): [(0, 4), (4, 7), (7, 11), (28, 0), (31, 28), (35, 31)], (1, 4): [(0, 4), (4, 6), (6, 8), (28, 0), (31, 28), (35, 31)], (1, 6): [(28, 30), (30, 32), (31, 28), (35, 31)], (1, 7): [(31, 34), (35, 31)], (2, 3): [(7, 10), (11, 7)], (2, 4): [(4, 6), (6, 8), (7, 4), (11, 7)], (3, 5): [(0, 28), (4, 0), (7, 4), (10, 7), (28, 30), (30, 33)], (3, 6): [(0, 28), (4, 0), (7, 4), (10, 7), (28, 30), (30, 32)], (4, 5): [(2, 29), (5, 2), (6, 5), (8, 6), (29, 30), (30, 33)], (5, 6): [(30, 32), (33, 30)], (6, 7): [(28, 31), (30, 28), (31, 34), (32, 30)]}","{(4, 8): {'cpu': 24}, (0, 9): {'cpu': 26}, (3, 10): {'cpu': 38}, (2, 11): {'cpu': 20}, (6, 32): {'cpu': 36}, (5, 33): {'cpu': 25}, (7, 34): {'cpu': 15}, (1, 35): {'cpu': 37}}","{((0, 5), (2, 29)): {'bw': 44.0}, ((0, 5), (5, 2)): {'bw': 44.0}, ((0, 5), (6, 5)): {'bw': 44.0}, ((0, 5), (9, 6)): {'bw': 44.0}, ((0, 5), (29, 30)): {'bw': 44.0}, ((0, 5), (30, 33)): {'bw': 44.0}, ((1, 2), (0, 4)): {'bw': 76.0}, ((1, 2), (4, 7)): {'bw': 76.0}, ((1, 2), (7, 11)): {'bw': 76.0}, ((1, 2), (28, 0)): {'bw': 76.0}, ((1, 2), (31, 28)): {'bw': 76.0}, ((1, 2), (35, 31)): {'bw': 76.0}, ((1, 4), (0, 4)): {'bw': 60.0}, ((1, 4), (4, 6)): {'bw': 60.0}, ((1, 4), (6, 8)): {'bw': 60.0}, ((1, 4), (28, 0)): {'bw': 60.0}, ((1, 4), (31, 28)): {'bw': 60.0}, ((1, 4), (35, 31)): {'bw': 60.0}, ((1, 6), (28, 30)): {'bw': 72.0}, ((1, 6), (30, 32)): {'bw': 72.0}, ((1, 6), (31, 28)): {'bw': 72.0}, ((1, 6), (35, 31)): {'bw': 72.0}, ((1, 7), (31, 34)): {'bw': 58.0}, ((1, 7), (35, 31)): {'bw': 58.0}, ((2, 3), (7, 10)): {'bw': 39.0}, ((2, 3), (11, 7)): {'bw': 39.0}, ((2, 4), (4, 6)): {'bw': 64.0}, ((2, 4), (6, 8)): {'bw': 64.0}, ((2, 4), (7, 4)): {'bw': 64.0}, ((2, 4), (11, 7)): {'bw': 64.0}, ((3, 5), (0, 28)): {'bw': 40.0}, ((3, 5), (4, 0)): {'bw': 40.0}, ((3, 5), (7, 4)): {'bw': 40.0}, ((3, 5), (10, 7)): {'bw': 40.0}, ((3, 5), (28, 30)): {'bw': 40.0}, ((3, 5), (30, 33)): {'bw': 40.0}, ((3, 6), (0, 28)): {'bw': 83.0}, ((3, 6), (4, 0)): {'bw': 83.0}, ((3, 6), (7, 4)): {'bw': 83.0}, ((3, 6), (10, 7)): {'bw': 83.0}, ((3, 6), (28, 30)): {'bw': 83.0}, ((3, 6), (30, 32)): {'bw': 83.0}, ((4, 5), (2, 29)): {'bw': 41.0}, ((4, 5), (5, 2)): {'bw': 41.0}, ((4, 5), (6, 5)): {'bw': 41.0}, ((4, 5), (8, 6)): {'bw': 41.0}, ((4, 5), (29, 30)): {'bw': 41.0}, ((4, 5), (30, 33)): {'bw': 41.0}, ((5, 6), (30, 32)): {'bw': 85.0}, ((5, 6), (33, 30)): {'bw': 85.0}, ((6, 7), (28, 31)): {'bw': 88.0}, ((6, 7), (30, 28)): {'bw': 88.0}, ((6, 7), (31, 34)): {'bw': 88.0}, ((6, 7), (32, 30)): {'bw': 88.0}}",3545.0,971.0,442.0,221.0,750.0,221.0,750.0,221.0,3324.0,2574.0,0.27390691114245413,934643.1351705046,256005.21417505218,72.21585731313178,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.345618724822998,8.0,12.0
9,2,2,2067.0,7534.0,4017143.614087662,14623676.964779448,0.27435625165914523,0.27470133700045446,15,8,1,212.0,7289.0,690,6599.0,0.39895470383275267,0.5174405850091408,8,3431.695620358221,212.0,8,13,True,"{4: 9, 7: 16, 2: 18, 5: 19, 6: 24, 1: 25, 3: 26, 0: 27}","{(0, 1): [(20, 22), (22, 25), (23, 20), (27, 23)], (0, 3): [(23, 26), (27, 23)], (0, 5): [(0, 12), (12, 15), (15, 19), (20, 0), (23, 20), (27, 23)], (1, 2): [(0, 12), (12, 15), (15, 18), (20, 0), (22, 20), (25, 22)], (1, 3): [(20, 23), (22, 20), (23, 26), (25, 22)], (1, 6): [(22, 24), (25, 22)], (2, 3): [(2, 21), (13, 2), (15, 13), (18, 15), (21, 23), (23, 26)], (2, 4): [(0, 4), (2, 5), (4, 6), (5, 6), (6, 9), (12, 0), (13, 2), (15, 12), (15, 13), (18, 15)], (2, 5): [(15, 19), (18, 15)], (3, 6): [(21, 22), (22, 24), (23, 21), (26, 23)], (4, 5): [(0, 12), (4, 0), (6, 4), (9, 6), (12, 15), (15, 19)], (5, 6): [(2, 21), (13, 2), (15, 13), (19, 15), (21, 22), (22, 24)], (5, 7): [(13, 14), (14, 16), (15, 13), (19, 15)]}","{(4, 9): {'cpu': 26}, (7, 16): {'cpu': 37}, (2, 18): {'cpu': 28}, (5, 19): {'cpu': 39}, (6, 24): {'cpu': 24}, (1, 25): {'cpu': 31}, (3, 26): {'cpu': 14}, (0, 27): {'cpu': 38}}","{((0, 1), (20, 22)): {'bw': 76.0}, ((0, 1), (22, 25)): {'bw': 76.0}, ((0, 1), (23, 20)): {'bw': 76.0}, ((0, 1), (27, 23)): {'bw': 76.0}, ((0, 3), (23, 26)): {'bw': 64.0}, ((0, 3), (27, 23)): {'bw': 64.0}, ((0, 5), (0, 12)): {'bw': 55.0}, ((0, 5), (12, 15)): {'bw': 55.0}, ((0, 5), (15, 19)): {'bw': 55.0}, ((0, 5), (20, 0)): {'bw': 55.0}, ((0, 5), (23, 20)): {'bw': 55.0}, ((0, 5), (27, 23)): {'bw': 55.0}, ((1, 2), (0, 12)): {'bw': 59.0}, ((1, 2), (12, 15)): {'bw': 59.0}, ((1, 2), (15, 18)): {'bw': 59.0}, ((1, 2), (20, 0)): {'bw': 59.0}, ((1, 2), (22, 20)): {'bw': 59.0}, ((1, 2), (25, 22)): {'bw': 59.0}, ((1, 3), (20, 23)): {'bw': 81.0}, ((1, 3), (22, 20)): {'bw': 81.0}, ((1, 3), (23, 26)): {'bw': 81.0}, ((1, 3), (25, 22)): {'bw': 81.0}, ((1, 6), (22, 24)): {'bw': 52.0}, ((1, 6), (25, 22)): {'bw': 52.0}, ((2, 3), (2, 21)): {'bw': 87.0}, ((2, 3), (13, 2)): {'bw': 87.0}, ((2, 3), (15, 13)): {'bw': 87.0}, ((2, 3), (18, 15)): {'bw': 87.0}, ((2, 3), (21, 23)): {'bw': 87.0}, ((2, 3), (23, 26)): {'bw': 87.0}, ((2, 4), (0, 4)): {'bw': 41.0}, ((2, 4), (2, 5)): {'bw': 32.0}, ((2, 4), (4, 6)): {'bw': 41.0}, ((2, 4), (5, 6)): {'bw': 32.0}, ((2, 4), (6, 9)): {'bw': 73.0}, ((2, 4), (12, 0)): {'bw': 41.0}, ((2, 4), (13, 2)): {'bw': 32.0}, ((2, 4), (15, 12)): {'bw': 41.0}, ((2, 4), (15, 13)): {'bw': 32.0}, ((2, 4), (18, 15)): {'bw': 73.0}, ((2, 5), (15, 19)): {'bw': 82.0}, ((2, 5), (18, 15)): {'bw': 82.0}, ((3, 6), (21, 22)): {'bw': 95.0}, ((3, 6), (22, 24)): {'bw': 95.0}, ((3, 6), (23, 21)): {'bw': 95.0}, ((3, 6), (26, 23)): {'bw': 95.0}, ((4, 5), (0, 12)): {'bw': 28.0}, ((4, 5), (4, 0)): {'bw': 28.0}, ((4, 5), (6, 4)): {'bw': 28.0}, ((4, 5), (9, 6)): {'bw': 28.0}, ((4, 5), (12, 15)): {'bw': 28.0}, ((4, 5), (15, 19)): {'bw': 28.0}, ((5, 6), (2, 21)): {'bw': 54.0}, ((5, 6), (13, 2)): {'bw': 54.0}, ((5, 6), (15, 13)): {'bw': 54.0}, ((5, 6), (19, 15)): {'bw': 54.0}, ((5, 6), (21, 22)): {'bw': 54.0}, ((5, 6), (22, 24)): {'bw': 54.0}, ((5, 7), (13, 14)): {'bw': 53.0}, ((5, 7), (14, 16)): {'bw': 53.0}, ((5, 7), (15, 13)): {'bw': 53.0}, ((5, 7), (19, 15)): {'bw': 53.0}}",3989.0,1096.0,474.0,237.0,859.0,237.0,859.0,237.0,3752.0,2893.0,0.2747555778390574,13689033.829608943,3761138.39991261,942.8775131392855,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.389830112457275,8.0,13.0
9,2,2,2067.0,7534.0,4017143.614087662,14623676.964779448,0.27435625165914523,0.27470133700045446,15,9,0,212.5778556540745,7289.0,690,6599.0,0.39895470383275267,0.5174405850091408,3,113.57785565407451,99.0,16,51,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
