v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,1,1,322.0,1030.0,122185.5116335532,390841.8539831049,0.312621359223301,0.312621359223301,7,0,1,32.0,4158.0,672,3486.0,0.12041884816753923,0.21202531645569622,0,379.4581106632087,32.0,7,12,True,"{1: 15, 0: 16, 2: 17, 3: 18, 4: 23, 5: 25, 6: 26}","{(0, 1): [(3, 7), (7, 15), (8, 3), (16, 8)], (0, 4): [(3, 7), (7, 23), (8, 3), (16, 8)], (0, 5): [(1, 4), (3, 1), (4, 9), (8, 3), (9, 25), (16, 8)], (0, 6): [(1, 4), (3, 1), (4, 10), (8, 3), (10, 26), (16, 8)], (1, 4): [(7, 23), (15, 7)], (1, 5): [], (2, 3): [(4, 10), (9, 4), (10, 18), (17, 9)], (2, 5): [(9, 25), (17, 9)], (2, 6): [(4, 10), (9, 4), (10, 26), (17, 9)], (3, 5): [(4, 9), (9, 25), (10, 4), (18, 10)], (4, 6): [(1, 4), (3, 1), (4, 10), (7, 3), (10, 26), (23, 7)], (5, 6): [(4, 10), (9, 4), (10, 26), (25, 9)]}","{(1, 15): {'cpu': 17}, (0, 16): {'cpu': 14}, (2, 17): {'cpu': 20}, (3, 18): {'cpu': 15}, (4, 23): {'cpu': 3}, (5, 25): {'cpu': 9}, (6, 26): {'cpu': 14}}","{((0, 1), (3, 7)): {'bw': 20.0}, ((0, 1), (7, 15)): {'bw': 20.0}, ((0, 1), (8, 3)): {'bw': 20.0}, ((0, 1), (16, 8)): {'bw': 20.0}, ((0, 4), (3, 7)): {'bw': 2.0}, ((0, 4), (7, 23)): {'bw': 2.0}, ((0, 4), (8, 3)): {'bw': 2.0}, ((0, 4), (16, 8)): {'bw': 2.0}, ((0, 5), (1, 4)): {'bw': 30.0}, ((0, 5), (3, 1)): {'bw': 30.0}, ((0, 5), (4, 9)): {'bw': 30.0}, ((0, 5), (8, 3)): {'bw': 30.0}, ((0, 5), (9, 25)): {'bw': 30.0}, ((0, 5), (16, 8)): {'bw': 30.0}, ((0, 6), (1, 4)): {'bw': 12.0}, ((0, 6), (3, 1)): {'bw': 12.0}, ((0, 6), (4, 10)): {'bw': 12.0}, ((0, 6), (8, 3)): {'bw': 12.0}, ((0, 6), (10, 26)): {'bw': 12.0}, ((0, 6), (16, 8)): {'bw': 12.0}, ((1, 4), (7, 23)): {'bw': 25.0}, ((1, 4), (15, 7)): {'bw': 25.0}, ((2, 3), (4, 10)): {'bw': 33.0}, ((2, 3), (9, 4)): {'bw': 33.0}, ((2, 3), (10, 18)): {'bw': 33.0}, ((2, 3), (17, 9)): {'bw': 33.0}, ((2, 5), (9, 25)): {'bw': 34.0}, ((2, 5), (17, 9)): {'bw': 34.0}, ((2, 6), (4, 10)): {'bw': 13.0}, ((2, 6), (9, 4)): {'bw': 13.0}, ((2, 6), (10, 26)): {'bw': 13.0}, ((2, 6), (17, 9)): {'bw': 13.0}, ((3, 5), (4, 9)): {'bw': 11.0}, ((3, 5), (9, 25)): {'bw': 11.0}, ((3, 5), (10, 4)): {'bw': 11.0}, ((3, 5), (18, 10)): {'bw': 11.0}, ((4, 6), (1, 4)): {'bw': 26.0}, ((4, 6), (3, 1)): {'bw': 26.0}, ((4, 6), (4, 10)): {'bw': 26.0}, ((4, 6), (7, 3)): {'bw': 26.0}, ((4, 6), (10, 26)): {'bw': 26.0}, ((4, 6), (23, 7)): {'bw': 26.0}, ((5, 6), (4, 10)): {'bw': 24.0}, ((5, 6), (9, 4)): {'bw': 24.0}, ((5, 6), (10, 26)): {'bw': 24.0}, ((5, 6), (25, 9)): {'bw': 24.0}}",1030.0,322.0,184.0,92.0,230.0,92.0,230.0,92.0,938.0,708.0,0.312621359223301,390841.8539831049,122185.5116335532,118.62671032383805,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.209305047988892,7.0,12.0
2,1,1,322.0,1030.0,122185.5116335532,390841.8539831049,0.312621359223301,0.312621359223301,7,1,1,58.0,4158.0,672,3486.0,0.12041884816753923,0.21202531645569622,1,57.894051446014565,58.0,10,24,False,{},{},{},{},0.0,0.0,238.0,119.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.505254745483398,0.0,0.0
3,2,2,594.0,1631.0,143654.80213765756,438279.514251365,0.3641937461679951,0.3277698305909587,11,2,1,80.0,3557.0,567,2990.0,0.2578534031413613,0.32414104882459316,2,78.93121508861901,80.0,7,7,True,"{5: 17, 4: 18, 6: 21, 2: 22, 0: 26, 1: 29, 3: 30}","{(0, 4): [(10, 18), (26, 10)], (0, 5): [(4, 9), (9, 17), (10, 4), (26, 10)], (0, 6): [(0, 2), (1, 0), (2, 6), (4, 1), (6, 13), (10, 4), (13, 21), (26, 10)], (1, 2): [(6, 14), (13, 6), (14, 22), (29, 13)], (1, 6): [(13, 21), (29, 13)], (2, 3): [(14, 30), (22, 14)], (3, 6): [(6, 13), (13, 21), (14, 6), (30, 14)]}","{(5, 17): {'cpu': 14}, (4, 18): {'cpu': 20}, (6, 21): {'cpu': 6}, (2, 22): {'cpu': 19}, (0, 26): {'cpu': 19}, (1, 29): {'cpu': 9}, (3, 30): {'cpu': 18}}","{((0, 4), (10, 18)): {'bw': 27.0}, ((0, 4), (26, 10)): {'bw': 27.0}, ((0, 5), (4, 9)): {'bw': 23.0}, ((0, 5), (9, 17)): {'bw': 23.0}, ((0, 5), (10, 4)): {'bw': 23.0}, ((0, 5), (26, 10)): {'bw': 23.0}, ((0, 6), (0, 2)): {'bw': 5.0}, ((0, 6), (1, 0)): {'bw': 5.0}, ((0, 6), (2, 6)): {'bw': 5.0}, ((0, 6), (4, 1)): {'bw': 5.0}, ((0, 6), (6, 13)): {'bw': 5.0}, ((0, 6), (10, 4)): {'bw': 5.0}, ((0, 6), (13, 21)): {'bw': 5.0}, ((0, 6), (26, 10)): {'bw': 5.0}, ((1, 2), (6, 14)): {'bw': 4.0}, ((1, 2), (13, 6)): {'bw': 4.0}, ((1, 2), (14, 22)): {'bw': 4.0}, ((1, 2), (29, 13)): {'bw': 4.0}, ((1, 6), (13, 21)): {'bw': 23.0}, ((1, 6), (29, 13)): {'bw': 23.0}, ((2, 3), (14, 30)): {'bw': 46.0}, ((2, 3), (22, 14)): {'bw': 46.0}, ((3, 6), (6, 13)): {'bw': 39.0}, ((3, 6), (13, 21)): {'bw': 39.0}, ((3, 6), (14, 6)): {'bw': 39.0}, ((3, 6), (30, 14)): {'bw': 39.0}}",601.0,272.0,210.0,105.0,167.0,105.0,167.0,105.0,496.0,329.0,0.4525790349417637,47437.66026826003,21469.29050410437,35.72261315158797,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.141090154647827,7.0,7.0
4,3,3,651.0,1730.0,163914.9099671714,473468.12258683634,0.3763005780346821,0.346200519417458,11,3,1,110.0,3458.0,552,2906.0,0.2774869109947644,0.34312839059674505,3,355.44048823708476,110.0,2,1,True,"{1: 15, 0: 23}","{(0, 1): [(7, 15), (23, 7)]}","{(1, 15): {'cpu': 13}, (0, 23): {'cpu': 2}}","{((0, 1), (7, 15)): {'bw': 42.0}, ((0, 1), (23, 7)): {'bw': 42.0}}",99.0,57.0,30.0,15.0,42.0,15.0,42.0,15.0,84.0,42.0,0.5757575757575758,35188.60833547139,20260.107829513832,204.64755383347307,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0650172233581543,2.0,1.0
4,3,3,651.0,1730.0,163914.9099671714,473468.12258683634,0.3763005780346821,0.346200519417458,11,4,0,115.89405144601457,3458.0,552,2906.0,0.2774869109947644,0.34312839059674505,1,57.894051446014565,58.0,10,24,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
5,4,4,714.0,1838.0,171566.26903332648,486584.7381288165,0.38846572361262244,0.35259278721542375,13,5,1,135.0,3350.0,534,2816.0,0.3010471204188482,0.36347197106690776,4,121.45014390722343,135.0,2,1,True,"{0: 19, 1: 27}","{(0, 1): [(11, 27), (19, 11)]}","{(0, 19): {'cpu': 17}, (1, 27): {'cpu': 1}}","{((0, 1), (11, 27)): {'bw': 45.0}, ((0, 1), (19, 11)): {'bw': 45.0}}",108.0,63.0,36.0,18.0,45.0,18.0,45.0,18.0,90.0,45.0,0.5833333333333334,13116.61554198013,7651.359066155076,70.84591727921368,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.05936002731323242,2.0,1.0
5,4,3,714.0,1838.0,171566.26903332648,486584.7381288165,0.38846572361262244,0.35259278721542375,13,6,0,158.931215088619,3951.0,639,3312.0,0.16361256544502623,0.2513562386980108,2,78.93121508861901,80.0,7,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
6,5,4,801.0,2001.0,279543.47673754493,688886.8629079843,0.4002998500749625,0.40579011124920233,14,7,1,161.0,3788.0,606,3182.0,0.2068062827225131,0.28074141048824597,5,1241.1173299335453,161.0,3,2,True,"{0: 16, 1: 23, 2: 24}","{(0, 2): [(8, 24), (16, 8)], (1, 2): [(3, 8), (7, 3), (8, 24), (23, 7)]}","{(0, 16): {'cpu': 15}, (1, 23): {'cpu': 17}, (2, 24): {'cpu': 1}}","{((0, 2), (8, 24)): {'bw': 43.0}, ((0, 2), (16, 8)): {'bw': 43.0}, ((1, 2), (3, 8)): {'bw': 11.0}, ((1, 2), (7, 3)): {'bw': 11.0}, ((1, 2), (8, 24)): {'bw': 11.0}, ((1, 2), (23, 7)): {'bw': 11.0}}",163.0,87.0,66.0,33.0,54.0,33.0,54.0,33.0,130.0,76.0,0.5337423312883436,202302.12477916788,107977.20770421844,662.4368570810948,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.16024494171142578,3.0,2.0
7,5,4,801.0,2001.0,279543.47673754493,688886.8629079843,0.4002998500749625,0.40579011124920233,14,8,1,186.0,3788.0,606,3182.0,0.2068062827225131,0.28074141048824597,6,310.0901200761372,186.0,9,19,False,{},{},{},{},0.0,0.0,174.0,87.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.375690937042236,0.0,0.0
8,5,4,801.0,2001.0,279543.47673754493,688886.8629079843,0.4002998500749625,0.40579011124920233,14,9,1,207.0,3788.0,606,3182.0,0.2068062827225131,0.28074141048824597,7,70.93576580993681,207.0,8,16,False,{},{},{},{},0.0,0.0,196.0,98.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.7853870391845703,0.0,0.0
