v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,solving_time,num_placed_nodes,num_routed_links
1,0,0,0,0,0,0,0,0,0,0,1,20.0,10503,1172,9331,0.0,0.0,0,1022.1419704141481,20.0,18,70,False,"{16: 29, 12: 21, 13: 22}","{(12, 16): [(21, 13), (13, 29)], (13, 12): [(22, 14), (14, 6), (6, 13), (13, 21)], (13, 16): [(22, 14), (14, 6), (6, 13), (13, 29)]}","{(16, 29): {'cpu': 35}, (12, 21): {'cpu': 35}, (13, 22): {'cpu': 36}}","{((12, 16), (21, 13)): {'bw': 70}, ((12, 16), (13, 29)): {'bw': 70}, ((13, 12), (22, 14)): {'bw': 84}, ((13, 12), (14, 6)): {'bw': 84}, ((13, 12), (6, 13)): {'bw': 84}, ((13, 12), (13, 21)): {'bw': 84}, ((13, 16), (22, 14)): {'bw': 93}, ((13, 16), (14, 6)): {'bw': 93}, ((13, 16), (6, 13)): {'bw': 93}, ((13, 16), (13, 29)): {'bw': 93}}",0.0,0.0,884.0,442.0,4551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,386.0,"{'node_level': {'cpu': 24}, 'link_level': {}, 'path_level': {}}","{'node_level': {16: {'cpu': -61}, 12: {'cpu': -41}, 13: {'cpu': -36}, 0: {'cpu': 24}}, 'link_level': {(12, 16): {'bw': -314}, (13, 12): {'bw': -165}, (13, 16): {'bw': -72}, (0, 12): {'bw': -17}, (0, 16): {'bw': 100.0}}, 'path_level': {(12, 16): {}, (13, 12): {}, (13, 16): {}, (0, 12): {}, (0, 16): {}}}","{'node_level': {16: {'cpu': 0}, 12: {'cpu': 0}, 13: {'cpu': 0}, 0: {'cpu': 24}}, 'link_level': {(12, 16): {'bw': 0}, (13, 12): {'bw': 0}, (13, 16): {'bw': 0}, (0, 12): {'bw': 0}, (0, 16): {'bw': 100.0}}, 'path_level': {(12, 16): {}, (13, 12): {}, (13, 16): {}, (0, 12): {}, (0, 16): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,10.0,0.0035200119018554688,3.0,3.0
2,0,0,0,0,0,0,0,0,0,1,1,45.0,10503,1172,9331,0.0,0.0,1,154.70520393054196,45.0,16,63,False,"{1: 29, 11: 21, 8: 22}","{(11, 1): [(21, 13), (13, 29)], (8, 1): [(22, 14), (14, 6), (6, 13), (13, 29)], (8, 11): [(22, 14), (14, 6), (6, 13), (13, 21)]}","{(1, 29): {'cpu': 38}, (11, 21): {'cpu': 35}, (8, 22): {'cpu': 33}}","{((11, 1), (21, 13)): {'bw': 62}, ((11, 1), (13, 29)): {'bw': 62}, ((8, 1), (22, 14)): {'bw': 90}, ((8, 1), (14, 6)): {'bw': 90}, ((8, 1), (6, 13)): {'bw': 90}, ((8, 1), (13, 29)): {'bw': 90}, ((8, 11), (22, 14)): {'bw': 77}, ((8, 11), (14, 6)): {'bw': 77}, ((8, 11), (6, 13)): {'bw': 77}, ((8, 11), (13, 21)): {'bw': 77}}",0.0,0.0,912.0,456.0,3821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,413.0,"{'node_level': {'cpu': 37}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -58}, 11: {'cpu': -41}, 8: {'cpu': -39}, 3: {'cpu': 37}}, 'link_level': {(11, 1): {'bw': -322}, (8, 1): {'bw': -159}, (8, 11): {'bw': -82}, (3, 1): {'bw': 100.0}}, 'path_level': {(11, 1): {}, (8, 1): {}, (8, 11): {}, (3, 1): {}}}","{'node_level': {1: {'cpu': 0}, 11: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 37}}, 'link_level': {(11, 1): {'bw': 0}, (8, 1): {'bw': 0}, (8, 11): {'bw': 0}, (3, 1): {'bw': 100.0}}, 'path_level': {(11, 1): {}, (8, 1): {}, (8, 11): {}, (3, 1): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,10.0,0.0014159679412841797,3.0,3.0
3,0,0,0,0,0,0,0,0,0,2,1,75.0,10503,1172,9331,0.0,0.0,2,534.6520994098065,75.0,17,67,False,"{4: 29, 13: 21, 11: 22, 9: 30}","{(13, 4): [(21, 13), (13, 29)], (11, 4): [(22, 14), (14, 6), (6, 13), (13, 29)], (9, 4): [(30, 14), (14, 6), (6, 13), (13, 29)], (9, 11): [(30, 14), (14, 22)], (9, 13): [(30, 14), (14, 6), (6, 13), (13, 21)]}","{(4, 29): {'cpu': 36}, (13, 21): {'cpu': 32}, (11, 22): {'cpu': 38}, (9, 30): {'cpu': 38}}","{((13, 4), (21, 13)): {'bw': 54}, ((13, 4), (13, 29)): {'bw': 54}, ((11, 4), (22, 14)): {'bw': 43}, ((11, 4), (14, 6)): {'bw': 43}, ((11, 4), (6, 13)): {'bw': 43}, ((11, 4), (13, 29)): {'bw': 43}, ((9, 4), (30, 14)): {'bw': 21}, ((9, 4), (14, 6)): {'bw': 21}, ((9, 4), (6, 13)): {'bw': 21}, ((9, 4), (13, 29)): {'bw': 21}, ((9, 11), (30, 14)): {'bw': 93}, ((9, 11), (14, 22)): {'bw': 93}, ((9, 13), (30, 14)): {'bw': 23}, ((9, 13), (14, 6)): {'bw': 23}, ((9, 13), (6, 13)): {'bw': 23}, ((9, 13), (13, 21)): {'bw': 23}}",0.0,0.0,886.0,443.0,3866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,309.0,"{'node_level': {'cpu': 31}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -60}, 13: {'cpu': -44}, 11: {'cpu': -34}, 9: {'cpu': -45}, 5: {'cpu': 31}}, 'link_level': {(13, 4): {'bw': -330}, (11, 4): {'bw': -206}, (9, 4): {'bw': -185}, (9, 11): {'bw': -229}, (9, 13): {'bw': -162}}, 'path_level': {(13, 4): {}, (11, 4): {}, (9, 4): {}, (9, 11): {}, (9, 13): {}}}","{'node_level': {4: {'cpu': 0}, 13: {'cpu': 0}, 11: {'cpu': 0}, 9: {'cpu': 0}, 5: {'cpu': 31}}, 'link_level': {(13, 4): {'bw': 0}, (11, 4): {'bw': 0}, (9, 4): {'bw': 0}, (9, 11): {'bw': 0}, (9, 13): {'bw': 0}}, 'path_level': {(13, 4): {}, (11, 4): {}, (9, 4): {}, (9, 11): {}, (9, 13): {}}}",[],-45.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0011060237884521484,4.0,5.0
4,0,0,0,0,0,0,0,0,0,3,1,107.0,10503,1172,9331,0.0,0.0,3,50.35575969255147,107.0,11,26,False,"{10: 29, 5: 21, 0: 22}","{(5, 10): [(21, 13), (13, 29)], (0, 5): [(22, 14), (14, 6), (6, 13), (13, 21)], (0, 10): [(22, 14), (14, 6), (6, 13), (13, 29)]}","{(10, 29): {'cpu': 37}, (5, 21): {'cpu': 32}, (0, 22): {'cpu': 17}}","{((5, 10), (21, 13)): {'bw': 54}, ((5, 10), (13, 29)): {'bw': 54}, ((0, 5), (22, 14)): {'bw': 85}, ((0, 5), (14, 6)): {'bw': 85}, ((0, 5), (6, 13)): {'bw': 85}, ((0, 5), (13, 21)): {'bw': 85}, ((0, 10), (22, 14)): {'bw': 75}, ((0, 10), (14, 6)): {'bw': 75}, ((0, 10), (6, 13)): {'bw': 75}, ((0, 10), (13, 29)): {'bw': 75}}",0.0,0.0,536.0,268.0,1673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,295.0,"{'node_level': {'cpu': 21}, 'link_level': {}, 'path_level': {}}","{'node_level': {10: {'cpu': -59}, 5: {'cpu': -44}, 0: {'cpu': -55}, 7: {'cpu': 21}}, 'link_level': {(5, 10): {'bw': -330}, (0, 5): {'bw': -164}, (0, 10): {'bw': -89}, (7, 0): {'bw': -126}, (7, 10): {'bw': 100.0}}, 'path_level': {(5, 10): {}, (0, 5): {}, (0, 10): {}, (7, 0): {}, (7, 10): {}}}","{'node_level': {10: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 21}}, 'link_level': {(5, 10): {'bw': 0}, (0, 5): {'bw': 0}, (0, 10): {'bw': 0}, (7, 0): {'bw': 0}, (7, 10): {'bw': 100.0}}, 'path_level': {(5, 10): {}, (0, 5): {}, (0, 10): {}, (7, 0): {}, (7, 10): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,10.0,0.0009050369262695312,3.0,3.0
5,0,0,0,0,0,0,0,0,0,4,1,136.0,10503,1172,9331,0.0,0.0,4,234.9294195077842,136.0,16,57,False,"{5: 29, 7: 21, 3: 22, 12: 30}","{(7, 5): [(21, 13), (13, 29)], (3, 5): [(22, 14), (14, 6), (6, 13), (13, 29)], (3, 7): [(22, 14), (14, 6), (6, 13), (13, 21)], (12, 5): [(30, 14), (14, 6), (6, 13), (13, 29)]}","{(5, 29): {'cpu': 33}, (7, 21): {'cpu': 38}, (3, 22): {'cpu': 33}, (12, 30): {'cpu': 32}}","{((7, 5), (21, 13)): {'bw': 95}, ((7, 5), (13, 29)): {'bw': 95}, ((3, 5), (22, 14)): {'bw': 80}, ((3, 5), (14, 6)): {'bw': 80}, ((3, 5), (6, 13)): {'bw': 80}, ((3, 5), (13, 29)): {'bw': 80}, ((3, 7), (22, 14)): {'bw': 51}, ((3, 7), (14, 6)): {'bw': 51}, ((3, 7), (6, 13)): {'bw': 51}, ((3, 7), (13, 21)): {'bw': 51}, ((12, 5), (30, 14)): {'bw': 95}, ((12, 5), (14, 6)): {'bw': 95}, ((12, 5), (6, 13)): {'bw': 95}, ((12, 5), (13, 29)): {'bw': 95}}",0.0,0.0,758.0,379.0,3159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,319.0,"{'node_level': {'cpu': 37}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -63}, 7: {'cpu': -38}, 3: {'cpu': -39}, 12: {'cpu': -51}, 13: {'cpu': 37}}, 'link_level': {(7, 5): {'bw': -289}, (3, 5): {'bw': -169}, (3, 7): {'bw': -118}, (12, 5): {'bw': -23}}, 'path_level': {(7, 5): {}, (3, 5): {}, (3, 7): {}, (12, 5): {}}}","{'node_level': {5: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 0}, 12: {'cpu': 0}, 13: {'cpu': 37}}, 'link_level': {(7, 5): {'bw': 0}, (3, 5): {'bw': 0}, (3, 7): {'bw': 0}, (12, 5): {'bw': 0}}, 'path_level': {(7, 5): {}, (3, 5): {}, (3, 7): {}, (12, 5): {}}}",[],-23.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0009839534759521484,4.0,4.0
5,0,0,0,0,0,0,0,0,0,5,0,157.3557596925515,10503,1172,9331,0.0,0.0,3,50.35575969255147,107.0,11,26,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
6,0,0,0,0,0,0,0,0,0,6,1,163.0,10503,1172,9331,0.0,0.0,5,1311.9594471986848,163.0,16,74,False,"{0: 29, 13: 21, 4: 22, 1: 30}","{(13, 0): [(21, 13), (13, 29)], (4, 0): [(22, 14), (14, 6), (6, 13), (13, 29)], (1, 0): [(30, 14), (14, 6), (6, 13), (13, 29)], (1, 4): [(30, 14), (14, 22)]}","{(0, 29): {'cpu': 40}, (13, 21): {'cpu': 39}, (4, 22): {'cpu': 35}, (1, 30): {'cpu': 17}}","{((13, 0), (21, 13)): {'bw': 96}, ((13, 0), (13, 29)): {'bw': 96}, ((4, 0), (22, 14)): {'bw': 80}, ((4, 0), (14, 6)): {'bw': 80}, ((4, 0), (6, 13)): {'bw': 80}, ((4, 0), (13, 29)): {'bw': 80}, ((1, 0), (30, 14)): {'bw': 45}, ((1, 0), (14, 6)): {'bw': 45}, ((1, 0), (6, 13)): {'bw': 45}, ((1, 0), (13, 29)): {'bw': 45}, ((1, 4), (30, 14)): {'bw': 27}, ((1, 4), (14, 22)): {'bw': 27}}",0.0,0.0,830.0,415.0,4690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,326.0,"{'node_level': {'cpu': 36}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -56}, 13: {'cpu': -37}, 4: {'cpu': -37}, 1: {'cpu': -66}, 5: {'cpu': 36}}, 'link_level': {(13, 0): {'bw': -288}, (4, 0): {'bw': -169}, (1, 0): {'bw': -124}, (1, 4): {'bw': -258}}, 'path_level': {(13, 0): {}, (4, 0): {}, (1, 0): {}, (1, 4): {}}}","{'node_level': {0: {'cpu': 0}, 13: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 36}}, 'link_level': {(13, 0): {'bw': 0}, (4, 0): {'bw': 0}, (1, 0): {'bw': 0}, (1, 4): {'bw': 0}}, 'path_level': {(13, 0): {}, (4, 0): {}, (1, 0): {}, (1, 4): {}}}",[],-66.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0010051727294921875,4.0,4.0
7,0,0,0,0,0,0,0,0,0,7,1,198.0,10503,1172,9331,0.0,0.0,6,1053.0351964376496,198.0,8,15,False,"{0: 29, 3: 21, 7: 22, 5: 30}","{(3, 0): [(21, 13), (13, 29)], (7, 0): [(22, 14), (14, 6), (6, 13), (13, 29)], (7, 3): [(22, 14), (14, 6), (6, 13), (13, 21)], (5, 0): [(30, 14), (14, 6), (6, 13), (13, 29)], (5, 3): [(30, 14), (14, 6), (6, 13), (13, 21)], (5, 7): [(30, 14), (14, 22)]}","{(0, 29): {'cpu': 27}, (3, 21): {'cpu': 39}, (7, 22): {'cpu': 30}, (5, 30): {'cpu': 25}}","{((3, 0), (21, 13)): {'bw': 100}, ((3, 0), (13, 29)): {'bw': 100}, ((7, 0), (22, 14)): {'bw': 76}, ((7, 0), (14, 6)): {'bw': 76}, ((7, 0), (6, 13)): {'bw': 76}, ((7, 0), (13, 29)): {'bw': 76}, ((7, 3), (22, 14)): {'bw': 41}, ((7, 3), (14, 6)): {'bw': 41}, ((7, 3), (6, 13)): {'bw': 41}, ((7, 3), (13, 21)): {'bw': 41}, ((5, 0), (30, 14)): {'bw': 59}, ((5, 0), (14, 6)): {'bw': 59}, ((5, 0), (6, 13)): {'bw': 59}, ((5, 0), (13, 29)): {'bw': 59}, ((5, 3), (30, 14)): {'bw': 63}, ((5, 3), (14, 6)): {'bw': 63}, ((5, 3), (6, 13)): {'bw': 63}, ((5, 3), (13, 21)): {'bw': 63}, ((5, 7), (30, 14)): {'bw': 95}, ((5, 7), (14, 22)): {'bw': 95}}",0.0,0.0,482.0,241.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,303.0,"{'node_level': {'cpu': 35}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -69}, 3: {'cpu': -37}, 7: {'cpu': -42}, 5: {'cpu': -58}, 6: {'cpu': 35}}, 'link_level': {(3, 0): {'bw': -284}, (7, 0): {'bw': -173}, (7, 3): {'bw': -132}, (5, 0): {'bw': -73}, (5, 3): {'bw': -10}, (5, 7): {'bw': -153}}, 'path_level': {(3, 0): {}, (7, 0): {}, (7, 3): {}, (5, 0): {}, (5, 3): {}, (5, 7): {}}}","{'node_level': {0: {'cpu': 0}, 3: {'cpu': 0}, 7: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 35}}, 'link_level': {(3, 0): {'bw': 0}, (7, 0): {'bw': 0}, (7, 3): {'bw': 0}, (5, 0): {'bw': 0}, (5, 3): {'bw': 0}, (5, 7): {'bw': 0}}, 'path_level': {(3, 0): {}, (7, 0): {}, (7, 3): {}, (5, 0): {}, (5, 3): {}, (5, 7): {}}}",[],-10.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0008623600006103516,4.0,6.0
7,0,0,0,0,0,0,0,0,0,8,0,199.70520393054196,10503,1172,9331,0.0,0.0,1,154.70520393054196,45.0,16,63,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
8,0,0,0,0,0,0,0,0,0,9,1,217.0,10503,1172,9331,0.0,0.0,7,651.9635823899682,217.0,13,37,False,"{8: 29, 12: 21, 2: 22}","{(12, 8): [(21, 13), (13, 29)], (2, 8): [(22, 14), (14, 6), (6, 13), (13, 29)], (2, 12): [(22, 14), (14, 6), (6, 13), (13, 21)]}","{(8, 29): {'cpu': 32}, (12, 21): {'cpu': 26}, (2, 22): {'cpu': 25}}","{((12, 8), (21, 13)): {'bw': 63}, ((12, 8), (13, 29)): {'bw': 63}, ((2, 8), (22, 14)): {'bw': 64}, ((2, 8), (14, 6)): {'bw': 64}, ((2, 8), (6, 13)): {'bw': 64}, ((2, 8), (13, 29)): {'bw': 64}, ((2, 12), (22, 14)): {'bw': 73}, ((2, 12), (14, 6)): {'bw': 73}, ((2, 12), (6, 13)): {'bw': 73}, ((2, 12), (13, 21)): {'bw': 73}}",0.0,0.0,608.0,304.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,348.0,"{'node_level': {'cpu': 32}, 'link_level': {}, 'path_level': {}}","{'node_level': {8: {'cpu': -64}, 12: {'cpu': -50}, 2: {'cpu': -47}, 7: {'cpu': 32}}, 'link_level': {(12, 8): {'bw': -321}, (2, 8): {'bw': -185}, (2, 12): {'bw': -112}, (7, 8): {'bw': -49}, (7, 12): {'bw': 100.0}}, 'path_level': {(12, 8): {}, (2, 8): {}, (2, 12): {}, (7, 8): {}, (7, 12): {}}}","{'node_level': {8: {'cpu': 0}, 12: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 32}}, 'link_level': {(12, 8): {'bw': 0}, (2, 8): {'bw': 0}, (2, 12): {'bw': 0}, (7, 8): {'bw': 0}, (7, 12): {'bw': 100.0}}, 'path_level': {(12, 8): {}, (2, 8): {}, (2, 12): {}, (7, 8): {}, (7, 12): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,10.0,0.0008981227874755859,3.0,3.0
