v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,solving_time,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,32.0,5188,764,4424,0.0,0.0,0,379.4581106632087,32.0,7,12,False,"{5: 24, 2: 16, 6: 15, 0: 23}","{(2, 5): [(16, 8), (8, 24)], (6, 2): [(15, 7), (7, 3), (3, 8), (8, 16)], (6, 5): [(15, 7), (7, 3), (3, 8), (8, 24)], (0, 5): [(23, 7), (7, 3), (3, 8), (8, 24)], (0, 6): [(23, 7), (7, 15)]}","{(5, 24): {'cpu': 9}, (2, 16): {'cpu': 20}, (6, 15): {'cpu': 14}, (0, 23): {'cpu': 14}}","{((2, 5), (16, 8)): {'bw': 34}, ((2, 5), (8, 24)): {'bw': 34}, ((6, 2), (15, 7)): {'bw': 13}, ((6, 2), (7, 3)): {'bw': 13}, ((6, 2), (3, 8)): {'bw': 13}, ((6, 2), (8, 16)): {'bw': 13}, ((6, 5), (15, 7)): {'bw': 24}, ((6, 5), (7, 3)): {'bw': 24}, ((6, 5), (3, 8)): {'bw': 24}, ((6, 5), (8, 24)): {'bw': 24}, ((0, 5), (23, 7)): {'bw': 30}, ((0, 5), (7, 3)): {'bw': 30}, ((0, 5), (3, 8)): {'bw': 30}, ((0, 5), (8, 24)): {'bw': 30}, ((0, 6), (23, 7)): {'bw': 12}, ((0, 6), (7, 15)): {'bw': 12}}",0.0,0.0,184.0,92.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,141.0,"{'node_level': {'cpu': 15}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -49}, 2: {'cpu': -35}, 6: {'cpu': -22}, 0: {'cpu': -27}, 3: {'cpu': 15}}, 'link_level': {(2, 5): {'bw': -74}, (6, 2): {'bw': -61}, (6, 5): {'bw': -70}, (0, 5): {'bw': -40}, (0, 6): {'bw': -111}}, 'path_level': {(2, 5): {}, (6, 2): {}, (6, 5): {}, (0, 5): {}, (0, 6): {}}}","{'node_level': {5: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 15}}, 'link_level': {(2, 5): {'bw': 0}, (6, 2): {'bw': 0}, (6, 5): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}}, 'path_level': {(2, 5): {}, (6, 2): {}, (6, 5): {}, (0, 5): {}, (0, 6): {}}}",[],-27.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0033321380615234375,4.0,5.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,58.0,5188,764,4424,0.0,0.0,1,57.894051446014565,58.0,10,24,False,"{0: 24, 7: 16, 9: 15, 3: 23}","{(7, 0): [(16, 8), (8, 24)], (9, 0): [(15, 7), (7, 3), (3, 8), (8, 24)], (9, 7): [(15, 7), (7, 3), (3, 8), (8, 16)], (3, 0): [(23, 7), (7, 3), (3, 8), (8, 24)], (3, 9): [(23, 7), (7, 15)]}","{(0, 24): {'cpu': 19}, (7, 16): {'cpu': 15}, (9, 15): {'cpu': 14}, (3, 23): {'cpu': 15}}","{((7, 0), (16, 8)): {'bw': 43}, ((7, 0), (8, 24)): {'bw': 43}, ((9, 0), (15, 7)): {'bw': 14}, ((9, 0), (7, 3)): {'bw': 14}, ((9, 0), (3, 8)): {'bw': 14}, ((9, 0), (8, 24)): {'bw': 14}, ((9, 7), (15, 7)): {'bw': 36}, ((9, 7), (7, 3)): {'bw': 36}, ((9, 7), (3, 8)): {'bw': 36}, ((9, 7), (8, 16)): {'bw': 36}, ((3, 0), (23, 7)): {'bw': 50}, ((3, 0), (7, 3)): {'bw': 50}, ((3, 0), (3, 8)): {'bw': 50}, ((3, 0), (8, 24)): {'bw': 50}, ((3, 9), (23, 7)): {'bw': 20}, ((3, 9), (7, 15)): {'bw': 20}}",0.0,0.0,238.0,119.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,110.0,"{'node_level': {'cpu': 8}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -39}, 7: {'cpu': -40}, 9: {'cpu': -22}, 3: {'cpu': -26}, 5: {'cpu': 8}}, 'link_level': {(7, 0): {'bw': -65}, (9, 0): {'bw': -93}, (9, 7): {'bw': -29}, (3, 0): {'bw': -7}, (3, 9): {'bw': -90}}, 'path_level': {(7, 0): {}, (9, 0): {}, (9, 7): {}, (3, 0): {}, (3, 9): {}}}","{'node_level': {0: {'cpu': 0}, 7: {'cpu': 0}, 9: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 8}}, 'link_level': {(7, 0): {'bw': 0}, (9, 0): {'bw': 0}, (9, 7): {'bw': 0}, (3, 0): {'bw': 0}, (3, 9): {'bw': 0}}, 'path_level': {(7, 0): {}, (9, 0): {}, (9, 7): {}, (3, 0): {}, (3, 9): {}}}",[],-7.0,0.0,False,True,False,0,[],0,0.0,9.0,0.001157999038696289,4.0,5.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,80.0,5188,764,4424,0.0,0.0,2,78.93121508861901,80.0,7,7,False,"{3: 24, 2: 16, 6: 15, 0: 23}","{(2, 3): [(16, 8), (8, 24)], (6, 3): [(15, 7), (7, 3), (3, 8), (8, 24)], (0, 6): [(23, 7), (7, 15)]}","{(3, 24): {'cpu': 18}, (2, 16): {'cpu': 19}, (6, 15): {'cpu': 6}, (0, 23): {'cpu': 19}}","{((2, 3), (16, 8)): {'bw': 46}, ((2, 3), (8, 24)): {'bw': 46}, ((6, 3), (15, 7)): {'bw': 39}, ((6, 3), (7, 3)): {'bw': 39}, ((6, 3), (3, 8)): {'bw': 39}, ((6, 3), (8, 24)): {'bw': 39}, ((0, 6), (23, 7)): {'bw': 5}, ((0, 6), (7, 15)): {'bw': 5}}",0.0,0.0,210.0,105.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,89.0,"{'node_level': {'cpu': 9}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -40}, 2: {'cpu': -36}, 6: {'cpu': -30}, 0: {'cpu': -22}, 1: {'cpu': 9}}, 'link_level': {(2, 3): {'bw': -62}, (6, 3): {'bw': -68}, (0, 6): {'bw': -116}}, 'path_level': {(2, 3): {}, (6, 3): {}, (0, 6): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 9}}, 'link_level': {(2, 3): {'bw': 0}, (6, 3): {'bw': 0}, (0, 6): {'bw': 0}}, 'path_level': {(2, 3): {}, (6, 3): {}, (0, 6): {}}}",[],-22.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0007781982421875,4.0,3.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,110.0,5188,764,4424,0.0,0.0,3,355.44048823708476,110.0,2,1,False,"{1: 24, 0: 16}","{(0, 1): [(16, 8), (8, 24)]}","{(1, 24): {'cpu': 13}, (0, 16): {'cpu': 2}}","{((0, 1), (16, 8)): {'bw': 42}, ((0, 1), (8, 24)): {'bw': 42}}",0.0,0.0,30.0,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,4.0,"{'node_level': {'cpu': -53}, 'link_level': {'bw': -66}, 'path_level': {}}","{'node_level': {1: {'cpu': -45}, 0: {'cpu': -53}}, 'link_level': {(0, 1): {'bw': -66}}, 'path_level': {(0, 1): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-53.0,0.0,False,True,False,0,[],0,0.0,2.0,0.0006363391876220703,2.0,1.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,115.89405144601457,5188,764,4424,0.0,0.0,1,57.894051446014565,58.0,10,24,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,135.0,5188,764,4424,0.0,0.0,4,121.45014390722343,135.0,2,1,False,"{0: 24, 1: 16}","{(1, 0): [(16, 8), (8, 24)]}","{(0, 24): {'cpu': 17}, (1, 16): {'cpu': 1}}","{((1, 0), (16, 8)): {'bw': 45}, ((1, 0), (8, 24)): {'bw': 45}}",0.0,0.0,36.0,18.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,2.0,"{'node_level': {'cpu': -54}, 'link_level': {'bw': -63}, 'path_level': {}}","{'node_level': {0: {'cpu': -41}, 1: {'cpu': -54}}, 'link_level': {(1, 0): {'bw': -63}}, 'path_level': {(1, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}}, 'path_level': {(1, 0): {}}}",[],-54.0,0.0,False,True,False,0,[],0,0.0,2.0,0.0006139278411865234,2.0,1.0
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,158.931215088619,5188,764,4424,0.0,0.0,2,78.93121508861901,80.0,7,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,1,161.0,5188,764,4424,0.0,0.0,5,1241.1173299335453,161.0,3,2,False,"{2: 24, 0: 16, 1: 15}","{(0, 2): [(16, 8), (8, 24)], (1, 2): [(15, 7), (7, 3), (3, 8), (8, 24)]}","{(2, 24): {'cpu': 1}, (0, 16): {'cpu': 15}, (1, 15): {'cpu': 17}}","{((0, 2), (16, 8)): {'bw': 43}, ((0, 2), (8, 24)): {'bw': 43}, ((1, 2), (15, 7)): {'bw': 11}, ((1, 2), (7, 3)): {'bw': 11}, ((1, 2), (3, 8)): {'bw': 11}, ((1, 2), (8, 24)): {'bw': 11}}",0.0,0.0,66.0,33.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,98.0,"{'node_level': {'cpu': -19}, 'link_level': {'bw': -96}, 'path_level': {}}","{'node_level': {2: {'cpu': -57}, 0: {'cpu': -40}, 1: {'cpu': -19}}, 'link_level': {(0, 2): {'bw': -65}, (1, 2): {'bw': -96}}, 'path_level': {(0, 2): {}, (1, 2): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}}}",[],-19.0,0.0,False,True,False,0,[],0,0.0,6.0,0.0007257461547851562,3.0,2.0
7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,1,186.0,5188,764,4424,0.0,0.0,6,310.0901200761372,186.0,9,19,False,"{5: 24, 6: 16, 3: 15, 4: 23}","{(6, 5): [(16, 8), (8, 24)], (3, 5): [(15, 7), (7, 3), (3, 8), (8, 24)], (3, 6): [(15, 7), (7, 3), (3, 8), (8, 16)], (4, 5): [(23, 7), (7, 3), (3, 8), (8, 24)], (4, 6): [(23, 7), (7, 3), (3, 8), (8, 16)]}","{(5, 24): {'cpu': 20}, (6, 16): {'cpu': 7}, (3, 15): {'cpu': 19}, (4, 23): {'cpu': 19}}","{((6, 5), (16, 8)): {'bw': 20}, ((6, 5), (8, 24)): {'bw': 20}, ((3, 5), (15, 7)): {'bw': 21}, ((3, 5), (7, 3)): {'bw': 21}, ((3, 5), (3, 8)): {'bw': 21}, ((3, 5), (8, 24)): {'bw': 21}, ((3, 6), (15, 7)): {'bw': 10}, ((3, 6), (7, 3)): {'bw': 10}, ((3, 6), (3, 8)): {'bw': 10}, ((3, 6), (8, 16)): {'bw': 10}, ((4, 5), (23, 7)): {'bw': 14}, ((4, 5), (7, 3)): {'bw': 14}, ((4, 5), (3, 8)): {'bw': 14}, ((4, 5), (8, 24)): {'bw': 14}, ((4, 6), (23, 7)): {'bw': 23}, ((4, 6), (7, 3)): {'bw': 23}, ((4, 6), (3, 8)): {'bw': 23}, ((4, 6), (8, 16)): {'bw': 23}}",0.0,0.0,174.0,87.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,99.0,"{'node_level': {'cpu': 3}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -38}, 6: {'cpu': -48}, 3: {'cpu': -17}, 4: {'cpu': -22}, 7: {'cpu': 3}}, 'link_level': {(6, 5): {'bw': -88}, (3, 5): {'bw': -86}, (3, 6): {'bw': -76}, (4, 5): {'bw': -62}, (4, 6): {'bw': -39}}, 'path_level': {(6, 5): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}, (4, 6): {}}}","{'node_level': {5: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 3}}, 'link_level': {(6, 5): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}, (4, 6): {'bw': 0}}, 'path_level': {(6, 5): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}, (4, 6): {}}}",[],-22.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0008788108825683594,4.0,5.0
8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,207.0,5188,764,4424,0.0,0.0,7,70.93576580993681,207.0,8,16,False,"{0: 24, 5: 16, 7: 15, 1: 23}","{(5, 0): [(16, 8), (8, 24)], (7, 0): [(15, 7), (7, 3), (3, 8), (8, 24)], (1, 0): [(23, 7), (7, 3), (3, 8), (8, 24)], (1, 5): [(23, 7), (7, 3), (3, 8), (8, 16)]}","{(0, 24): {'cpu': 18}, (5, 16): {'cpu': 20}, (7, 15): {'cpu': 19}, (1, 23): {'cpu': 13}}","{((5, 0), (16, 8)): {'bw': 33}, ((5, 0), (8, 24)): {'bw': 33}, ((7, 0), (15, 7)): {'bw': 16}, ((7, 0), (7, 3)): {'bw': 16}, ((7, 0), (3, 8)): {'bw': 16}, ((7, 0), (8, 24)): {'bw': 16}, ((1, 0), (23, 7)): {'bw': 46}, ((1, 0), (7, 3)): {'bw': 46}, ((1, 0), (3, 8)): {'bw': 46}, ((1, 0), (8, 24)): {'bw': 46}, ((1, 5), (23, 7)): {'bw': 45}, ((1, 5), (7, 3)): {'bw': 45}, ((1, 5), (3, 8)): {'bw': 45}, ((1, 5), (8, 16)): {'bw': 45}}",0.0,0.0,196.0,98.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,176.0,"{'node_level': {'cpu': 20}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -40}, 5: {'cpu': -35}, 7: {'cpu': -17}, 1: {'cpu': -28}, 3: {'cpu': 20}}, 'link_level': {(5, 0): {'bw': -75}, (7, 0): {'bw': -91}, (1, 0): {'bw': -45}, (1, 5): {'bw': 0}}, 'path_level': {(5, 0): {}, (7, 0): {}, (1, 0): {}, (1, 5): {}}}","{'node_level': {0: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 20}}, 'link_level': {(5, 0): {'bw': 0}, (7, 0): {'bw': 0}, (1, 0): {'bw': 0}, (1, 5): {'bw': 0}}, 'path_level': {(5, 0): {}, (7, 0): {}, (1, 0): {}, (1, 5): {}}}",[],0.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0008251667022705078,4.0,4.0
