v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,15.0,10585,1285,9300,0.0,0.0,0,751.6116744769311,15.0,10,19,False,{},{},{},{},0.0,0.0,140.0,70.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.2648608684539795,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,43.0,10585,1285,9300,0.0,0.0,1,750.5227476258572,43.0,10,17,False,{},{},{},{},0.0,0.0,244.0,122.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.3271939754486084,0.0,0.0
3,1,1,503.0,2174.0,175728.12677021348,759508.8421440241,0.23137074517019318,0.23137074517019318,8,2,1,65.0,8411,1193,7218,0.07159533073929958,0.2238709677419355,2,349.3600929825318,65.0,8,17,True,"{np.int64(0): np.int64(19), np.int64(1): np.int64(28), np.int64(2): np.int64(17), np.int64(3): np.int64(29), np.int64(4): np.int64(21), np.int64(5): np.int64(20), np.int64(6): np.int64(23), np.int64(7): np.int64(27)}","{(0, 1): [(np.int64(19), 11), (11, 5), (5, 12), (12, np.int64(28))], (0, 3): [(np.int64(19), 11), (11, 5), (5, 2), (2, 6), (6, 13), (13, np.int64(29))], (0, 6): [(np.int64(19), 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, np.int64(23))], (0, 7): [(np.int64(19), 11), (11, 27)], (1, 3): [(np.int64(28), 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, np.int64(29))], (1, 5): [(np.int64(28), 12), (12, 20)], (1, 6): [(np.int64(28), 12), (12, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, np.int64(23))], (1, 7): [(np.int64(28), 12), (12, 5), (5, 11), (11, np.int64(27))], (2, 4): [(np.int64(17), 9), (9, 4), (4, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, np.int64(21))], (2, 6): [(np.int64(17), 9), (9, 4), (4, 1), (1, 3), (3, 7), (7, np.int64(23))], (3, 4): [(np.int64(29), 13), (13, 21)], (3, 5): [(np.int64(29), 13), (13, 6), (6, 2), (2, 5), (5, 12), (12, np.int64(20))], (3, 7): [(np.int64(29), 13), (13, 6), (6, 2), (2, 5), (5, 11), (11, np.int64(27))], (4, 5): [(np.int64(21), 13), (13, 6), (6, 2), (2, 5), (5, 12), (12, np.int64(20))], (4, 7): [(np.int64(21), 13), (13, 6), (6, 2), (2, 5), (5, 11), (11, np.int64(27))], (5, 6): [(np.int64(20), 12), (12, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, np.int64(23))], (6, 7): [(np.int64(23), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 5), (5, 11), (11, np.int64(27))]}","{(np.int64(0), np.int64(19)): {'cpu': 20}, (np.int64(1), np.int64(28)): {'cpu': 20}, (np.int64(2), np.int64(17)): {'cpu': 9}, (np.int64(3), np.int64(29)): {'cpu': 1}, (np.int64(4), np.int64(21)): {'cpu': 6}, (np.int64(5), np.int64(20)): {'cpu': 15}, (np.int64(6), np.int64(23)): {'cpu': 6}, (np.int64(7), np.int64(27)): {'cpu': 15}}","{((0, 1), (np.int64(19), 11)): {'bw': 50}, ((0, 1), (11, 5)): {'bw': 50}, ((0, 1), (5, 12)): {'bw': 50}, ((0, 1), (12, np.int64(28))): {'bw': 50}, ((0, 3), (np.int64(19), 11)): {'bw': 15}, ((0, 3), (11, 5)): {'bw': 15}, ((0, 3), (5, 2)): {'bw': 15}, ((0, 3), (2, 6)): {'bw': 15}, ((0, 3), (6, 13)): {'bw': 15}, ((0, 3), (13, np.int64(29))): {'bw': 15}, ((0, 6), (np.int64(19), 11)): {'bw': 6}, ((0, 6), (11, 5)): {'bw': 6}, ((0, 6), (5, 2)): {'bw': 6}, ((0, 6), (2, 0)): {'bw': 6}, ((0, 6), (0, 1)): {'bw': 6}, ((0, 6), (1, 3)): {'bw': 6}, ((0, 6), (3, 7)): {'bw': 6}, ((0, 6), (7, np.int64(23))): {'bw': 6}, ((0, 7), (np.int64(19), 11)): {'bw': 46}, ((0, 7), (11, 27)): {'bw': 46}, ((1, 3), (np.int64(28), 12)): {'bw': 19}, ((1, 3), (12, 5)): {'bw': 19}, ((1, 3), (5, 2)): {'bw': 19}, ((1, 3), (2, 6)): {'bw': 19}, ((1, 3), (6, 13)): {'bw': 19}, ((1, 3), (13, np.int64(29))): {'bw': 19}, ((1, 5), (np.int64(28), 12)): {'bw': 38}, ((1, 5), (12, 20)): {'bw': 38}, ((1, 6), (np.int64(28), 12)): {'bw': 35}, ((1, 6), (12, 5)): {'bw': 35}, ((1, 6), (5, 2)): {'bw': 35}, ((1, 6), (2, 0)): {'bw': 35}, ((1, 6), (0, 1)): {'bw': 35}, ((1, 6), (1, 3)): {'bw': 35}, ((1, 6), (3, 7)): {'bw': 35}, ((1, 6), (7, np.int64(23))): {'bw': 35}, ((1, 7), (np.int64(28), 12)): {'bw': 17}, ((1, 7), (12, 5)): {'bw': 17}, ((1, 7), (5, 11)): {'bw': 17}, ((1, 7), (11, np.int64(27))): {'bw': 17}, ((2, 4), (np.int64(17), 9)): {'bw': 21}, ((2, 4), (9, 4)): {'bw': 21}, ((2, 4), (4, 1)): {'bw': 21}, ((2, 4), (1, 0)): {'bw': 21}, ((2, 4), (0, 2)): {'bw': 21}, ((2, 4), (2, 6)): {'bw': 21}, ((2, 4), (6, 13)): {'bw': 21}, ((2, 4), (13, np.int64(21))): {'bw': 21}, ((2, 6), (np.int64(17), 9)): {'bw': 21}, ((2, 6), (9, 4)): {'bw': 21}, ((2, 6), (4, 1)): {'bw': 21}, ((2, 6), (1, 3)): {'bw': 21}, ((2, 6), (3, 7)): {'bw': 21}, ((2, 6), (7, np.int64(23))): {'bw': 21}, ((3, 4), (np.int64(29), 13)): {'bw': 20}, ((3, 4), (13, 21)): {'bw': 20}, ((3, 5), (np.int64(29), 13)): {'bw': 19}, ((3, 5), (13, 6)): {'bw': 19}, ((3, 5), (6, 2)): {'bw': 19}, ((3, 5), (2, 5)): {'bw': 19}, ((3, 5), (5, 12)): {'bw': 19}, ((3, 5), (12, np.int64(20))): {'bw': 19}, ((3, 7), (np.int64(29), 13)): {'bw': 27}, ((3, 7), (13, 6)): {'bw': 27}, ((3, 7), (6, 2)): {'bw': 27}, ((3, 7), (2, 5)): {'bw': 27}, ((3, 7), (5, 11)): {'bw': 27}, ((3, 7), (11, np.int64(27))): {'bw': 27}, ((4, 5), (np.int64(21), 13)): {'bw': 43}, ((4, 5), (13, 6)): {'bw': 43}, ((4, 5), (6, 2)): {'bw': 43}, ((4, 5), (2, 5)): {'bw': 43}, ((4, 5), (5, 12)): {'bw': 43}, ((4, 5), (12, np.int64(20))): {'bw': 43}, ((4, 7), (np.int64(21), 13)): {'bw': 13}, ((4, 7), (13, 6)): {'bw': 13}, ((4, 7), (6, 2)): {'bw': 13}, ((4, 7), (2, 5)): {'bw': 13}, ((4, 7), (5, 11)): {'bw': 13}, ((4, 7), (11, np.int64(27))): {'bw': 13}, ((5, 6), (np.int64(20), 12)): {'bw': 13}, ((5, 6), (12, 5)): {'bw': 13}, ((5, 6), (5, 2)): {'bw': 13}, ((5, 6), (2, 0)): {'bw': 13}, ((5, 6), (0, 1)): {'bw': 13}, ((5, 6), (1, 3)): {'bw': 13}, ((5, 6), (3, 7)): {'bw': 13}, ((5, 6), (7, np.int64(23))): {'bw': 13}, ((6, 7), (np.int64(23), 7)): {'bw': 8}, ((6, 7), (7, 3)): {'bw': 8}, ((6, 7), (3, 1)): {'bw': 8}, ((6, 7), (1, 0)): {'bw': 8}, ((6, 7), (0, 2)): {'bw': 8}, ((6, 7), (2, 5)): {'bw': 8}, ((6, 7), (5, 11)): {'bw': 8}, ((6, 7), (11, np.int64(27))): {'bw': 8}}",2174.0,503.0,276.0,92.0,411.0,92.0,411.0,92.0,2082.0,1671.0,0.23137074517019318,759508.8421440241,175728.12677021348,80.83170504609636,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -67}, np.int64(1): {'cpu': -72}, np.int64(2): {'cpu': -67}, np.int64(3): {'cpu': -82}, np.int64(4): {'cpu': -47}, np.int64(5): {'cpu': -74}, np.int64(6): {'cpu': -48}, np.int64(7): {'cpu': -73}}, 'link_level': {(0, 1): {'bw': -200}, (0, 3): {'bw': -187}, (0, 6): {'bw': -181}, (0, 7): {'bw': -233}, (1, 3): {'bw': -181}, (1, 5): {'bw': -235}, (1, 6): {'bw': -146}, (1, 7): {'bw': -129}, (2, 4): {'bw': -207}, (2, 6): {'bw': -177}, (3, 4): {'bw': -256}, (3, 5): {'bw': -110}, (3, 7): {'bw': -137}, (4, 5): {'bw': -67}, (4, 7): {'bw': -124}, (5, 6): {'bw': -54}, (6, 7): {'bw': -116}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}, (1, 3): {}, (1, 5): {}, (1, 6): {}, (1, 7): {}, (2, 4): {}, (2, 6): {}, (3, 4): {}, (3, 5): {}, (3, 7): {}, (4, 5): {}, (4, 7): {}, (5, 6): {}, (6, 7): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}, np.int64(7): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (1, 3): {'bw': 0}, (1, 5): {'bw': 0}, (1, 6): {'bw': 0}, (1, 7): {'bw': 0}, (2, 4): {'bw': 0}, (2, 6): {'bw': 0}, (3, 4): {'bw': 0}, (3, 5): {'bw': 0}, (3, 7): {'bw': 0}, (4, 5): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}, (6, 7): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}, (1, 3): {}, (1, 5): {}, (1, 6): {}, (1, 7): {}, (2, 4): {}, (2, 6): {}, (3, 4): {}, (3, 5): {}, (3, 7): {}, (4, 5): {}, (4, 7): {}, (5, 6): {}, (6, 7): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.3259389400482178,8.0,17.0
4,2,2,563.0,2277.0,269949.1988025305,921255.0157995017,0.24725516029863856,0.29302331512220625,11,3,1,82.0,8308,1158,7150,0.0988326848249027,0.23118279569892475,3,1570.3512005386167,82.0,4,4,True,"{np.int64(0): np.int64(16), np.int64(1): np.int64(30), np.int64(2): np.int64(23), np.int64(3): np.int64(22)}","{(0, 1): [(np.int64(16), 8), (8, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 14), (14, 30)], (0, 2): [(np.int64(16), 8), (8, 3), (3, 7), (7, 23)], (1, 3): [(np.int64(30), 14), (14, 22)], (2, 3): [(np.int64(23), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 14), (14, 22)]}","{(np.int64(0), np.int64(16)): {'cpu': 14}, (np.int64(1), np.int64(30)): {'cpu': 18}, (np.int64(2), np.int64(23)): {'cpu': 2}, (np.int64(3), np.int64(22)): {'cpu': 1}}","{((0, 1), (np.int64(16), 8)): {'bw': 2}, ((0, 1), (8, 3)): {'bw': 2}, ((0, 1), (3, 1)): {'bw': 2}, ((0, 1), (1, 0)): {'bw': 2}, ((0, 1), (0, 2)): {'bw': 2}, ((0, 1), (2, 6)): {'bw': 2}, ((0, 1), (6, 14)): {'bw': 2}, ((0, 1), (14, 30)): {'bw': 2}, ((0, 2), (np.int64(16), 8)): {'bw': 3}, ((0, 2), (8, 3)): {'bw': 3}, ((0, 2), (3, 7)): {'bw': 3}, ((0, 2), (7, 23)): {'bw': 3}, ((1, 3), (np.int64(30), 14)): {'bw': 20}, ((1, 3), (14, 22)): {'bw': 20}, ((2, 3), (np.int64(23), 7)): {'bw': 0}, ((2, 3), (7, 3)): {'bw': 0}, ((2, 3), (3, 1)): {'bw': 0}, ((2, 3), (1, 0)): {'bw': 0}, ((2, 3), (0, 2)): {'bw': 0}, ((2, 3), (2, 6)): {'bw': 0}, ((2, 3), (6, 14)): {'bw': 0}, ((2, 3), (14, 22)): {'bw': 0}}",103.0,60.0,245.0,35.0,25.0,35.0,25.0,35.0,68.0,43.0,0.5825242718446602,161746.17365547753,94221.072032317,914.7676896341455,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -67}, np.int64(1): {'cpu': -35}, np.int64(2): {'cpu': -46}, np.int64(3): {'cpu': -87}}, 'link_level': {(0, 1): {'bw': -136}, (0, 2): {'bw': -153}, (1, 3): {'bw': -261}, (2, 3): {'bw': -136}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 3): {}, (2, 3): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (1, 3): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 3): {}, (2, 3): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.10562300682067871,4.0,4.0
5,2,2,563.0,2277.0,269949.1988025305,921255.0157995017,0.24725516029863856,0.29302331512220625,11,4,1,110.0,8308,1158,7150,0.0988326848249027,0.23118279569892475,4,201.63903511487771,110.0,10,23,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,196.0,98.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.15259599685668945,10.0,0.0
6,2,2,563.0,2277.0,269949.1988025305,921255.0157995017,0.24725516029863856,0.29302331512220625,11,5,1,131.0,8308,1158,7150,0.0988326848249027,0.23118279569892475,5,328.3672823909719,131.0,9,21,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}",{},{},{},0.0,0.0,220.0,110.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.14749908447265625,9.0,0.0
7,3,3,738.0,2809.0,390682.6978988234,1288284.8530522322,0.2627269490922036,0.3032580077094049,13,6,1,153.0,7776,1110,6666,0.13618677042801552,0.2832258064516129,6,689.905709121674,153.0,4,5,True,"{np.int64(0): np.int64(16), np.int64(1): np.int64(24), np.int64(2): np.int64(23), np.int64(3): np.int64(26)}","{(0, 1): [(np.int64(16), 8), (8, 24)], (0, 2): [(np.int64(16), 8), (8, 3), (3, 7), (7, 23)], (0, 3): [(np.int64(16), 8), (8, 3), (3, 1), (1, 4), (4, 10), (10, 26)], (1, 2): [(np.int64(24), 8), (8, 3), (3, 7), (7, 23)], (2, 3): [(np.int64(23), 7), (7, 3), (3, 1), (1, 4), (4, 10), (10, 26)]}","{(np.int64(0), np.int64(16)): {'cpu': 6}, (np.int64(1), np.int64(24)): {'cpu': 11}, (np.int64(2), np.int64(23)): {'cpu': 15}, (np.int64(3), np.int64(26)): {'cpu': 16}}","{((0, 1), (np.int64(16), 8)): {'bw': 30}, ((0, 1), (8, 24)): {'bw': 30}, ((0, 2), (np.int64(16), 8)): {'bw': 46}, ((0, 2), (8, 3)): {'bw': 46}, ((0, 2), (3, 7)): {'bw': 46}, ((0, 2), (7, 23)): {'bw': 46}, ((0, 3), (np.int64(16), 8)): {'bw': 1}, ((0, 3), (8, 3)): {'bw': 1}, ((0, 3), (3, 1)): {'bw': 1}, ((0, 3), (1, 4)): {'bw': 1}, ((0, 3), (4, 10)): {'bw': 1}, ((0, 3), (10, 26)): {'bw': 1}, ((1, 2), (np.int64(24), 8)): {'bw': 33}, ((1, 2), (8, 3)): {'bw': 33}, ((1, 2), (3, 7)): {'bw': 33}, ((1, 2), (7, 23)): {'bw': 33}, ((2, 3), (np.int64(23), 7)): {'bw': 17}, ((2, 3), (7, 3)): {'bw': 17}, ((2, 3), (3, 1)): {'bw': 17}, ((2, 3), (1, 4)): {'bw': 17}, ((2, 3), (4, 10)): {'bw': 17}, ((2, 3), (10, 26)): {'bw': 17}}",532.0,175.0,528.0,48.0,127.0,48.0,127.0,48.0,484.0,357.0,0.32894736842105265,367029.83725273056,120733.49909629296,226.9426674742349,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -61}, np.int64(1): {'cpu': -81}, np.int64(2): {'cpu': -31}, np.int64(3): {'cpu': -73}}, 'link_level': {(0, 1): {'bw': -306}, (0, 2): {'bw': -107}, (0, 3): {'bw': -179}, (1, 2): {'bw': -74}, (2, 3): {'bw': -57}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (2, 3): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (2, 3): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.11358094215393066,4.0,5.0
8,4,4,823.0,2894.0,473591.6429755336,1371193.7981289425,0.2843814789219074,0.34538636596939937,14,7,1,179.0,7691,1107,6584,0.13852140077821007,0.2920430107526881,7,975.3993538436497,179.0,3,2,True,"{np.int64(0): np.int64(8), np.int64(1): np.int64(24), np.int64(2): np.int64(16)}","{(0, 1): [(np.int64(8), 24)], (0, 2): [(np.int64(8), 16)]}","{(np.int64(0), np.int64(8)): {'cpu': 0}, (np.int64(1), np.int64(24)): {'cpu': 3}, (np.int64(2), np.int64(16)): {'cpu': 0}}","{((0, 1), (np.int64(8), 24)): {'bw': 32}, ((0, 2), (np.int64(8), 16)): {'bw': 50}}",85.0,85.0,27.0,3.0,82.0,3.0,82.0,3.0,82.0,0.0,1.0,82908.94507671022,82908.94507671022,975.3993538436497,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': -78}, np.int64(2): {'cpu': -61}}, 'link_level': {(0, 1): {'bw': -241}, (0, 2): {'bw': -242}}, 'path_level': {(0, 1): {}, (0, 2): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.06078004837036133,3.0,2.0
9,4,4,823.0,2894.0,473591.6429755336,1371193.7981289425,0.2843814789219074,0.34538636596939937,14,8,1,200.0,7691,1107,6584,0.13852140077821007,0.2920430107526881,8,267.6104373790477,200.0,7,10,False,{},{},{},{},0.0,0.0,152.0,76.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.16032004356384277,0.0,0.0
10,4,4,823.0,2894.0,473591.6429755336,1371193.7981289425,0.2843814789219074,0.34538636596939937,14,9,1,232.0,7691,1107,6584,0.13852140077821007,0.2920430107526881,9,944.1941561255088,232.0,6,9,False,{},{},{},{},0.0,0.0,82.0,41.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.13870716094970703,0.0,0.0
