vnr_uid,best_algorithm,v_net_id,seed,result,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,event_time,v_net_arrival_time,inservice_count,num_algorithms_tested,algorithms_tested
0_0_22.0,ga_meta,0,0,False,7,8,27.93502765653346,108.0,54.0,249.0,5065.0,718,4347.0,0.0,0.0,22.0,22.0,0,42,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_0_23.0,mip,0,0,False,27,210,906.1073073502364,2266.0,1133.0,19829.0,10495.0,1133,9362.0,0.0,0.0,23.0,23.0,0,2,mip
0_0_9.0,mip,0,0,False,10,19,229.08644071126173,364.0,182.0,732.0,10495.0,1133,9362.0,0.0,0.0,9.0,9.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_1_20.0,mcts,0,1,False,10,28,73.35476529032954,426.0,213.0,1059.0,9881.0,1235,8646.0,0.0,0.0,20.0,20.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_1_28.0,mcts,0,1,False,13,42,731.6008897329142,584.0,292.0,2296.0,9881.0,1235,8646.0,0.0,0.0,28.0,28.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_1_32.0,rw_rank_bfs,0,1,False,7,12,379.4581106632087,184.0,92.0,230.0,5188.0,764,4424.0,0.0,0.0,32.0,32.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_2_12.0,mip,0,2,False,13,32,488.1163639801385,410.0,205.0,1396.0,10585.0,1285,9300.0,0.0,0.0,12.0,12.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_2_15.0,mip,0,2,False,10,19,751.6116744769311,140.0,70.0,607.0,15666.0,1286,14380.0,0.0,0.0,15.0,15.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_2_23.0,mcts,0,2,False,16,55,117.18925325073484,794.0,397.0,3169.0,10585.0,1285,9300.0,0.0,0.0,23.0,23.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_3_11.0,mcts,0,3,False,15,43,49.84461327844696,528.0,264.0,1688.0,10503.0,1172,9331.0,0.0,0.0,11.0,11.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_3_20.0,mcts,0,3,False,18,70,1022.141970414148,884.0,442.0,4551.0,10503.0,1172,9331.0,0.0,0.0,20.0,20.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_3_22.0,mip,0,3,False,10,20,906.733098550513,196.0,98.0,518.0,15828.0,1173,14655.0,0.0,0.0,22.0,22.0,0,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_4_13.0,mcts,0,4,False,15,58,346.5350454987206,516.0,258.0,2114.0,10885.0,1170,9715.0,0.0,0.0,13.0,13.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
0_4_19.0,mcts,0,4,False,18,86,824.323554933573,912.0,456.0,5011.0,10885.0,1170,9715.0,0.0,0.0,19.0,19.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
