vnr_uid,best_algorithm,num_nodes,num_edges,density,avg_degree,total_demand,node_demand,link_demand,avg_node_demand,avg_link_demand,node_link_demand_ratio,p_net_available,p_net_node_available,p_net_link_available,p_net_node_util,p_net_link_util,total_demand_ratio,node_demand_ratio,link_demand_ratio,lifetime,arrival_time,event_time,inservice_count,network_load,is_fat_tree,is_tree,p_net_size,vnr_to_pnet_size_ratio
0_0_22.0,rw_rank_bfs,7,8,0.3809523718820864,2.28571395918372,108.0,54.0,249.0,7.714284612245056,31.124996109375488,0.21686746900856438,5065.0,718,4347.0,0.0,0.0,0.02132280354959076,0.07520891354427728,0.057280883354662776,27.93502765653346,22.0,22.0,0,0,0,1,31,0.22580644432882438
0_0_23.0,mip,27,210,0.5982905974383325,15.555554979423889,2266.0,1133.0,19829.0,41.96296140877921,94.42380907417234,0.057138534466834506,10495.0,1133,9362.0,0.0,0.0,0.21591233918857433,0.9999999991173874,2.118030335172182,906.1073073502364,23.0,23.0,0,0,0,1,31,0.8709677138397511
0_0_9.0,mip,10,19,0.42222221753086425,3.799999620000038,364.0,182.0,732.0,18.199998180000183,38.52631376177296,0.248633879441757,10495.0,1133,9362.0,0.0,0.0,0.034683182464537096,0.16063548088205162,0.07818842126915312,229.08644071126173,9.0,9.0,0,0,0,1,31,0.3225806347554634
0_1_20.0,mcts,10,28,0.6222222153086421,5.599999440000056,426.0,213.0,1059.0,21.299997870000215,37.82142722066331,0.20113314428599324,9881.0,1235,8646.0,0.0,0.0,0.043113045233972976,0.17246963548787883,0.12248438582899787,73.35476529032954,20.0,20.0,0,0,0,1,31,0.3225806347554634
0_1_28.0,mcts,13,42,0.5384615350098619,6.46153796449708,584.0,292.0,2296.0,22.461536733727947,54.666665365079396,0.12717770029304107,9881.0,1235,8646.0,0.0,0.0,0.059103329616526326,0.23643724677211556,0.26555632659431455,731.6008897329142,28.0,28.0,0,0,0,1,31,0.4193548251821024
0_1_32.0,rw_rank_bfs,7,12,0.5714285578231296,3.42857093877558,184.0,92.0,230.0,13.142855265306391,19.16666506944458,0.39999999826086957,5188.0,764,4424.0,0.0,0.0,0.03546646105715758,0.12041884800992297,0.051989150078664295,379.4581106632087,32.0,32.0,0,0,0,1,31,0.22580644432882438
0_2_12.0,mip,13,32,0.4102564076265615,4.923076544378728,410.0,205.0,1396.0,15.769229556213112,43.62499863671879,0.14684813743062453,10585.0,1285,9300.0,0.0,0.0,0.03873405762506055,0.15953307380581083,0.15010752686557982,488.1163639801385,12.0,12.0,0,0,0,1,31,0.4193548251821024
0_2_15.0,mip,10,19,0.42222221753086425,3.799999620000038,140.0,70.0,607.0,6.999999300000071,31.947366739612274,0.11532125186932249,15666.0,1286,14380.0,0.0,0.0,0.008936550490939834,0.05443234832470268,0.04221140472585456,751.6116744769311,15.0,15.0,0,0,1,0,36,0.2777777700617286
0_2_23.0,mcts,16,55,0.4583333314236111,6.874999570312527,794.0,397.0,3169.0,24.812498449218847,57.61818077057853,0.1252761122987453,10585.0,1285,9300.0,0.0,0.0,0.07501180915682458,0.30894941610198484,0.34075268813540294,117.18925325073484,23.0,23.0,0,0,0,1,31,0.5161290156087414
0_3_11.0,mcts,15,43,0.40952380757369616,5.733332951111137,528.0,264.0,1688.0,17.599998826666745,39.25581304056249,0.15639810417274994,10503.0,1172,9331.0,0.0,0.0,0.05027135103777289,0.22525597250404777,0.18090236842986793,49.84461327844696,11.0,11.0,0,0,0,1,31,0.4838709521331951
0_3_20.0,mcts,18,70,0.45751633837412964,7.777777345679036,884.0,442.0,4551.0,24.555554191358098,65.01428478551021,0.09712151173431739,10503.0,1172,9331.0,0.0,0.0,0.08416642863142279,0.3771331054802618,0.48772907507365454,1022.141970414148,20.0,20.0,0,0,0,1,31,0.5806451425598341
0_3_22.0,mip,10,20,0.4444444395061729,3.99999960000004,196.0,98.0,518.0,9.799999020000099,25.899998705000062,0.1891891888239591,15828.0,1173,14655.0,0.0,0.0,0.01238311852335209,0.08354646199186148,0.035346298189331535,906.733098550513,22.0,22.0,0,0,1,0,36,0.2777777700617286
0_4_13.0,mcts,15,58,0.552380949750567,7.7333328177778125,516.0,258.0,2114.0,17.199998853333412,36.44827523365043,0.12204351933678169,10885.0,1170,9715.0,0.0,0.0,0.047404685342452485,0.220512820324348,0.21760164691532663,346.5350454987206,13.0,13.0,0,0,0,1,31,0.4838709521331951
0_4_19.0,mcts,18,86,0.5620915014310736,9.555555024691387,912.0,456.0,5011.0,25.333331925926004,58.26744118293673,0.0909998004208741,10885.0,1170,9715.0,0.0,0.0,0.08378502525642764,0.38974358941047554,0.5158003087477303,824.323554933573,19.0,19.0,0,0,0,1,31,0.5806451425598341
0_4_25.0,rw_rank_bfs,9,18,0.49999999305555565,3.9999995555556054,170.0,85.0,350.0,9.444443395061846,19.44444336419759,0.24285714216326532,15934.0,1266,14668.0,0.0,0.0,0.010669009664198004,0.06714060026292211,0.023861467137724197,331.2160171223706,25.0,25.0,0,0,1,0,36,0.24999999305555576
100_0_1259.0,mcts,10,21,0.46666666148148156,4.199999580000043,388.0,194.0,839.0,19.399998060000197,39.95237904988671,0.23122765169102782,10495.0,1133,9362.0,0.0,0.0,0.036969985703957126,0.17122683126987923,0.08961760306669327,62.51629411680762,1259.0,1259.0,0,0,0,1,31,0.3225806347554634
100_0_1670.0,mip,24,159,0.5760869554781033,13.24999944791669,1926.0,963.0,15377.0,40.124998328125066,96.71069121565603,0.06262599986586291,10495.0,1133,9362.0,0.0,0.0,0.18351595996345726,0.8499558686231633,1.6424909205679885,298.93584152194325,1670.0,1670.0,0,0,0,1,31,0.7741935234131121
