vnr_uid,best_algorithm,v_net_id,seed,event_time,result,v_net_num_nodes,v_net_num_egdes,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_lifetime,v_net_arrival_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_algorithms_tested
0_0_22,pl_rank,0,0,22.0,False,7,8,108.0,54.0,249.0,27.93502765653346,22.0,5065.0,718,4347.0,0.0,0.0,0,8
0_1_32,mcts,0,1,32.0,False,7,12,184.0,92.0,230.0,379.4581106632087,32.0,5188.0,764,4424.0,0.0,0.0,0,8
0_2_15,ga_meta,0,2,15.0,False,10,19,140.0,70.0,607.0,751.6116744769311,15.0,15666.0,1286,14380.0,0.0,0.0,0,8
0_3_22,pl_rank,0,3,22.0,False,10,20,196.0,98.0,518.0,906.733098550513,22.0,15828.0,1173,14655.0,0.0,0.0,0,8
0_4_25,ga_meta,0,4,25.0,False,9,18,170.0,85.0,350.0,331.2160171223706,25.0,15934.0,1266,14668.0,0.0,0.0,0,8
100_0_2478,mcts,100,0,2478.0,False,4,4,82.0,41.0,144.0,1045.7782980075951,2478.0,5065.0,718,4347.0,0.0,0.0,0,8
100_1_2520,pl_rank,100,1,2520.0,False,4,3,30.0,15.0,72.0,379.2890302347226,2520.0,5134.0,754,4380.0,0.013089005235602,0.0099457504520795,1,8
100_2_2456,pl_rank,100,2,2456.0,False,2,1,68.0,34.0,4.0,195.59665491452856,2456.0,15666.0,1286,14380.0,0.0,0.0,0,8
100_3_2590,pl_rank,100,3,2590.0,False,4,3,78.0,39.0,40.0,664.6247754682353,2590.0,15828.0,1173,14655.0,0.0,0.0,0,8
100_4_2527,pl_rank,100,4,2527.0,False,4,3,26.0,13.0,52.0,1.9400780853765671,2527.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
101_0_2505,rw_rank_bfs,101,0,2505.0,False,5,5,88.0,44.0,201.0,206.364930195333,2505.0,5065.0,718,4347.0,0.0,0.0,0,8
101_1_2542,rw_rank_bfs,101,1,2542.0,False,9,18,206.0,103.0,457.0,69.74295469166917,2542.0,5134.0,754,4380.0,0.013089005235602,0.0099457504520795,1,8
101_2_2481,rw_rank_bfs,101,2,2481.0,False,9,22,218.0,109.0,647.0,2248.700486173692,2481.0,15666.0,1286,14380.0,0.0,0.0,0,8
101_3_2607,pl_rank,101,3,2607.0,False,4,3,50.0,25.0,115.0,324.17451880825666,2607.0,15828.0,1173,14655.0,0.0,0.0,0,8
101_4_2554,mcts,101,4,2554.0,False,3,3,84.0,42.0,103.0,1355.5972642251866,2554.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
102_0_2533,pl_rank,102,0,2533.0,False,5,5,162.0,81.0,92.0,1629.4604478949802,2533.0,5065.0,718,4347.0,0.0,0.0,0,8
102_1_2555,mcts,102,1,2555.0,False,4,3,106.0,53.0,101.0,412.1509352397844,2555.0,5134.0,754,4380.0,0.013089005235602,0.0099457504520795,1,8
102_2_2495,pl_rank,102,2,2495.0,False,2,1,40.0,20.0,29.0,2644.2092578954366,2495.0,15666.0,1286,14380.0,0.0,0.0,0,8
102_3_2630,rw_rank_bfs,102,3,2630.0,False,19,80,1008.0,504.0,4986.0,0.7458000816538389,2630.0,10503.0,1172,9331.0,0.0,0.0,0,8
102_4_2575,rw_rank_bfs,102,4,2575.0,False,10,24,164.0,82.0,624.0,122.8966491597611,2575.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
103_0_2565,pl_rank,103,0,2565.0,False,4,4,64.0,32.0,131.0,131.78855704244657,2565.0,5065.0,718,4347.0,0.0,0.0,0,8
103_1_2577,rw_rank_bfs,103,1,2577.0,False,8,13,148.0,74.0,311.0,91.85974811109456,2577.0,5134.0,754,4380.0,0.013089005235602,0.0099457504520795,1,8
103_2_2519,rw_rank_bfs,103,2,2519.0,False,7,15,118.0,59.0,416.0,874.7835670134227,2519.0,15666.0,1286,14380.0,0.0,0.0,0,8
103_3_2648,ga_meta,103,3,2648.0,False,5,4,114.0,57.0,191.0,270.2661915770329,2648.0,15828.0,1173,14655.0,0.0,0.0,0,8
103_4_2602,rw_rank_bfs,103,4,2602.0,False,10,21,170.0,85.0,461.0,153.8850625113591,2602.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
104_0_2593,pl_rank,104,0,2593.0,False,5,4,120.0,60.0,124.0,1491.1003440590173,2593.0,5065.0,718,4347.0,0.0,0.0,0,8
104_1_2606,rw_rank_bfs,104,1,2606.0,True,2,1,30.0,15.0,1.0,273.29096492460206,2606.0,5118.0,739,4379.0,0.0327225130890052,0.0101717902350814,2,8
104_2_2546,ga_meta,104,2,2546.0,False,4,4,40.0,20.0,125.0,592.3344078953928,2546.0,15666.0,1286,14380.0,0.0,0.0,0,8
104_3_2672,ga_meta,104,3,2672.0,False,6,7,132.0,66.0,203.0,171.58674721351258,2672.0,15828.0,1173,14655.0,0.0,0.0,0,8
104_4_2629,pl_rank,104,4,2629.0,False,3,2,98.0,49.0,65.0,1066.0061165473107,2629.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
105_0_2612,pl_rank,105,0,2612.0,False,6,6,152.0,76.0,127.0,1418.3200944992527,2612.0,5065.0,718,4347.0,0.0,0.0,0,8
105_1_2622,pl_rank,105,1,2622.0,False,4,3,58.0,29.0,94.0,577.0961788050674,2622.0,5118.0,739,4379.0,0.0327225130890052,0.0101717902350814,2,8
105_2_2575,ga_meta,105,2,2575.0,False,7,8,86.0,43.0,141.0,661.509189756853,2575.0,15666.0,1286,14380.0,0.0,0.0,0,8
105_3_2690,pl_rank,105,3,2690.0,False,3,2,92.0,46.0,30.0,1154.8595769365904,2690.0,15828.0,1173,14655.0,0.0,0.0,0,8
105_4_2649,ga_meta,105,4,2649.0,False,5,7,94.0,47.0,192.0,1582.1908836211958,2649.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
106_0_2633,pl_rank,106,0,2633.0,False,3,2,36.0,18.0,17.0,802.7293882343262,2633.0,5065.0,718,4347.0,0.0,0.0,0,8
106_1_2650,rw_rank_bfs,106,1,2650.0,False,8,13,188.0,94.0,393.0,160.03399064402475,2650.0,5118.0,739,4379.0,0.0327225130890052,0.0101717902350814,2,8
106_2_2597,pl_rank,106,2,2597.0,False,3,2,54.0,27.0,79.0,1040.7971678581257,2597.0,15666.0,1286,14380.0,0.0,0.0,0,8
106_3_2721,rw_rank_bfs,106,3,2721.0,False,16,67,788.0,394.0,3891.0,1137.8786306350194,2721.0,10503.0,1172,9331.0,0.0,0.0,0,8
106_4_2677,pl_rank,106,4,2677.0,False,3,3,56.0,28.0,75.0,137.89574773889225,2677.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
107_0_2658,mcts,107,0,2658.0,False,4,3,52.0,26.0,96.0,497.7318234706012,2658.0,5065.0,718,4347.0,0.0,0.0,0,8
107_1_2676,rw_rank_bfs,107,1,2676.0,False,8,17,120.0,60.0,404.0,5.025028937115578,2676.0,5118.0,739,4379.0,0.0327225130890052,0.0101717902350814,2,8
107_2_2615,ga_meta,107,2,2615.0,False,5,7,88.0,44.0,124.0,1513.200373587617,2615.0,15666.0,1286,14380.0,0.0,0.0,0,8
107_3_2750,ga_meta,107,3,2750.0,False,9,10,120.0,60.0,248.0,777.5514398528638,2750.0,15828.0,1173,14655.0,0.0,0.0,0,8
107_4_2702,ga_meta,107,4,2702.0,False,5,7,114.0,57.0,206.0,337.5909301387496,2702.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
108_0_2695,pl_rank,108,0,2695.0,False,3,2,74.0,37.0,16.0,1036.8807185302517,2695.0,5065.0,718,4347.0,0.0,0.0,0,8
108_1_2704,pl_rank,108,1,2704.0,False,4,4,76.0,38.0,93.0,124.1449844817718,2704.0,5118.0,739,4379.0,0.0327225130890052,0.0101717902350814,2,8
108_2_2640,mcts,108,2,2640.0,False,5,4,94.0,47.0,93.0,956.1605580926552,2640.0,15666.0,1286,14380.0,0.0,0.0,0,8
108_3_2767,pl_rank,108,3,2767.0,False,3,2,54.0,27.0,65.0,1130.431501087978,2767.0,15828.0,1173,14655.0,0.0,0.0,0,8
108_4_2728,rw_rank_bfs,108,4,2728.0,False,8,13,106.0,53.0,337.0,674.7693311242354,2728.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
109_0_2713,mcts,109,0,2713.0,False,6,6,138.0,69.0,187.0,173.3766522279259,2713.0,5065.0,718,4347.0,0.0,0.0,0,8
109_1_2730,rw_rank_bfs,109,1,2730.0,False,9,23,202.0,101.0,531.0,16.238985175775657,2730.0,5118.0,739,4379.0,0.0327225130890052,0.0101717902350814,2,8
109_2_2664,pl_rank,109,2,2664.0,False,3,2,64.0,32.0,7.0,512.1309926314782,2664.0,15666.0,1286,14380.0,0.0,0.0,0,8
109_3_2785,pl_rank,109,3,2785.0,False,2,1,38.0,19.0,47.0,143.9670136877853,2785.0,15828.0,1173,14655.0,0.0,0.0,0,8
109_4_2749,rw_rank_bfs,109,4,2749.0,False,9,22,192.0,96.0,467.0,351.59916874238695,2749.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
10_0_280,pl_rank,10,0,280.0,False,8,14,126.0,63.0,415.0,485.7410721619365,280.0,5065.0,718,4347.0,0.0,0.0,0,8
10_1_301,rw_rank_bfs,10,1,301.0,False,7,12,122.0,61.0,402.0,38.58008449379743,301.0,5188.0,764,4424.0,0.0,0.0,0,8
